Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 28 Mar 2014 (W13),Molde FK (1),2-0,?,Vålerenga Fotball (1)
?,(Sat) 29 Mar 2014 (W13),FK Haugesund (1),1-1,?,Lillestrøm SK (1)
?,(Sat) 29 Mar 2014 (W13),Rosenborg BK (1),2-2,?,Viking FK (1)
?,(Sun) 30 Mar 2014 (W13),Bodø/Glimt (1),1-1,?,Aalesunds FK (1)
?,(Sun) 30 Mar 2014 (W13),Sandnes Ulf (1),1-1,?,Odds BK (1)
?,(Sun) 30 Mar 2014 (W13),Stabæk (1),3-0,?,Sogndal (1)
?,(Sun) 30 Mar 2014 (W13),Strømsgodset IF (1),4-2,?,IK Start (1)
?,(Sun) 30 Mar 2014 (W13),Sarpsborg 08 (1),3-0,?,SK Brann (1)
?,(Fri) 4 Apr 2014 (W14),Viking FK (2),0-0,?,Strømsgodset IF (2)
?,(Sat) 5 Apr 2014 (W14),Odds BK (2),2-1,?,Molde FK (2)
?,(Sat) 5 Apr 2014 (W14),Aalesunds FK (2),1-1,?,Rosenborg BK (2)
?,(Sun) 6 Apr 2014 (W14),IK Start (2),3-1,?,FK Haugesund (2)
?,(Sun) 6 Apr 2014 (W14),Lillestrøm SK (2),4-1,?,Sandnes Ulf (2)
?,(Sun) 6 Apr 2014 (W14),Sogndal (2),1-1,?,Sarpsborg 08 (2)
?,(Sun) 6 Apr 2014 (W14),Vålerenga Fotball (2),3-1,?,Bodø/Glimt (2)
?,(Sun) 6 Apr 2014 (W14),SK Brann (2),1-2,?,Stabæk (2)
?,(Fri) 11 Apr 2014 (W15),Sandnes Ulf (3),1-1,?,SK Brann (3)
?,(Sat) 12 Apr 2014 (W15),Lillestrøm SK (3),0-1,?,Viking FK (3)
?,(Sat) 12 Apr 2014 (W15),FK Haugesund (3),1-1,?,Vålerenga Fotball (3)
?,(Sun) 13 Apr 2014 (W15),Stabæk (3),0-2,?,Molde FK (3)
?,(Sun) 13 Apr 2014 (W15),Bodø/Glimt (3),4-2,?,Sogndal (3)
?,(Sun) 13 Apr 2014 (W15),Sarpsborg 08 (3),1-1,?,IK Start (3)
?,(Sun) 13 Apr 2014 (W15),Strømsgodset IF (3),2-0,?,Aalesunds FK (3)
?,(Sun) 13 Apr 2014 (W15),Rosenborg BK (3),2-0,?,Odds BK (3)
?,(Mon) 21 Apr 2014 (W17),Aalesunds FK (4),1-2,?,IK Start (4)
?,(Mon) 21 Apr 2014 (W17),Vålerenga Fotball (4),3-0,?,Sandnes Ulf (4)
?,(Mon) 21 Apr 2014 (W17),Viking FK (4),2-0,?,FK Haugesund (4)
?,(Mon) 21 Apr 2014 (W17),SK Brann (4),2-0,?,Lillestrøm SK (4)
?,(Mon) 21 Apr 2014 (W17),Molde FK (4),5-1,?,Sarpsborg 08 (4)
?,(Mon) 21 Apr 2014 (W17),Odds BK (4),2-1,?,Stabæk (4)
?,(Mon) 21 Apr 2014 (W17),Sogndal (4),1-3,?,Strømsgodset IF (4)
?,(Mon) 21 Apr 2014 (W17),Bodø/Glimt (4),2-2,?,Rosenborg BK (4)
?,(Sun) 27 Apr 2014 (W17),Strømsgodset IF (5),2-1,?,Odds BK (5)
?,(Sun) 27 Apr 2014 (W17),FK Haugesund (5),0-3,?,Sogndal (5)
?,(Sun) 27 Apr 2014 (W17),Rosenborg BK (5),5-2,?,SK Brann (5)
?,(Sun) 27 Apr 2014 (W17),Sandnes Ulf (5),1-3,?,Molde FK (5)
?,(Sun) 27 Apr 2014 (W17),Stabæk (5),2-1,?,Bodø/Glimt (5)
?,(Sun) 27 Apr 2014 (W17),IK Start (5),0-2,?,Viking FK (5)
?,(Mon) 28 Apr 2014 (W18),Lillestrøm SK (5),0-0,?,Aalesunds FK (5)
?,(Mon) 28 Apr 2014 (W18),Sarpsborg 08 (5),3-0,?,Vålerenga Fotball (5)
?,(Wed) 30 Apr 2014 (W18),SK Brann (6),1-3,?,FK Haugesund (6)
?,(Wed) 30 Apr 2014 (W18),Sandnes Ulf (6),2-1,?,Stabæk (6)
?,(Thu) 1 May 2014 (W18),Aalesunds FK (6),1-2,?,Viking FK (6)
?,(Thu) 1 May 2014 (W18),Bodø/Glimt (6),1-2,?,Lillestrøm SK (6)
?,(Thu) 1 May 2014 (W18),Molde FK (6),2-0,?,IK Start (6)
?,(Thu) 1 May 2014 (W18),Odds BK (6),2-0,?,Sarpsborg 08 (6)
?,(Thu) 1 May 2014 (W18),Vålerenga Fotball (6),3-0,?,Strømsgodset IF (6)
?,(Thu) 1 May 2014 (W18),Sogndal (6),1-2,?,Rosenborg BK (6)
?,(Sun) 4 May 2014 (W18),FK Haugesund (7),1-2,?,Aalesunds FK (7)
?,(Sun) 4 May 2014 (W18),Sarpsborg 08 (7),2-1,?,Sandnes Ulf (7)
?,(Sun) 4 May 2014 (W18),Lillestrøm SK (7),2-0,?,Sogndal (7)
?,(Sun) 4 May 2014 (W18),Rosenborg BK (7),0-2,?,Molde FK (7)
?,(Sun) 4 May 2014 (W18),Strømsgodset IF (7),2-0,?,Bodø/Glimt (7)
?,(Sun) 4 May 2014 (W18),IK Start (7),1-1,?,SK Brann (7)
?,(Mon) 5 May 2014 (W19),Stabæk (7),0-3,?,Vålerenga Fotball (7)
?,(Mon) 5 May 2014 (W19),Viking FK (7),1-1,?,Odds BK (7)
?,(Sat) 10 May 2014 (W19),Bodø/Glimt (8),2-1,?,FK Haugesund (8)
?,(Sat) 10 May 2014 (W19),Aalesunds FK (8),0-1,?,SK Brann (8)
?,(Sun) 11 May 2014 (W19),Odds BK (8),0-2,?,Lillestrøm SK (8)
?,(Sun) 11 May 2014 (W19),Sogndal (8),2-1,?,IK Start (8)
?,(Sun) 11 May 2014 (W19),Stabæk (8),3-2,?,Sarpsborg 08 (8)
?,(Sun) 11 May 2014 (W19),Vålerenga Fotball (8),1-1,?,Viking FK (8)
?,(Sun) 11 May 2014 (W19),Molde FK (8),2-2,?,Strømsgodset IF (8)
?,(Mon) 12 May 2014 (W20),Sandnes Ulf (8),0-2,?,Rosenborg BK (8)
?,(Fri) 16 May 2014 (W20),Aalesunds FK (9),2-2,?,Sogndal (9)
?,(Fri) 16 May 2014 (W20),SK Brann (9),1-2,?,Bodø/Glimt (9)
?,(Fri) 16 May 2014 (W20),FK Haugesund (9),1-2,?,Odds BK (9)
?,(Fri) 16 May 2014 (W20),Lillestrøm SK (9),1-2,?,Molde FK (9)
?,(Fri) 16 May 2014 (W20),IK Start (9),2-2,?,Vålerenga Fotball (9)
?,(Fri) 16 May 2014 (W20),Viking FK (9),2-2,?,Sandnes Ulf (9)
?,(Fri) 16 May 2014 (W20),Rosenborg BK (9),1-3,?,Stabæk (9)
?,(Fri) 16 May 2014 (W20),Strømsgodset IF (9),4-1,?,Sarpsborg 08 (9)
?,(Mon) 19 May 2014 (W21),Vålerenga Fotball (10),2-2,?,Lillestrøm SK (10)
