Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 13 Jul 2012 (W28),AGF Aarhus (1),1-1,?,Aalborg BK (1)
?,(Sat) 14 Jul 2012 (W28),Sønderjysk Elitesport (1),6-1,?,Randers FC (1)
?,(Sun) 15 Jul 2012 (W28),Esbjerg fB (1),2-3,?,Silkeborg IF (1)
?,(Sun) 15 Jul 2012 (W28),Brøndby IF (1),0-1,?,Odense BK (1)
?,(Sun) 15 Jul 2012 (W28),FC København (1),4-2,?,FC Midtjylland (1)
?,(Mon) 16 Jul 2012 (W29),AC Horsens (1),0-4,?,FC Nordsjælland (1)
?,(Fri) 20 Jul 2012 (W29),Silkeborg IF (2),0-2,?,AC Horsens (2)
?,(Sat) 21 Jul 2012 (W29),FC Midtjylland (2),3-1,?,FC Nordsjælland (2)
?,(Sun) 22 Jul 2012 (W29),Odense BK (2),0-1,?,Randers FC (2)
?,(Sun) 22 Jul 2012 (W29),Sønderjysk Elitesport (2),1-1,?,FC København (2)
?,(Sun) 22 Jul 2012 (W29),Aalborg BK (2),2-1,?,Brøndby IF (2)
?,(Mon) 23 Jul 2012 (W30),AGF Aarhus (2),0-0,?,Esbjerg fB (2)
?,(Fri) 27 Jul 2012 (W30),AC Horsens (3),2-2,?,FC Midtjylland (3)
?,(Sat) 28 Jul 2012 (W30),FC København (3),3-0,?,Aalborg BK (3)
?,(Sat) 28 Jul 2012 (W30),Esbjerg fB (3),1-2,?,Sønderjysk Elitesport (3)
?,(Sun) 29 Jul 2012 (W30),Randers FC (3),2-1,?,AGF Aarhus (3)
?,(Sun) 29 Jul 2012 (W30),FC Nordsjælland (3),1-1,?,Odense BK (3)
?,(Mon) 30 Jul 2012 (W31),Brøndby IF (3),2-1,?,Silkeborg IF (3)
?,(Fri) 3 Aug 2012 (W31),Silkeborg IF (4),0-1,?,Odense BK (4)
?,(Sat) 4 Aug 2012 (W31),Aalborg BK (4),1-1,?,FC Nordsjælland (4)
?,(Sat) 4 Aug 2012 (W31),Esbjerg fB (4),1-2,?,FC København (4)
?,(Sun) 5 Aug 2012 (W31),FC Midtjylland (4),2-1,?,Randers FC (4)
?,(Sun) 5 Aug 2012 (W31),AGF Aarhus (4),3-1,?,Brøndby IF (4)
?,(Mon) 6 Aug 2012 (W32),Sønderjysk Elitesport (4),0-2,?,AC Horsens (4)
?,(Fri) 10 Aug 2012 (W32),Odense BK (5),2-1,?,FC Midtjylland (5)
?,(Sat) 11 Aug 2012 (W32),FC Nordsjælland (5),6-1,?,Silkeborg IF (5)
?,(Sun) 12 Aug 2012 (W32),AC Horsens (5),1-4,?,Aalborg BK (5)
?,(Sun) 12 Aug 2012 (W32),Brøndby IF (5),0-1,?,Sønderjysk Elitesport (5)
?,(Sun) 12 Aug 2012 (W32),FC København (5),3-0,?,AGF Aarhus (5)
?,(Mon) 13 Aug 2012 (W33),Randers FC (5),1-0,?,Esbjerg fB (5)
?,(Fri) 17 Aug 2012 (W33),Aalborg BK (6),3-0,?,FC Midtjylland (6)
?,(Sat) 18 Aug 2012 (W33),Silkeborg IF (6),0-1,?,Randers FC (6)
?,(Sat) 18 Aug 2012 (W33),FC København (6),1-1,?,Brøndby IF (6)
?,(Sun) 19 Aug 2012 (W33),Esbjerg fB (6),0-0,?,AC Horsens (6)
?,(Sun) 19 Aug 2012 (W33),AGF Aarhus (6),0-1,?,FC Nordsjælland (6)
?,(Mon) 20 Aug 2012 (W34),Sønderjysk Elitesport (6),1-2,?,Odense BK (6)
?,(Fri) 24 Aug 2012 (W34),FC Nordsjælland (7),4-1,?,Sønderjysk Elitesport (7)
?,(Sat) 25 Aug 2012 (W34),Randers FC (7),2-3,?,FC København (7)
?,(Sun) 26 Aug 2012 (W34),FC Midtjylland (7),1-1,?,Silkeborg IF (7)
?,(Sun) 26 Aug 2012 (W34),Odense BK (7),0-4,?,Aalborg BK (7)
?,(Sun) 26 Aug 2012 (W34),Brøndby IF (7),1-1,?,Esbjerg fB (7)
?,(Mon) 27 Aug 2012 (W35),AC Horsens (7),1-4,?,AGF Aarhus (7)
?,(Fri) 31 Aug 2012 (W35),Sønderjysk Elitesport (8),0-4,?,Aalborg BK (8)
?,(Sat) 1 Sep 2012 (W35),Silkeborg IF (8),0-4,?,AGF Aarhus (8)
?,(Sun) 2 Sep 2012 (W35),Randers FC (8),0-1,?,AC Horsens (8)
?,(Sun) 2 Sep 2012 (W35),FC Midtjylland (8),1-0,?,Esbjerg fB (8)
?,(Sun) 2 Sep 2012 (W35),FC Nordsjælland (8),0-0,?,Brøndby IF (8)
?,(Sun) 2 Sep 2012 (W35),Odense BK (8),2-2,?,FC København (8)
?,(Fri) 14 Sep 2012 (W37),Esbjerg fB (9),3-0,?,Odense BK (9)
?,(Sat) 15 Sep 2012 (W37),Sønderjysk Elitesport (9),0-2,?,Silkeborg IF (9)
?,(Sat) 15 Sep 2012 (W37),FC København (9),2-1,?,FC Nordsjælland (9)
?,(Sun) 16 Sep 2012 (W37),Aalborg BK (9),4-0,?,Randers FC (9)
?,(Sun) 16 Sep 2012 (W37),Brøndby IF (9),2-2,?,AC Horsens (9)
?,(Mon) 17 Sep 2012 (W38),AGF Aarhus (9),3-2,?,FC Midtjylland (9)
?,(Fri) 21 Sep 2012 (W38),AGF Aarhus (10),2-2,?,Sønderjysk Elitesport (10)
?,(Sat) 22 Sep 2012 (W38),FC Nordsjælland (10),1-1,?,Randers FC (10)
?,(Sun) 23 Sep 2012 (W38),AC Horsens (10),2-2,?,Odense BK (10)
?,(Sun) 23 Sep 2012 (W38),FC Midtjylland (10),1-1,?,Brøndby IF (10)
?,(Sun) 23 Sep 2012 (W38),FC København (10),5-0,?,Silkeborg IF (10)
?,(Mon) 24 Sep 2012 (W39),Aalborg BK (10),0-2,?,Esbjerg fB (10)
?,(Fri) 28 Sep 2012 (W39),FC Nordsjælland (11),3-0,?,Esbjerg fB (11)
?,(Sat) 29 Sep 2012 (W39),AC Horsens (11),1-1,?,FC København (11)
?,(Sun) 30 Sep 2012 (W39),Silkeborg IF (11),2-1,?,Aalborg BK (11)
?,(Sun) 30 Sep 2012 (W39),Odense BK (11),1-2,?,AGF Aarhus (11)
?,(Sun) 30 Sep 2012 (W39),Randers FC (11),3-2,?,Brøndby IF (11)
?,(Mon) 1 Oct 2012 (W40),FC Midtjylland (11),1-3,?,Sønderjysk Elitesport (11)
?,(Fri) 5 Oct 2012 (W40),Odense BK (12),3-0,?,FC Nordsjælland (12)
?,(Sat) 6 Oct 2012 (W40),Sønderjysk Elitesport (12),0-3,?,AGF Aarhus (12)
?,(Sun) 7 Oct 2012 (W40),Silkeborg IF (12),1-1,?,AC Horsens (12)
?,(Sun) 7 Oct 2012 (W40),Randers FC (12),2-1,?,FC Midtjylland (12)
?,(Sun) 7 Oct 2012 (W40),Esbjerg fB (12),2-2,?,FC København (12)
?,(Sun) 7 Oct 2012 (W40),Brøndby IF (12),1-3,?,Aalborg BK (12)
?,(Fri) 19 Oct 2012 (W42),FC Nordsjælland (13),3-0,?,Silkeborg IF (13)
?,(Sat) 20 Oct 2012 (W42),Aalborg BK (13),2-1,?,Sønderjysk Elitesport (13)
?,(Sun) 21 Oct 2012 (W42),AC Horsens (13),0-0,?,Esbjerg fB (13)
?,(Sun) 21 Oct 2012 (W42),FC Midtjylland (13),1-1,?,Odense BK (13)
?,(Sun) 21 Oct 2012 (W42),FC København (13),1-0,?,Brøndby IF (13)
?,(Mon) 22 Oct 2012 (W43),AGF Aarhus (13),1-1,?,Randers FC (13)
?,(Fri) 26 Oct 2012 (W43),FC Nordsjælland (14),1-0,?,Aalborg BK (14)
?,(Sat) 27 Oct 2012 (W43),Silkeborg IF (14),1-2,?,Randers FC (14)
?,(Sun) 28 Oct 2012 (W43),Esbjerg fB (14),1-2,?,Sønderjysk Elitesport (14)
?,(Sun) 28 Oct 2012 (W43),Odense BK (14),2-4,?,AGF Aarhus (14)
?,(Sun) 28 Oct 2012 (W43),FC Midtjylland (14),1-1,?,Brøndby IF (14)
?,(Mon) 29 Oct 2012 (W44),AC Horsens (14),1-0,?,FC København (14)
?,(Fri) 2 Nov 2012 (W44),Esbjerg fB (15),1-0,?,Silkeborg IF (15)
?,(Sat) 3 Nov 2012 (W44),Sønderjysk Elitesport (15),1-2,?,FC Nordsjælland (15)
?,(Sun) 4 Nov 2012 (W44),Randers FC (15),0-0,?,AC Horsens (15)
?,(Sun) 4 Nov 2012 (W44),Brøndby IF (15),0-3,?,Odense BK (15)
?,(Sun) 4 Nov 2012 (W44),AGF Aarhus (15),0-2,?,FC København (15)
?,(Mon) 5 Nov 2012 (W45),Aalborg BK (15),1-3,?,FC Midtjylland (15)
?,(Fri) 9 Nov 2012 (W45),AC Horsens (16),2-0,?,AGF Aarhus (16)
?,(Sat) 10 Nov 2012 (W45),FC Nordsjælland (16),2-2,?,Randers FC (16)
?,(Sun) 11 Nov 2012 (W45),Odense BK (16),5-0,?,Sønderjysk Elitesport (16)
?,(Sun) 11 Nov 2012 (W45),Silkeborg IF (16),1-2,?,Brøndby IF (16)
?,(Sun) 11 Nov 2012 (W45),FC København (16),4-0,?,Aalborg BK (16)
