Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 20 Jul 2012 (W29),Pandurii Târgu Jiu (1),6-2,?,U Cluj (1)
?,(Fri) 20 Jul 2012 (W29),CS Turnu Severin (1),1-2,?,Dinamo București (1)
?,(Sat) 21 Jul 2012 (W29),FC Petrolul Ploiești (1),5-0,?,Ceahlăul Piatra Neamț (1)
?,(Sat) 21 Jul 2012 (W29),CFR Cluj (1),1-1,?,Gaz Metan Mediaș (1)
?,(Sun) 22 Jul 2012 (W29),Gloria Bistrița (1),1-2,?,Astra Giurgiu (1)
?,(Sun) 22 Jul 2012 (W29),FC Politehnica Iași (1),1-2,?,Oțelul Galați (1)
?,(Sun) 22 Jul 2012 (W29),Rapid București (1),2-2,?,FC Vaslui (1)
?,(Mon) 23 Jul 2012 (W30),FC Viitorul Constanța (1),2-2,?,FC Brașov (1)
?,(Mon) 23 Jul 2012 (W30),Steaua București (1),1-0,?,Concordia Chiajna (1)
?,(Fri) 27 Jul 2012 (W30),FC Brașov (2),2-1,?,CS Turnu Severin (2)
?,(Fri) 27 Jul 2012 (W30),Ceahlăul Piatra Neamț (2),2-2,?,CFR Cluj (2)
?,(Sat) 28 Jul 2012 (W30),Gaz Metan Mediaș (2),0-2,?,Pandurii Târgu Jiu (2)
?,(Sat) 28 Jul 2012 (W30),Astra Giurgiu (2),3-4,?,Steaua București (2)
?,(Sat) 28 Jul 2012 (W30),FC Vaslui (2),3-0,?,FC Petrolul Ploiești (2)
?,(Sun) 29 Jul 2012 (W30),U Cluj (2),1-0,?,Gloria Bistrița (2)
?,(Sun) 29 Jul 2012 (W30),Dinamo București (2),5-2,?,FC Politehnica Iași (2)
?,(Mon) 30 Jul 2012 (W31),Concordia Chiajna (2),1-1,?,FC Viitorul Constanța (2)
?,(Mon) 30 Jul 2012 (W31),Oțelul Galați (2),1-1,?,Rapid București (2)
?,(Fri) 3 Aug 2012 (W31),Gloria Bistrița (3),1-1,?,Gaz Metan Mediaș (3)
?,(Fri) 3 Aug 2012 (W31),Pandurii Târgu Jiu (3),3-1,?,Ceahlăul Piatra Neamț (3)
?,(Sat) 4 Aug 2012 (W31),CS Turnu Severin (3),0-1,?,Concordia Chiajna (3)
?,(Sat) 4 Aug 2012 (W31),FC Petrolul Ploiești (3),2-1,?,Oțelul Galați (3)
?,(Sat) 4 Aug 2012 (W31),CFR Cluj (3),3-0,?,FC Vaslui (3)
?,(Sun) 5 Aug 2012 (W31),FC Viitorul Constanța (3),0-0,?,Astra Giurgiu (3)
?,(Sun) 5 Aug 2012 (W31),Steaua București (3),5-1,?,U Cluj (3)
?,(Mon) 6 Aug 2012 (W32),Rapid București (3),1-0,?,FC Politehnica Iași (3)
?,(Mon) 6 Aug 2012 (W32),FC Brașov (3),2-2,?,Dinamo București (3)
?,(Fri) 10 Aug 2012 (W32),Astra Giurgiu (4),1-1,?,CS Turnu Severin (4)
?,(Fri) 10 Aug 2012 (W32),FC Politehnica Iași (4),2-2,?,FC Petrolul Ploiești (4)
?,(Sun) 12 Aug 2012 (W32),U Cluj (4),2-1,?,FC Viitorul Constanța (4)
