Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 1 Aug 2014 (W31),FC Rubin Kazan (1),0-4,?,FC Spartak Moskva (1)
?,(Sat) 2 Aug 2014 (W31),Ural Yekaterinburg (1),2-3,?,FC Mordovia (1)
?,(Sat) 2 Aug 2014 (W31),Arsenal Tula (1),0-4,?,Zenit St. Petersburg (1)
?,(Sat) 2 Aug 2014 (W31),PFC CSKA Moskva (1),4-1,?,Torpedo Moskva (1)
?,(Sun) 3 Aug 2014 (W31),Dynamo Moskva (1),7-3,?,FC Rostov (1)
?,(Sun) 3 Aug 2014 (W31),FC Kuban (1),2-0,?,FC Ufa (1)
?,(Sun) 3 Aug 2014 (W31),Lokomotiv Moskva (1),0-0,?,FC Krasnodar (1)
?,(Mon) 4 Aug 2014 (W32),Akhmat Grozny (1),4-0,?,FC Amkar Perm (1)
?,(Fri) 8 Aug 2014 (W32),FC Amkar Perm (2),0-1,?,FC Ufa (2)
?,(Fri) 8 Aug 2014 (W32),FC Kuban (2),2-2,?,FC Rostov (2)
?,(Sat) 9 Aug 2014 (W32),FC Mordovia (2),0-1,?,PFC CSKA Moskva (2)
?,(Sat) 9 Aug 2014 (W32),Zenit St. Petersburg (2),8-1,?,Torpedo Moskva (2)
?,(Sat) 9 Aug 2014 (W32),Akhmat Grozny (2),1-1,?,FC Rubin Kazan (2)
?,(Sun) 10 Aug 2014 (W32),Dynamo Moskva (2),1-2,?,FC Spartak Moskva (2)
?,(Sun) 10 Aug 2014 (W32),Ural Yekaterinburg (2),1-1,?,FC Krasnodar (2)
?,(Sun) 10 Aug 2014 (W32),Arsenal Tula (2),0-2,?,Lokomotiv Moskva (2)
?,(Tue) 12 Aug 2014 (W33),Torpedo Moskva (3),1-1,?,FC Amkar Perm (3)
?,(Wed) 13 Aug 2014 (W33),FC Ufa (3),0-2,?,Dynamo Moskva (3)
?,(Wed) 13 Aug 2014 (W33),Ural Yekaterinburg (3),1-2,?,Zenit St. Petersburg (3)
?,(Wed) 13 Aug 2014 (W33),Arsenal Tula (3),0-0,?,FC Rubin Kazan (3)
?,(Wed) 13 Aug 2014 (W33),PFC CSKA Moskva (3),1-0,?,Akhmat Grozny (3)
?,(Thu) 14 Aug 2014 (W33),Lokomotiv Moskva (3),2-1,?,FC Rostov (3)
?,(Thu) 14 Aug 2014 (W33),FC Krasnodar (3),4-0,?,FC Spartak Moskva (3)
?,(Fri) 15 Aug 2014 (W33),FC Mordovia (3),0-0,?,FC Kuban (3)
