Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 25 Jul 2014 (W30),Concordia Chiajna (1),0-2,?,Astra Giurgiu (1)
?,(Fri) 25 Jul 2014 (W30),Universitatea Craiova (1),1-1,?,Pandurii Târgu Jiu (1)
?,(Sat) 26 Jul 2014 (W30),Târgu Mureș (1),0-0,?,U Cluj (1)
?,(Sat) 26 Jul 2014 (W30),Rapid București (1),1-3,?,Steaua București (1)
?,(Sun) 27 Jul 2014 (W30),FC Botoșani (1),0-3,?,Gaz Metan Mediaș (1)
?,(Sun) 27 Jul 2014 (W30),CFR Cluj (1),4-0,?,Ceahlăul Piatra Neamț (1)
?,(Sun) 27 Jul 2014 (W30),FC Brașov (1),0-1,?,FC Petrolul Ploiești (1)
?,(Mon) 28 Jul 2014 (W31),FC Politehnica Iași (1),0-0,?,FC Viitorul Constanța (1)
?,(Mon) 28 Jul 2014 (W31),Dinamo București (1),4-0,?,Oțelul Galați (1)
?,(Fri) 1 Aug 2014 (W31),Ceahlăul Piatra Neamț (2),1-4,?,Târgu Mureș (2)
?,(Fri) 1 Aug 2014 (W31),FC Viitorul Constanța (2),1-2,?,Rapid București (2)
?,(Sat) 2 Aug 2014 (W31),Oțelul Galați (2),1-2,?,Concordia Chiajna (2)
?,(Sat) 2 Aug 2014 (W31),Steaua București (2),3-1,?,Universitatea Craiova (2)
?,(Sun) 3 Aug 2014 (W31),FC Petrolul Ploiești (2),4-1,?,FC Botoșani (2)
?,(Sun) 3 Aug 2014 (W31),Astra Giurgiu (2),5-0,?,FC Brașov (2)
?,(Sun) 3 Aug 2014 (W31),Pandurii Târgu Jiu (2),0-0,?,CFR Cluj (2)
?,(Mon) 4 Aug 2014 (W32),Gaz Metan Mediaș (2),0-0,?,FC Politehnica Iași (2)
?,(Mon) 4 Aug 2014 (W32),U Cluj (2),2-3,?,Dinamo București (2)
?,(Fri) 8 Aug 2014 (W32),Universitatea Craiova (3),2-2,?,FC Viitorul Constanța (3)
?,(Fri) 8 Aug 2014 (W32),Rapid București (3),1-1,?,Gaz Metan Mediaș (3)
?,(Sat) 9 Aug 2014 (W32),Pandurii Târgu Jiu (3),0-1,?,Ceahlăul Piatra Neamț (3)
?,(Sat) 9 Aug 2014 (W32),Dinamo București (3),1-1,?,Târgu Mureș (3)
?,(Sun) 10 Aug 2014 (W32),FC Botoșani (3),1-0,?,Astra Giurgiu (3)
?,(Sun) 10 Aug 2014 (W32),FC Politehnica Iași (3),1-5,?,FC Petrolul Ploiești (3)
?,(Sun) 10 Aug 2014 (W32),CFR Cluj (3),0-1,?,Steaua București (3)
?,(Mon) 11 Aug 2014 (W33),Concordia Chiajna (3),0-2,?,U Cluj (3)
?,(Mon) 11 Aug 2014 (W33),FC Brașov (3),1-1,?,Oțelul Galați (3)
?,(Fri) 15 Aug 2014 (W33),Gaz Metan Mediaș (4),1-0,?,Universitatea Craiova (4)
?,(Fri) 15 Aug 2014 (W33),Steaua București (4),6-0,?,Pandurii Târgu Jiu (4)
?,(Sat) 16 Aug 2014 (W33),Astra Giurgiu (4),2-1,?,FC Politehnica Iași (4)
?,(Sat) 16 Aug 2014 (W33),FC Petrolul Ploiești (4),0-0,?,Rapid București (4)
?,(Sun) 17 Aug 2014 (W33),Târgu Mureș (4),2-0,?,Concordia Chiajna (4)
?,(Sun) 17 Aug 2014 (W33),Oțelul Galați (4),0-1,?,FC Botoșani (4)
?,(Sun) 17 Aug 2014 (W33),Ceahlăul Piatra Neamț (4),1-1,?,Dinamo București (4)
?,(Mon) 18 Aug 2014 (W34),U Cluj (4),1-1,?,FC Brașov (4)
?,(Mon) 18 Aug 2014 (W34),FC Viitorul Constanța (4),0-2,?,CFR Cluj (4)
?,(Fri) 22 Aug 2014 (W34),FC Brașov (5),2-1,?,Târgu Mureș (5)
?,(Fri) 22 Aug 2014 (W34),Concordia Chiajna (5),0-0,?,Dinamo București (5)
?,(Sat) 23 Aug 2014 (W34),Pandurii Târgu Jiu (5),1-1,?,FC Viitorul Constanța (5)
?,(Sat) 23 Aug 2014 (W34),Steaua București (5),0-1,?,Ceahlăul Piatra Neamț (5)
?,(Sun) 24 Aug 2014 (W34),FC Botoșani (5),1-0,?,U Cluj (5)
?,(Sun) 24 Aug 2014 (W34),Rapid București (5),0-2,?,Astra Giurgiu (5)
?,(Sun) 24 Aug 2014 (W34),Universitatea Craiova (5),0-2,?,FC Petrolul Ploiești (5)
?,(Mon) 25 Aug 2014 (W35),FC Politehnica Iași (5),0-0,?,Oțelul Galați (5)
