Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 18 Jul 2014 (W29),Podbeskidzie Bielsko-Biała (1),2-3,?,Pogoń Szczecin (1)
?,(Fri) 18 Jul 2014 (W29),Górnik Łęczna (1),1-1,?,Wisła Kraków (1)
?,(Sat) 19 Jul 2014 (W29),Jagiellonia Białystok (1),2-2,?,Lechia Gdańsk (1)
?,(Sat) 19 Jul 2014 (W29),Legia Warszawa (1),0-1,?,GKS Bełchatów (1)
?,(Sun) 20 Jul 2014 (W29),KKS Lech Poznań (1),4-0,?,Piast Gliwice (1)
?,(Sun) 20 Jul 2014 (W29),Zawisza Bydgoszcz (1),2-0,?,Korona Kielce (1)
?,(Sun) 20 Jul 2014 (W29),WKS Śląsk Wrocław (1),2-0,?,Ruch Chorzów (1)
?,(Mon) 21 Jul 2014 (W30),Górnik Zabrze (1),2-0,?,KS Cracovia (1)
?,(Fri) 25 Jul 2014 (W30),GKS Bełchatów (2),2-0,?,Korona Kielce (2)
?,(Fri) 25 Jul 2014 (W30),Lechia Gdańsk (2),1-0,?,Podbeskidzie Bielsko-Biała (2)
?,(Sat) 26 Jul 2014 (W30),Pogoń Szczecin (2),4-1,?,WKS Śląsk Wrocław (2)
?,(Sat) 26 Jul 2014 (W30),KS Cracovia (2),1-3,?,Legia Warszawa (2)
?,(Sun) 27 Jul 2014 (W30),Ruch Chorzów (2),1-2,?,Górnik Łęczna (2)
?,(Sun) 27 Jul 2014 (W30),Zawisza Bydgoszcz (2),1-3,?,Jagiellonia Białystok (2)
?,(Sun) 27 Jul 2014 (W30),Górnik Zabrze (2),1-1,?,KKS Lech Poznań (2)
?,(Mon) 28 Jul 2014 (W31),Wisła Kraków (2),1-1,?,Piast Gliwice (2)
?,(Fri) 1 Aug 2014 (W31),Jagiellonia Białystok (3),2-1,?,KS Cracovia (3)
?,(Fri) 1 Aug 2014 (W31),Piast Gliwice (3),1-3,?,Lechia Gdańsk (3)
?,(Sat) 2 Aug 2014 (W31),Korona Kielce (3),2-2,?,Pogoń Szczecin (3)
?,(Sat) 2 Aug 2014 (W31),Legia Warszawa (3),1-1,?,Górnik Zabrze (3)
?,(Sun) 3 Aug 2014 (W31),Podbeskidzie Bielsko-Biała (3),3-0,?,Ruch Chorzów (3)
?,(Sun) 3 Aug 2014 (W31),WKS Śląsk Wrocław (3),2-1,?,Zawisza Bydgoszcz (3)
?,(Sun) 3 Aug 2014 (W31),KKS Lech Poznań (3),2-3,?,Wisła Kraków (3)
?,(Mon) 4 Aug 2014 (W32),Górnik Łęczna (3),1-1,?,GKS Bełchatów (3)
?,(Fri) 8 Aug 2014 (W32),KS Cracovia (4),2-1,?,Korona Kielce (4)
?,(Fri) 8 Aug 2014 (W32),Górnik Zabrze (4),3-0,?,Jagiellonia Białystok (4)
?,(Sat) 9 Aug 2014 (W32),GKS Bełchatów (4),2-0,?,WKS Śląsk Wrocław (4)
?,(Sat) 9 Aug 2014 (W32),Legia Warszawa (4),5-0,?,Górnik Łęczna (4)
?,(Sun) 10 Aug 2014 (W32),Lechia Gdańsk (4),1-2,?,KKS Lech Poznań (4)
?,(Sun) 10 Aug 2014 (W32),Zawisza Bydgoszcz (4),1-2,?,Podbeskidzie Bielsko-Biała (4)
?,(Sun) 10 Aug 2014 (W32),Wisła Kraków (4),2-2,?,Ruch Chorzów (4)
?,(Mon) 11 Aug 2014 (W33),Pogoń Szczecin (4),0-0,?,Piast Gliwice (4)
?,(Fri) 15 Aug 2014 (W33),Korona Kielce (5),0-3,?,Górnik Zabrze (5)
?,(Fri) 15 Aug 2014 (W33),Jagiellonia Białystok (5),0-3,?,Legia Warszawa (5)
?,(Sat) 16 Aug 2014 (W33),Górnik Łęczna (5),5-2,?,Zawisza Bydgoszcz (5)
?,(Sat) 16 Aug 2014 (W33),Piast Gliwice (5),0-1,?,Ruch Chorzów (5)
?,(Sat) 16 Aug 2014 (W33),KKS Lech Poznań (5),1-1,?,Pogoń Szczecin (5)
?,(Sun) 17 Aug 2014 (W33),WKS Śląsk Wrocław (5),0-0,?,KS Cracovia (5)
