Round,Date,Team 1,FT,HT,Team 2
?,(Sun) 12 Jun 2016 (W23),Palmeiras SP (7),1-0,?,Corinthians SP (7)
?,(Sun) 12 Jun 2016 (W23),Santa Cruz (7),0-2,?,Santos SP (7)
?,(Wed) 15 Jun 2016 (W24),Chapecoense (8),3-3,?,Grêmio RS (8)
?,(Wed) 15 Jun 2016 (W24),Ponte Preta (8),3-2,?,Atlético PR (8)
?,(Wed) 15 Jun 2016 (W24),São Paulo FC (8),2-0,?,EC Vitória (8)
?,(Thu) 16 Jun 2016 (W24),Botafogo RJ (8),3-1,?,América MG (8)
?,(Thu) 16 Jun 2016 (W24),Santa Cruz (8),1-0,?,Figueirense (8)
?,(Thu) 16 Jun 2016 (W24),Santos SP (8),2-0,?,Sport Recife (8)
?,(Thu) 16 Jun 2016 (W24),Coritiba PR (8),2-2,?,Palmeiras SP (8)
?,(Thu) 16 Jun 2016 (W24),Cruzeiro MG (8),0-1,?,Flamengo RJ (8)
?,(Thu) 16 Jun 2016 (W24),Internacional Porto Alegre (8),2-0,?,Atlético MG (8)
?,(Fri) 17 Jun 2016 (W24),Fluminense RJ (8),1-0,?,Corinthians SP (8)
?,(Sat) 18 Jun 2016 (W24),Palmeiras SP (9),3-1,?,Santa Cruz (9)
?,(Sat) 18 Jun 2016 (W24),Atlético PR (9),1-0,?,Santos SP (9)
?,(Sun) 19 Jun 2016 (W24),América MG (9),2-1,?,Coritiba PR (9)
?,(Sun) 19 Jun 2016 (W24),Atlético MG (9),3-0,?,Ponte Preta (9)
?,(Sun) 19 Jun 2016 (W24),EC Vitória (9),1-2,?,Chapecoense (9)
?,(Sun) 19 Jun 2016 (W24),Corinthians SP (9),3-1,?,Botafogo RJ (9)
?,(Sun) 19 Jun 2016 (W24),Figueirense (9),3-2,?,Internacional Porto Alegre (9)
?,(Sun) 19 Jun 2016 (W24),Flamengo RJ (9),2-2,?,São Paulo FC (9)
?,(Sun) 19 Jun 2016 (W24),Sport Recife (9),2-1,?,Fluminense RJ (9)
?,(Sun) 19 Jun 2016 (W24),Grêmio RS (9),2-0,?,Cruzeiro MG (9)
?,(Wed) 22 Jun 2016 (W25),Palmeiras SP (10),2-0,?,América MG (10)
?,(Wed) 22 Jun 2016 (W25),Ponte Preta (10),0-4,?,Cruzeiro MG (10)
?,(Thu) 23 Jun 2016 (W25),Botafogo RJ (10),0-0,?,Figueirense (10)
?,(Thu) 23 Jun 2016 (W25),Santa Cruz (10),0-1,?,Flamengo RJ (10)
?,(Thu) 23 Jun 2016 (W25),Atlético MG (10),2-1,?,Corinthians SP (10)
?,(Thu) 23 Jun 2016 (W25),Fluminense RJ (10),2-4,?,Santos SP (10)
?,(Thu) 23 Jun 2016 (W25),Chapecoense (10),0-0,?,Atlético PR (10)
?,(Thu) 23 Jun 2016 (W25),Grêmio RS (10),1-2,?,EC Vitória (10)
?,(Fri) 24 Jun 2016 (W25),São Paulo FC (10),0-0,?,Sport Recife (10)
?,(Fri) 24 Jun 2016 (W25),Coritiba PR (10),1-1,?,Internacional Porto Alegre (10)
?,(Sat) 25 Jun 2016 (W25),Cruzeiro MG (11),2-1,?,Palmeiras SP (11)
?,(Sun) 26 Jun 2016 (W25),Corinthians SP (11),2-1,?,Santa Cruz (11)
?,(Sun) 26 Jun 2016 (W25),América MG (11),0-1,?,Atlético MG (11)
?,(Sun) 26 Jun 2016 (W25),Atlético PR (11),2-0,?,Grêmio RS (11)
?,(Sun) 26 Jun 2016 (W25),Flamengo RJ (11),1-2,?,Fluminense RJ (11)
?,(Sun) 26 Jun 2016 (W25),Internacional Porto Alegre (11),2-3,?,Botafogo RJ (11)
?,(Sun) 26 Jun 2016 (W25),Santos SP (11),3-0,?,São Paulo FC (11)
?,(Sun) 26 Jun 2016 (W25),EC Vitória (11),1-1,?,Ponte Preta (11)
?,(Sun) 26 Jun 2016 (W25),Figueirense (11),0-0,?,Coritiba PR (11)
?,(Sun) 26 Jun 2016 (W25),Sport Recife (11),5-1,?,Chapecoense (11)
?,(Wed) 29 Jun 2016 (W26),Flamengo RJ (12),1-0,?,Internacional Porto Alegre (12)
?,(Wed) 29 Jun 2016 (W26),Grêmio RS (12),3-2,?,Santos SP (12)
?,(Wed) 29 Jun 2016 (W26),EC Vitória (12),3-2,?,Sport Recife (12)
?,(Thu) 30 Jun 2016 (W26),Chapecoense (12),3-2,?,Cruzeiro MG (12)
?,(Thu) 30 Jun 2016 (W26),Coritiba PR (12),1-0,?,Atlético PR (12)
?,(Thu) 30 Jun 2016 (W26),América MG (12),0-2,?,Corinthians SP (12)
?,(Thu) 30 Jun 2016 (W26),São Paulo FC (12),2-1,?,Fluminense RJ (12)
?,(Thu) 30 Jun 2016 (W26),Palmeiras SP (12),4-0,?,Figueirense (12)
?,(Thu) 30 Jun 2016 (W26),Santa Cruz (12),0-3,?,Ponte Preta (12)
?,(Fri) 1 Jul 2016 (W26),Atlético MG (12),5-3,?,Botafogo RJ (12)
?,(Sat) 2 Jul 2016 (W26),Fluminense RJ (13),0-0,?,Coritiba PR (13)
?,(Sat) 2 Jul 2016 (W26),Atlético PR (13),1-0,?,América MG (13)
?,(Sun) 3 Jul 2016 (W26),Cruzeiro MG (13),2-2,?,EC Vitória (13)
?,(Sun) 3 Jul 2016 (W26),Internacional Porto Alegre (13),0-1,?,Grêmio RS (13)
?,(Sun) 3 Jul 2016 (W26),Botafogo RJ (13),2-1,?,Santa Cruz (13)
?,(Sun) 3 Jul 2016 (W26),Corinthians SP (13),4-0,?,Flamengo RJ (13)
?,(Sun) 3 Jul 2016 (W26),Ponte Preta (13),1-0,?,São Paulo FC (13)
?,(Sun) 3 Jul 2016 (W26),Santos SP (13),3-0,?,Chapecoense (13)
?,(Sun) 3 Jul 2016 (W26),Figueirense (13),1-1,?,Atlético MG (13)
?,(Tue) 5 Jul 2016 (W27),Sport Recife (13),1-3,?,Palmeiras SP (13)
?,(Sat) 9 Jul 2016 (W27),Chapecoense (14),0-2,?,Corinthians SP (14)
?,(Sat) 9 Jul 2016 (W27),Coritiba PR (14),0-0,?,Botafogo RJ (14)
?,(Sun) 10 Jul 2016 (W27),Ponte Preta (14),2-1,?,Sport Recife (14)
?,(Sun) 10 Jul 2016 (W27),Flamengo RJ (14),2-0,?,Atlético MG (14)
?,(Sun) 10 Jul 2016 (W27),Grêmio RS (14),2-1,?,Figueirense (14)
?,(Sun) 10 Jul 2016 (W27),Santa Cruz (14),1-0,?,Internacional Porto Alegre (14)
?,(Sun) 10 Jul 2016 (W27),São Paulo FC (14),3-0,?,América MG (14)
?,(Sun) 10 Jul 2016 (W27),EC Vitória (14),0-0,?,Fluminense RJ (14)
?,(Tue) 12 Jul 2016 (W28),Cruzeiro MG (14),0-3,?,Atlético PR (14)
?,(Wed) 13 Jul 2016 (W28),Palmeiras SP (14),1-1,?,Santos SP (14)
?,(Sat) 16 Jul 2016 (W28),Botafogo RJ (15),3-3,?,Flamengo RJ (15)
?,(Sat) 16 Jul 2016 (W28),Santos SP (15),3-1,?,Ponte Preta (15)
?,(Sun) 17 Jul 2016 (W28),América MG (15),0-3,?,Santa Cruz (15)
?,(Sun) 17 Jul 2016 (W28),Atlético PR (15),1-1,?,EC Vitória (15)
?,(Sun) 17 Jul 2016 (W28),Corinthians SP (15),1-1,?,São Paulo FC (15)
?,(Sun) 17 Jul 2016 (W28),Figueirense (15),1-1,?,Chapecoense (15)
?,(Sun) 17 Jul 2016 (W28),Fluminense RJ (15),2-0,?,Cruzeiro MG (15)
?,(Sun) 17 Jul 2016 (W28),Internacional Porto Alegre (15),0-1,?,Palmeiras SP (15)
?,(Sun) 17 Jul 2016 (W28),Sport Recife (15),4-2,?,Grêmio RS (15)
?,(Tue) 19 Jul 2016 (W29),Atlético MG (15),2-1,?,Coritiba PR (15)
?,(Sat) 23 Jul 2016 (W29),Corinthians SP (16),1-1,?,Figueirense (16)
?,(Sat) 23 Jul 2016 (W29),Santa Cruz (16),0-1,?,Coritiba PR (16)
