Round,Date,Team 1,FT,Team 2
1,Fri Aug 2 2019,PEC Zwolle,1-3,Willem II Tilburg
1,Sat Aug 3 2019,Vitesse Arnhem,2-2,Ajax Amsterdam
1,Sat Aug 3 2019,FC Emmen,0-1,FC Groningen
1,Sat Aug 3 2019,FC Twente,1-1,PSV Eindhoven
1,Sat Aug 3 2019,VVV Venlo,3-1,RKC Waalwijk
1,Sun Aug 4 2019,Heracles Almelo,0-4,SC Heerenveen
1,Sun Aug 4 2019,Feyenoord Rotterdam,2-2,Sparta Rotterdam
1,Sun Aug 4 2019,ADO Den Haag,2-4,FC Utrecht
1,Sun Aug 4 2019,AZ Alkmaar,4-0,Fortuna Sittard
2,Fri Aug 9 2019,Sparta Rotterdam,4-1,VVV Venlo
2,Sat Aug 10 2019,FC Groningen,1-3,FC Twente
2,Sat Aug 10 2019,Ajax Amsterdam,5-0,FC Emmen
2,Sat Aug 10 2019,Willem II Tilburg,0-2,Vitesse Arnhem
2,Sun Aug 11 2019,Fortuna Sittard,1-1,Heracles Almelo
2,Sun Aug 11 2019,SC Heerenveen,1-1,Feyenoord Rotterdam
2,Sun Aug 11 2019,RKC Waalwijk,0-2,AZ Alkmaar
2,Sun Aug 11 2019,FC Utrecht,3-1,PEC Zwolle
2,Sun Aug 11 2019,PSV Eindhoven,3-1,ADO Den Haag
3,Fri Aug 16 2019,Vitesse Arnhem,3-0,PEC Zwolle
3,Sat Aug 17 2019,ADO Den Haag,1-2,Sparta Rotterdam
3,Sat Aug 17 2019,VVV Venlo,1-4,Ajax Amsterdam
3,Sat Aug 17 2019,FC Emmen,2-0,SC Heerenveen
3,Sun Aug 18 2019,Fortuna Sittard,2-3,Willem II Tilburg
3,Sun Aug 18 2019,FC Twente,3-3,RKC Waalwijk
3,Sun Aug 18 2019,Feyenoord Rotterdam,1-1,FC Utrecht
3,Sun Aug 18 2019,AZ Alkmaar,0-0,FC Groningen
3,Sun Aug 18 2019,Heracles Almelo,0-2,PSV Eindhoven
4,Sat Aug 24 2019,Willem II Tilburg,2-1,FC Emmen
4,Sat Aug 24 2019,Heracles Almelo,1-1,Vitesse Arnhem
4,Sat Aug 24 2019,SC Heerenveen,0-0,FC Twente
4,Sun Aug 25 2019,RKC Waalwijk,0-3,ADO Den Haag
4,Sun Aug 25 2019,FC Utrecht,1-2,VVV Venlo
4,Sun Aug 25 2019,PEC Zwolle,2-2,Sparta Rotterdam
5,Fri Aug 30 2019,FC Emmen,1-3,PEC Zwolle
5,Sat Aug 31 2019,SC Heerenveen,1-1,Fortuna Sittard
5,Sat Aug 31 2019,FC Groningen,1-2,Heracles Almelo
5,Sat Aug 31 2019,ADO Den Haag,1-0,VVV Venlo
5,Sun Sep 1 2019,FC Twente,3-1,FC Utrecht
5,Sun Sep 1 2019,Sparta Rotterdam,1-4,Ajax Amsterdam
5,Sun Sep 1 2019,Willem II Tilburg,0-1,Feyenoord Rotterdam
5,Sun Sep 1 2019,Vitesse Arnhem,2-1,AZ Alkmaar
5,Sun Sep 1 2019,RKC Waalwijk,1-3,PSV Eindhoven
6,Sat Sep 14 2019,AZ Alkmaar,5-1,Sparta Rotterdam
6,Sat Sep 14 2019,Ajax Amsterdam,4-1,SC Heerenveen
6,Sat Sep 14 2019,VVV Venlo,2-1,FC Groningen
6,Sat Sep 14 2019,PSV Eindhoven,5-0,Vitesse Arnhem
6,Sat Sep 14 2019,FC Utrecht,3-1,FC Emmen
6,Sun Sep 15 2019,PEC Zwolle,6-2,RKC Waalwijk
6,Sun Sep 15 2019,Feyenoord Rotterdam,3-2,ADO Den Haag
