Round,Date,Team 1,FT,Team 2
1^ Giornata,Sat Aug 24 2019,Parma,0-1,Juventus
1^ Giornata,Sat Aug 24 2019,ACF Fiorentina,3-4,SSC Napoli
1^ Giornata,Sun Aug 25 2019,Udinese Calcio,1-0,AC Milan
1^ Giornata,Sun Aug 25 2019,Cagliari Calcio,0-1,Brescia Calcio
1^ Giornata,Sun Aug 25 2019,Hellas Verona,1-1,Bologna FC
1^ Giornata,Sun Aug 25 2019,Torino FC,2-1,US Sassuolo Calcio
1^ Giornata,Sun Aug 25 2019,UC Sampdoria,0-3,SS Lazio
1^ Giornata,Sun Aug 25 2019,SPAL Ferrara,2-3,Atalanta Bergamo
1^ Giornata,Sun Aug 25 2019,AS Roma,3-3,Genoa CFC
1^ Giornata,Mon Aug 26 2019,FC Internazionale Milano,4-0,US Lecce
2^ Giornata,Fri Aug 30 2019,Bologna FC,1-0,SPAL Ferrara
2^ Giornata,Sat Aug 31 2019,AC Milan,1-0,Brescia Calcio
2^ Giornata,Sat Aug 31 2019,Juventus,4-3,SSC Napoli
2^ Giornata,Sun Sep 1 2019,SS Lazio,1-1,AS Roma
2^ Giornata,Sun Sep 1 2019,Cagliari Calcio,1-2,FC Internazionale Milano
2^ Giornata,Sun Sep 1 2019,Udinese Calcio,1-3,Parma
2^ Giornata,Sun Sep 1 2019,Genoa CFC,2-1,ACF Fiorentina
2^ Giornata,Sun Sep 1 2019,Atalanta Bergamo,2-3,Torino FC
2^ Giornata,Sun Sep 1 2019,US Sassuolo Calcio,4-1,UC Sampdoria
2^ Giornata,Sun Sep 1 2019,US Lecce,0-1,Hellas Verona
3^ Giornata,Sat Sep 14 2019,ACF Fiorentina,0-0,Juventus
3^ Giornata,Sat Sep 14 2019,SSC Napoli,2-0,UC Sampdoria
3^ Giornata,Sat Sep 14 2019,FC Internazionale Milano,1-0,Udinese Calcio
3^ Giornata,Sun Sep 15 2019,Genoa CFC,1-2,Atalanta Bergamo
3^ Giornata,Sun Sep 15 2019,Brescia Calcio,3-4,Bologna FC
3^ Giornata,Sun Sep 15 2019,Parma,1-3,Cagliari Calcio
3^ Giornata,Sun Sep 15 2019,SPAL Ferrara,2-1,SS Lazio
3^ Giornata,Sun Sep 15 2019,AS Roma,4-2,US Sassuolo Calcio
3^ Giornata,Sun Sep 15 2019,Hellas Verona,0-1,AC Milan
3^ Giornata,Mon Sep 16 2019,Torino FC,1-2,US Lecce
4^ Giornata,Fri Sep 20 2019,Cagliari Calcio,3-1,Genoa CFC
4^ Giornata,Sat Sep 21 2019,Udinese Calcio,0-1,Brescia Calcio
4^ Giornata,Sat Sep 21 2019,Juventus,2-1,Hellas Verona
4^ Giornata,Sat Sep 21 2019,AC Milan,0-2,FC Internazionale Milano
4^ Giornata,Sun Sep 22 2019,US Sassuolo Calcio,3-0,SPAL Ferrara
4^ Giornata,Sun Sep 22 2019,Bologna FC,1-2,AS Roma
4^ Giornata,Sun Sep 22 2019,UC Sampdoria,1-0,Torino FC
4^ Giornata,Sun Sep 22 2019,US Lecce,1-4,SSC Napoli
