Round,Date,Team 1,FT,Team 2
Journée 1,Fri Aug 9 2019,AS Monaco,0-3,Olympique Lyonnais
Journée 1,Sat Aug 10 2019,Olympique de Marseille,0-2,Stade de Reims
Journée 1,Sat Aug 10 2019,Angers SCO,3-1,Girondins de Bordeaux
Journée 1,Sat Aug 10 2019,Stade Brestois 29,1-1,Toulouse FC
Journée 1,Sat Aug 10 2019,OGC Nice,2-1,Amiens SC
Journée 1,Sat Aug 10 2019,Montpellier HSC,0-1,Stade Rennais FC
Journée 1,Sat Aug 10 2019,Dijon FCO,1-2,AS Saint-Étienne
Journée 1,Sun Aug 11 2019,Lille OSC,2-1,FC Nantes
Journée 1,Sun Aug 11 2019,Paris Saint-Germain,3-0,Nîmes Olympique
Journée 1,Sun Aug 11 2019,RC Strasbourg,1-1,FC Metz
Journée 2,Fri Aug 16 2019,Olympique Lyonnais,6-0,Angers SCO
Journée 2,Sat Aug 17 2019,Nîmes Olympique,1-2,OGC Nice
Journée 2,Sat Aug 17 2019,FC Metz,3-0,AS Monaco
Journée 2,Sat Aug 17 2019,FC Nantes,0-0,Olympique de Marseille
Journée 2,Sat Aug 17 2019,Girondins de Bordeaux,1-1,Montpellier HSC
Journée 2,Sat Aug 17 2019,Toulouse FC,1-0,Dijon FCO
Journée 2,Sat Aug 17 2019,Amiens SC,1-0,Lille OSC
Journée 2,Sun Aug 18 2019,AS Saint-Étienne,1-1,Stade Brestois 29
Journée 2,Sun Aug 18 2019,Stade de Reims,0-0,RC Strasbourg
Journée 2,Sun Aug 18 2019,Stade Rennais FC,2-1,Paris Saint-Germain
Journée 3,Sat Aug 24 2019,Dijon FCO,0-2,Girondins de Bordeaux
Journée 3,Sat Aug 24 2019,Stade Brestois 29,1-0,Stade de Reims
Journée 3,Sat Aug 24 2019,Amiens SC,1-2,FC Nantes
Journée 3,Sat Aug 24 2019,Angers SCO,3-0,FC Metz
Journée 3,Sun Aug 25 2019,Paris Saint-Germain,4-0,Toulouse FC
Journée 3,Sun Aug 25 2019,RC Strasbourg,0-2,Stade Rennais FC
Journée 3,Sun Aug 25 2019,AS Monaco,2-2,Nîmes Olympique
Journée 3,Tue Aug 27 2019,Montpellier HSC,1-0,Olympique Lyonnais
Journée 3,Wed Aug 28 2019,Lille OSC,3-0,AS Saint-Étienne
