Round,Date,Team 1,FT,Team 2
1^ Giornata,Fri Aug 23 2019,AC Pisa,0-0,Benevento
1^ Giornata,Sat Aug 24 2019,FC Crotone,0-0,Cosenza Calcio
1^ Giornata,Sat Aug 24 2019,Salernitana,3-1,Pescara
1^ Giornata,Sat Aug 24 2019,Ascoli,3-1,Trapani Calcio
1^ Giornata,Sat Aug 24 2019,Virtus Entella,1-0,AS Livorno Calcio
1^ Giornata,Sat Aug 24 2019,Venezia,1-2,US Cremonese
1^ Giornata,Sat Aug 24 2019,Cittadella,0-3,Spezia
1^ Giornata,Sun Aug 25 2019,Empoli,2-1,SS Juve Stabia
1^ Giornata,Sun Aug 25 2019,AC Perugia,2-1,AC Chievo Verona
1^ Giornata,Mon Aug 26 2019,Pordenone Calcio,3-0,Frosinone
2^ Giornata,Fri Aug 30 2019,AC Chievo Verona,1-1,Empoli
2^ Giornata,Sat Aug 31 2019,Trapani Calcio,0-1,Venezia
2^ Giornata,Sat Aug 31 2019,Benevento,4-1,Cittadella
2^ Giornata,Sat Aug 31 2019,Cosenza Calcio,0-1,Salernitana
2^ Giornata,Sat Aug 31 2019,US Cremonese,0-1,Virtus Entella
2^ Giornata,Sat Aug 31 2019,AS Livorno Calcio,0-1,AC Perugia
2^ Giornata,Sat Aug 31 2019,Spezia,1-2,FC Crotone
2^ Giornata,Sun Sep 1 2019,SS Juve Stabia,0-2,AC Pisa
2^ Giornata,Sun Sep 1 2019,Pescara,4-2,Pordenone Calcio
2^ Giornata,Sun Sep 1 2019,Frosinone,2-1,Ascoli
3^ Giornata,Fri Sep 13 2019,Pordenone Calcio,1-0,Spezia
3^ Giornata,Sat Sep 14 2019,Ascoli,2-0,AS Livorno Calcio
3^ Giornata,Sat Sep 14 2019,Cittadella,2-0,Trapani Calcio
3^ Giornata,Sat Sep 14 2019,AC Perugia,0-0,SS Juve Stabia
3^ Giornata,Sat Sep 14 2019,Venezia,0-2,AC Chievo Verona
3^ Giornata,Sat Sep 14 2019,Virtus Entella,1-0,Frosinone
3^ Giornata,Sun Sep 15 2019,Cosenza Calcio,1-2,Pescara
3^ Giornata,Sun Sep 15 2019,FC Crotone,0-0,Empoli
3^ Giornata,Sun Sep 15 2019,AC Pisa,4-1,US Cremonese
3^ Giornata,Mon Sep 16 2019,Salernitana,0-2,Benevento
4^ Giornata,Fri Sep 20 2019,Frosinone,1-1,Venezia
4^ Giornata,Sat Sep 21 2019,US Cremonese,2-1,FC Crotone
4^ Giornata,Sat Sep 21 2019,Benevento,1-0,Cosenza Calcio
4^ Giornata,Sat Sep 21 2019,Empoli,1-0,Cittadella
4^ Giornata,Sat Sep 21 2019,SS Juve Stabia,1-5,Ascoli
4^ Giornata,Sat Sep 21 2019,AS Livorno Calcio,2-1,Pordenone Calcio
4^ Giornata,Sat Sep 21 2019,Pescara,1-1,Virtus Entella
4^ Giornata,Sat Sep 21 2019,AC Chievo Verona,2-2,AC Pisa
4^ Giornata,Sat Sep 21 2019,Spezia,2-2,AC Perugia
4^ Giornata,Sun Sep 22 2019,Trapani Calcio,0-1,Salernitana
5^ Giornata,Tue Sep 24 2019,Ascoli,3-0,Spezia
5^ Giornata,Tue Sep 24 2019,Cittadella,2-1,Pescara
5^ Giornata,Tue Sep 24 2019,Cosenza Calcio,1-1,AS Livorno Calcio
5^ Giornata,Tue Sep 24 2019,FC Crotone,2-0,SS Juve Stabia
5^ Giornata,Tue Sep 24 2019,Virtus Entella,0-2,Venezia
5^ Giornata,Tue Sep 24 2019,AC Pisa,2-3,Empoli
5^ Giornata,Tue Sep 24 2019,Pordenone Calcio,1-1,Benevento
5^ Giornata,Tue Sep 24 2019,AC Perugia,3-1,Frosinone
5^ Giornata,Wed Sep 25 2019,Salernitana,1-1,AC Chievo Verona
5^ Giornata,Wed Sep 25 2019,Trapani Calcio,0-0,US Cremonese
6^ Giornata,Fri Sep 27 2019,Pescara,0-3,FC Crotone
6^ Giornata,Sat Sep 28 2019,Frosinone,1-1,Cosenza Calcio
6^ Giornata,Sat Sep 28 2019,SS Juve Stabia,0-1,Cittadella
6^ Giornata,Sat Sep 28 2019,Venezia,1-1,AC Pisa
6^ Giornata,Sat Sep 28 2019,Empoli,3-0,AC Perugia
6^ Giornata,Sun Sep 29 2019,Benevento,1-1,Virtus Entella
6^ Giornata,Sun Sep 29 2019,AC Chievo Verona,1-1,Pordenone Calcio
6^ Giornata,Sun Sep 29 2019,Spezia,2-4,Trapani Calcio
6^ Giornata,Sun Sep 29 2019,AS Livorno Calcio,2-3,Salernitana
6^ Giornata,Mon Sep 30 2019,US Cremonese,1-0,Ascoli
7^ Giornata,Fri Oct 4 2019,AC Perugia,1-0,AC Pisa
7^ Giornata,Sat Oct 5 2019,Trapani Calcio,1-2,SS Juve Stabia
7^ Giornata,Sat Oct 5 2019,Cosenza Calcio,1-1,Venezia
7^ Giornata,Sat Oct 5 2019,AS Livorno Calcio,3-4,AC Chievo Verona
7^ Giornata,Sat Oct 5 2019,Pordenone Calcio,2-0,Empoli
7^ Giornata,Sat Oct 5 2019,Spezia,0-1,Benevento
7^ Giornata,Sat Oct 5 2019,FC Crotone,3-1,Virtus Entella
7^ Giornata,Sun Oct 6 2019,US Cremonese,0-2,Cittadella
7^ Giornata,Sun Oct 6 2019,Salernitana,1-1,Frosinone
7^ Giornata,Sun Oct 6 2019,Ascoli,0-2,Pescara
8^ Giornata,Fri Oct 18 2019,Cittadella,1-3,Cosenza Calcio
8^ Giornata,Sat Oct 19 2019,SS Juve Stabia,4-2,Pordenone Calcio
8^ Giornata,Sat Oct 19 2019,Pescara,1-2,Spezia
8^ Giornata,Sat Oct 19 2019,Benevento,1-0,AC Perugia
8^ Giornata,Sat Oct 19 2019,Virtus Entella,1-1,Trapani Calcio
8^ Giornata,Sat Oct 19 2019,Venezia,1-0,Salernitana
8^ Giornata,Sun Oct 20 2019,AC Chievo Verona,2-0,Ascoli
8^ Giornata,Sun Oct 20 2019,AC Pisa,1-1,FC Crotone
8^ Giornata,Sun Oct 20 2019,Empoli,1-1,US Cremonese
8^ Giornata,Mon Oct 21 2019,Frosinone,1-0,AS Livorno Calcio
9^ Giornata,Fri Oct 25 2019,Ascoli,2-1,Virtus Entella
9^ Giornata,Sat Oct 26 2019,FC Crotone,3-2,Venezia
9^ Giornata,Sat Oct 26 2019,Cosenza Calcio,1-1,AC Chievo Verona
9^ Giornata,Sat Oct 26 2019,Pescara,4-0,Benevento
