Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 13 Feb 2015 (W7),Vélez Sarsfield (1),2-0,?,Club Atlético Aldosivi (1)
?,(Fri) 13 Feb 2015 (W7),Racing Club (1),0-1,?,Rosario Central (1)
?,(Sat) 14 Feb 2015 (W7),Gimnasia y Esgrima LP (1),0-1,?,Defensa y Justicia (1)
?,(Sat) 14 Feb 2015 (W7),San Lorenzo (1),2-0,?,Colón Santa Fe (1)
?,(Sat) 14 Feb 2015 (W7),Godoy Cruz (1),1-1,?,San Martín San Juan (1)
?,(Sat) 14 Feb 2015 (W7),Newell's Old Boys (1),2-3,?,CA Independiente de Avellaneda (1)
?,(Sat) 14 Feb 2015 (W7),Club Atlético Banfield (1),0-1,?,Temperley (1)
?,(Sat) 14 Feb 2015 (W7),Crucero del Norte (1),0-0,?,CA Tigre (1)
?,(Sun) 15 Feb 2015 (W7),Quilmes AC (1),0-1,?,CA Lanús (1)
?,(Sun) 15 Feb 2015 (W7),Unión Santa Fe (1),1-0,?,Huracán (1)
?,(Sun) 15 Feb 2015 (W7),Boca Juniors (1),3-1,?,Olimpo Bahía Blanca (1)
?,(Sun) 15 Feb 2015 (W7),Argentinos Juniors (1),2-0,?,Atlético Rafaela (1)
?,(Sun) 15 Feb 2015 (W7),Sarmiento Junín (1),1-4,?,River Plate (1)
?,(Mon) 16 Feb 2015 (W8),Arsenal de Sarandí (1),0-1,?,Estudiantes LP (1)
?,(Mon) 16 Feb 2015 (W8),Club Atlético Belgrano (1),3-1,?,Nueva Chicago (1)
?,(Fri) 20 Feb 2015 (W8),Atlético Rafaela (2),1-4,?,Club Atlético Banfield (2)
?,(Sat) 21 Feb 2015 (W8),Huracán (2),1-0,?,Arsenal de Sarandí (2)
?,(Sat) 21 Feb 2015 (W8),Estudiantes LP (2),2-1,?,Godoy Cruz (2)
?,(Sat) 21 Feb 2015 (W8),Rosario Central (2),2-1,?,CA Tigre (2)
?,(Sat) 21 Feb 2015 (W8),Olimpo Bahía Blanca (2),0-0,?,Racing Club (2)
?,(Sat) 21 Feb 2015 (W8),Vélez Sarsfield (2),2-1,?,Crucero del Norte (2)
?,(Sat) 21 Feb 2015 (W8),San Martín San Juan (2),1-1,?,Gimnasia y Esgrima LP (2)
?,(Sun) 22 Feb 2015 (W8),Club Atlético Aldosivi (2),0-1,?,Newell's Old Boys (2)
?,(Sun) 22 Feb 2015 (W8),CA Independiente de Avellaneda (2),1-1,?,Sarmiento Junín (2)
?,(Sun) 22 Feb 2015 (W8),Nueva Chicago (2),2-2,?,Unión Santa Fe (2)
?,(Sun) 22 Feb 2015 (W8),River Plate (2),2-2,?,Quilmes AC (2)
?,(Sun) 22 Feb 2015 (W8),Colón Santa Fe (2),1-1,?,Argentinos Juniors (2)
?,(Sun) 22 Feb 2015 (W8),Temperley (2),0-2,?,Boca Juniors (2)
?,(Mon) 23 Feb 2015 (W9),CA Lanús (2),0-0,?,Club Atlético Belgrano (2)
?,(Mon) 23 Feb 2015 (W9),Defensa y Justicia (2),1-2,?,San Lorenzo (2)
?,(Fri) 27 Feb 2015 (W9),Arsenal de Sarandí (3),1-1,?,Nueva Chicago (3)
?,(Fri) 27 Feb 2015 (W9),Godoy Cruz (3),2-1,?,Huracán (3)
?,(Sat) 28 Feb 2015 (W9),CA Tigre (3),1-0,?,Olimpo Bahía Blanca (3)
?,(Sat) 28 Feb 2015 (W9),Crucero del Norte (3),0-1,?,Rosario Central (3)
?,(Sat) 28 Feb 2015 (W9),Unión Santa Fe (3),1-1,?,CA Lanús (3)
?,(Sat) 28 Feb 2015 (W9),Quilmes AC (3),1-2,?,CA Independiente de Avellaneda (3)
?,(Sat) 28 Feb 2015 (W9),San Lorenzo (3),1-2,?,San Martín San Juan (3)
?,(Sun) 1 Mar 2015 (W9),Gimnasia y Esgrima LP (3),1-3,?,Estudiantes LP (3)
?,(Sun) 1 Mar 2015 (W9),Boca Juniors (3),1-0,?,Atlético Rafaela (3)
?,(Sun) 1 Mar 2015 (W9),Argentinos Juniors (3),1-0,?,Defensa y Justicia (3)
?,(Sun) 1 Mar 2015 (W9),Racing Club (3),2-1,?,Temperley (3)
?,(Sun) 1 Mar 2015 (W9),Club Atlético Belgrano (3),1-2,?,River Plate (3)
?,(Mon) 2 Mar 2015 (W10),Sarmiento Junín (3),2-2,?,Club Atlético Aldosivi (3)
?,(Mon) 2 Mar 2015 (W10),Club Atlético Banfield (3),0-0,?,Colón Santa Fe (3)
?,(Mon) 2 Mar 2015 (W10),Newell's Old Boys (3),0-0,?,Vélez Sarsfield (3)
?,(Fri) 6 Mar 2015 (W10),Huracán (4),1-1,?,Gimnasia y Esgrima LP (4)
?,(Fri) 6 Mar 2015 (W10),Atlético Rafaela (4),1-1,?,Racing Club (4)
?,(Sat) 7 Mar 2015 (W10),Nueva Chicago (4),0-2,?,Godoy Cruz (4)
?,(Sat) 7 Mar 2015 (W10),Olimpo Bahía Blanca (4),1-3,?,Rosario Central (4)
?,(Sat) 7 Mar 2015 (W10),Club Atlético Aldosivi (4),1-1,?,Quilmes AC (4)
?,(Sat) 7 Mar 2015 (W10),CA Independiente de Avellaneda (4),1-2,?,Club Atlético Belgrano (4)
?,(Sat) 7 Mar 2015 (W10),Newell's Old Boys (4),2-0,?,Crucero del Norte (4)
?,(Sun) 8 Mar 2015 (W10),Defensa y Justicia (4),1-0,?,Club Atlético Banfield (4)
?,(Sun) 8 Mar 2015 (W10),CA Lanús (4),0-0,?,Arsenal de Sarandí (4)
?,(Sun) 8 Mar 2015 (W10),Vélez Sarsfield (4),1-1,?,Sarmiento Junín (4)
