Round,Date,Team 1,FT,HT,Team 2
?,(Mon) 6 Apr 2015 (W15),Mjøndalen IF (1),1-0,?,Viking FK (1)
?,(Mon) 6 Apr 2015 (W15),Rosenborg BK (1),5-0,?,Aalesunds FK (1)
?,(Mon) 6 Apr 2015 (W15),Sandefjord (1),3-1,?,Bodø/Glimt (1)
?,(Mon) 6 Apr 2015 (W15),Stabæk (1),1-1,?,FK Haugesund (1)
?,(Mon) 6 Apr 2015 (W15),Tromsø IL (1),0-1,?,Sarpsborg 08 (1)
?,(Mon) 6 Apr 2015 (W15),Vålerenga Fotball (1),3-1,?,Strømsgodset IF (1)
?,(Tue) 7 Apr 2015 (W15),Lillestrøm SK (1),1-1,?,IK Start (1)
?,(Tue) 7 Apr 2015 (W15),Molde FK (1),1-2,?,Odds BK (1)
?,(Fri) 10 Apr 2015 (W15),Sarpsborg 08 (2),1-1,?,Vålerenga Fotball (2)
?,(Sat) 11 Apr 2015 (W15),Bodø/Glimt (2),1-3,?,Molde FK (2)
?,(Sat) 11 Apr 2015 (W15),Strømsgodset IF (2),1-1,?,Mjøndalen IF (2)
?,(Sun) 12 Apr 2015 (W15),Aalesunds FK (2),1-1,?,Lillestrøm SK (2)
?,(Sun) 12 Apr 2015 (W15),FK Haugesund (2),0-6,?,Rosenborg BK (2)
?,(Sun) 12 Apr 2015 (W15),Odds BK (2),2-0,?,Stabæk (2)
?,(Sun) 12 Apr 2015 (W15),IK Start (2),2-1,?,Sandefjord (2)
?,(Sun) 12 Apr 2015 (W15),Viking FK (2),3-1,?,Tromsø IL (2)
?,(Fri) 17 Apr 2015 (W16),Vålerenga Fotball (3),2-0,?,FK Haugesund (3)
?,(Sat) 18 Apr 2015 (W16),Mjøndalen IF (3),1-1,?,IK Start (3)
?,(Sat) 18 Apr 2015 (W16),Rosenborg BK (3),1-1,?,Strømsgodset IF (3)
?,(Sun) 19 Apr 2015 (W16),Bodø/Glimt (3),2-4,?,Odds BK (3)
?,(Sun) 19 Apr 2015 (W16),Molde FK (3),5-1,?,Aalesunds FK (3)
?,(Sun) 19 Apr 2015 (W16),Sandefjord (3),1-0,?,Sarpsborg 08 (3)
?,(Sun) 19 Apr 2015 (W16),Stabæk (3),1-0,?,Viking FK (3)
?,(Sun) 19 Apr 2015 (W16),Tromsø IL (3),1-1,?,Lillestrøm SK (3)
?,(Fri) 24 Apr 2015 (W17),IK Start (4),2-3,?,Vålerenga Fotball (4)
?,(Sat) 25 Apr 2015 (W17),Odds BK (4),2-2,?,Mjøndalen IF (4)
?,(Sat) 25 Apr 2015 (W17),Viking FK (4),1-4,?,Rosenborg BK (4)
?,(Sun) 26 Apr 2015 (W17),Aalesunds FK (4),0-2,?,Tromsø IL (4)
?,(Sun) 26 Apr 2015 (W17),FK Haugesund (4),0-0,?,Molde FK (4)
?,(Sun) 26 Apr 2015 (W17),Lillestrøm SK (4),0-2,?,Stabæk (4)
?,(Sun) 26 Apr 2015 (W17),Sarpsborg 08 (4),2-2,?,Bodø/Glimt (4)
?,(Sun) 26 Apr 2015 (W17),Strømsgodset IF (4),3-2,?,Sandefjord (4)
?,(Wed) 29 Apr 2015 (W18),Molde FK (5),3-1,?,Strømsgodset IF (5)
?,(Wed) 29 Apr 2015 (W18),Sarpsborg 08 (5),2-0,?,Odds BK (5)
?,(Thu) 30 Apr 2015 (W18),Bodø/Glimt (5),1-2,?,FK Haugesund (5)
?,(Thu) 30 Apr 2015 (W18),Sandefjord (5),1-2,?,Viking FK (5)
?,(Thu) 30 Apr 2015 (W18),Tromsø IL (5),0-2,?,Stabæk (5)
?,(Thu) 30 Apr 2015 (W18),Vålerenga Fotball (5),1-2,?,Aalesunds FK (5)
?,(Thu) 30 Apr 2015 (W18),Mjøndalen IF (5),1-4,?,Lillestrøm SK (5)
?,(Thu) 30 Apr 2015 (W18),Rosenborg BK (5),3-2,?,IK Start (5)
?,(Sat) 2 May 2015 (W18),Strømsgodset IF (6),1-1,?,Sarpsborg 08 (6)
?,(Sun) 3 May 2015 (W18),Aalesunds FK (6),2-0,?,Bodø/Glimt (6)
?,(Sun) 3 May 2015 (W18),IK Start (6),3-1,?,Tromsø IL (6)
?,(Sun) 3 May 2015 (W18),FK Haugesund (6),2-1,?,Sandefjord (6)
?,(Sun) 3 May 2015 (W18),Lillestrøm SK (6),1-1,?,Vålerenga Fotball (6)
?,(Sun) 3 May 2015 (W18),Stabæk (6),1-0,?,Mjøndalen IF (6)
?,(Sun) 3 May 2015 (W18),Odds BK (6),1-2,?,Rosenborg BK (6)
?,(Mon) 4 May 2015 (W19),Viking FK (6),2-1,?,Molde FK (6)
?,(Sat) 9 May 2015 (W19),Mjøndalen IF (7),4-3,?,Tromsø IL (7)
?,(Sat) 9 May 2015 (W19),Rosenborg BK (7),3-0,?,Lillestrøm SK (7)
?,(Sat) 9 May 2015 (W19),Vålerenga Fotball (7),0-2,?,Stabæk (7)
?,(Sun) 10 May 2015 (W19),Sandefjord (7),1-3,?,Aalesunds FK (7)
