Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 20 Jul 2018 (W29),Miedź Legnica (1),1-0,?,Pogoń Szczecin (1)
?,(Fri) 20 Jul 2018 (W29),Jagiellonia Białystok (1),0-1,?,Lechia Gdańsk (1)
?,(Sat) 21 Jul 2018 (W29),WKS Śląsk Wrocław (1),3-1,?,KS Cracovia (1)
?,(Sat) 21 Jul 2018 (W29),Wisła Kraków (1),0-0,?,Arka Gdynia (1)
?,(Sat) 21 Jul 2018 (W29),Legia Warszawa (1),1-3,?,Zagłębie Lubin (1)
?,(Sun) 22 Jul 2018 (W29),Górnik Zabrze (1),1-1,?,Korona Kielce (1)
?,(Sun) 22 Jul 2018 (W29),Wisła Płock (1),1-2,?,KKS Lech Poznań (1)
?,(Mon) 23 Jul 2018 (W30),Zagłębie Sosnowiec (1),1-2,?,Piast Gliwice (1)
?,(Fri) 27 Jul 2018 (W30),Lechia Gdańsk (2),1-1,?,WKS Śląsk Wrocław (2)
?,(Fri) 27 Jul 2018 (W30),Wisła Kraków (2),2-1,?,Miedź Legnica (2)
?,(Sat) 28 Jul 2018 (W30),Zagłębie Lubin (2),2-1,?,Zagłębie Sosnowiec (2)
?,(Sat) 28 Jul 2018 (W30),Korona Kielce (2),1-2,?,Legia Warszawa (2)
?,(Sun) 29 Jul 2018 (W30),Górnik Zabrze (2),1-1,?,Wisła Płock (2)
?,(Sun) 29 Jul 2018 (W30),Arka Gdynia (2),0-2,?,Jagiellonia Białystok (2)
?,(Sun) 29 Jul 2018 (W30),KKS Lech Poznań (2),2-0,?,KS Cracovia (2)
?,(Mon) 30 Jul 2018 (W31),Pogoń Szczecin (2),0-2,?,Piast Gliwice (2)
?,(Fri) 3 Aug 2018 (W31),Wisła Płock (3),1-2,?,Korona Kielce (3)
?,(Fri) 3 Aug 2018 (W31),Zagłębie Sosnowiec (3),3-0,?,Pogoń Szczecin (3)
?,(Sat) 4 Aug 2018 (W31),Piast Gliwice (3),2-1,?,Zagłębie Lubin (3)
?,(Sat) 4 Aug 2018 (W31),Legia Warszawa (3),0-0,?,Lechia Gdańsk (3)
?,(Sun) 5 Aug 2018 (W31),WKS Śląsk Wrocław (3),0-1,?,KKS Lech Poznań (3)
?,(Sun) 5 Aug 2018 (W31),Jagiellonia Białystok (3),1-0,?,Wisła Kraków (3)
?,(Sun) 5 Aug 2018 (W31),Miedź Legnica (3),1-3,?,Górnik Zabrze (3)
?,(Mon) 6 Aug 2018 (W32),KS Cracovia (3),0-0,?,Arka Gdynia (3)
?,(Fri) 10 Aug 2018 (W32),Lechia Gdańsk (4),2-0,?,Miedź Legnica (4)
?,(Fri) 10 Aug 2018 (W32),Wisła Kraków (4),1-1,?,Wisła Płock (4)
?,(Sat) 11 Aug 2018 (W32),Pogoń Szczecin (4),1-1,?,KS Cracovia (4)
?,(Sat) 11 Aug 2018 (W32),Arka Gdynia (4),1-1,?,Górnik Zabrze (4)
