Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 13 Jul 2018 (W28),Vejle (1),3-1,?,Hobro IK (1)
?,(Fri) 13 Jul 2018 (W28),Sønderjysk Elitesport (1),0-1,?,Aalborg BK (1)
?,(Sat) 14 Jul 2018 (W28),FC Midtjylland (1),0-0,?,AGF Aarhus (1)
?,(Sun) 15 Jul 2018 (W28),FC Nordsjælland (1),1-1,?,Esbjerg fB (1)
?,(Sun) 15 Jul 2018 (W28),Vendsyssel FF (1),3-2,?,Odense BK (1)
?,(Mon) 16 Jul 2018 (W29),FC København (1),1-2,?,AC Horsens (1)
?,(Mon) 16 Jul 2018 (W29),Randers FC (1),0-2,?,Brøndby IF (1)
?,(Fri) 20 Jul 2018 (W29),Aalborg BK (2),2-1,?,FC Midtjylland (2)
?,(Sat) 21 Jul 2018 (W29),Esbjerg fB (2),2-3,?,Vendsyssel FF (2)
?,(Sun) 22 Jul 2018 (W29),AC Horsens (2),1-1,?,Randers FC (2)
?,(Sun) 22 Jul 2018 (W29),Odense BK (2),2-2,?,Sønderjysk Elitesport (2)
?,(Sun) 22 Jul 2018 (W29),AGF Aarhus (2),1-1,?,FC Nordsjælland (2)
?,(Sun) 22 Jul 2018 (W29),Brøndby IF (2),1-1,?,Vejle (2)
?,(Mon) 23 Jul 2018 (W30),Hobro IK (2),0-3,?,FC København (2)
?,(Fri) 27 Jul 2018 (W30),Sønderjysk Elitesport (3),2-0,?,AC Horsens (3)
?,(Sat) 28 Jul 2018 (W30),FC Midtjylland (3),3-1,?,Esbjerg fB (3)
?,(Sun) 29 Jul 2018 (W30),FC Nordsjælland (3),3-0,?,Vendsyssel FF (3)
?,(Sun) 29 Jul 2018 (W30),Randers FC (3),1-0,?,Odense BK (3)
?,(Sun) 29 Jul 2018 (W30),Hobro IK (3),1-2,?,Brøndby IF (3)
?,(Sun) 29 Jul 2018 (W30),FC København (3),4-0,?,Aalborg BK (3)
?,(Mon) 30 Jul 2018 (W31),Vejle (3),1-1,?,AGF Aarhus (3)
?,(Fri) 3 Aug 2018 (W31),AGF Aarhus (4),1-0,?,Sønderjysk Elitesport (4)
?,(Sat) 4 Aug 2018 (W31),Esbjerg fB (4),3-3,?,Randers FC (4)
?,(Sat) 4 Aug 2018 (W31),Vejle (4),1-3,?,FC Midtjylland (4)
?,(Sun) 5 Aug 2018 (W31),AC Horsens (4),2-2,?,Hobro IK (4)
?,(Sun) 5 Aug 2018 (W31),Odense BK (4),0-1,?,FC København (4)
?,(Sun) 5 Aug 2018 (W31),Brøndby IF (4),2-0,?,FC Nordsjælland (4)
