Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 10 Aug 2018 (W32),Vélez Sarsfield (1),2-0,?,Newell's Old Boys (1)
?,(Fri) 10 Aug 2018 (W32),CA Tigre (1),2-2,?,San Lorenzo (1)
?,(Sat) 11 Aug 2018 (W32),Gimnasia y Esgrima LP (1),1-0,?,Argentinos Juniors (1)
?,(Sat) 11 Aug 2018 (W32),Unión Santa Fe (1),1-0,?,Club Atlético Aldosivi (1)
?,(Sat) 11 Aug 2018 (W32),Patronato (1),0-0,?,Colón Santa Fe (1)
?,(Sat) 11 Aug 2018 (W32),Club Atlético Belgrano (1),0-0,?,San Martín San Juan (1)
?,(Sun) 12 Aug 2018 (W32),Boca Juniors (1),1-0,?,Talleres de Córdoba (1)
?,(Sun) 12 Aug 2018 (W32),Godoy Cruz (1),1-0,?,Estudiantes LP (1)
?,(Sun) 12 Aug 2018 (W32),CA Lanús (1),2-2,?,Defensa y Justicia (1)
?,(Sun) 12 Aug 2018 (W32),Rosario Central (1),1-0,?,Club Atlético Banfield (1)
?,(Sun) 12 Aug 2018 (W32),Huracán (1),0-0,?,River Plate (1)
?,(Mon) 13 Aug 2018 (W33),Atlético Tucumán (1),2-2,?,Racing Club (1)
?,(Fri) 17 Aug 2018 (W33),Talleres de Córdoba (2),0-1,?,Rosario Central (2)
?,(Fri) 17 Aug 2018 (W33),Newell's Old Boys (2),2-2,?,CA Independiente de Avellaneda (1)
?,(Sat) 18 Aug 2018 (W33),Defensa y Justicia (2),1-1,?,Atlético Tucumán (2)
?,(Sat) 18 Aug 2018 (W33),Club Atlético Banfield (2),1-0,?,Gimnasia y Esgrima LP (2)
?,(Sat) 18 Aug 2018 (W33),Argentinos Juniors (2),0-0,?,Godoy Cruz (2)
?,(Sat) 18 Aug 2018 (W33),River Plate (2),0-0,?,Club Atlético Belgrano (2)
?,(Sun) 19 Aug 2018 (W33),San Martín San Juan (2),1-0,?,Patronato (2)
?,(Sun) 19 Aug 2018 (W33),Colón Santa Fe (2),2-2,?,CA Tigre (2)
?,(Sun) 19 Aug 2018 (W33),Club Atlético Aldosivi (2),2-1,?,Huracán (2)
?,(Sun) 19 Aug 2018 (W33),San Lorenzo (2),2-2,?,CA Lanús (2)
?,(Sun) 19 Aug 2018 (W33),Racing Club (2),2-0,?,Vélez Sarsfield (2)
?,(Mon) 20 Aug 2018 (W34),Estudiantes LP (2),2-0,?,Boca Juniors (2)
?,(Mon) 20 Aug 2018 (W34),San Martín de Tucumán (1),1-1,?,Unión Santa Fe (2)
?,(Fri) 24 Aug 2018 (W34),Club Atlético Belgrano (3),2-1,?,Estudiantes LP (3)
?,(Fri) 24 Aug 2018 (W34),Patronato (3),0-3,?,Racing Club (3)
?,(Fri) 24 Aug 2018 (W34),Atlético Tucumán (3),2-1,?,Colón Santa Fe (3)
?,(Fri) 24 Aug 2018 (W34),CA Independiente de Avellaneda (2),0-1,?,Defensa y Justicia (3)
?,(Sat) 25 Aug 2018 (W34),Gimnasia y Esgrima LP (3),0-2,?,Talleres de Córdoba (3)
?,(Sat) 25 Aug 2018 (W34),CA Tigre (3),2-2,?,San Martín San Juan (3)
?,(Sat) 25 Aug 2018 (W34),River Plate (3),0-0,?,Argentinos Juniors (3)
?,(Sun) 26 Aug 2018 (W34),Vélez Sarsfield (3),1-1,?,Club Atlético Banfield (3)
?,(Sun) 26 Aug 2018 (W34),CA Lanús (3),0-1,?,Club Atlético Aldosivi (3)
?,(Sun) 26 Aug 2018 (W34),Rosario Central (3),2-0,?,San Martín de Tucumán (2)
?,(Sun) 26 Aug 2018 (W34),Huracán (3),0-0,?,Boca Juniors (3)
?,(Mon) 27 Aug 2018 (W35),Godoy Cruz (3),2-1,?,Newell's Old Boys (3)
?,(Mon) 27 Aug 2018 (W35),Unión Santa Fe (3),1-1,?,San Lorenzo (3)
?,(Fri) 31 Aug 2018 (W35),Argentinos Juniors (4),2-0,?,CA Lanús (4)
?,(Fri) 31 Aug 2018 (W35),San Martín San Juan (4),1-2,?,Huracán (4)
?,(Sat) 1 Sep 2018 (W35),Defensa y Justicia (4),1-1,?,Club Atlético Belgrano (4)
?,(Sat) 1 Sep 2018 (W35),Club Atlético Banfield (4),1-0,?,Patronato (4)
?,(Sat) 1 Sep 2018 (W35),Talleres de Córdoba (4),1-0,?,Godoy Cruz (4)
?,(Sat) 1 Sep 2018 (W35),San Lorenzo (4),1-1,?,River Plate (4)
?,(Sun) 2 Sep 2018 (W35),Racing Club (4),2-0,?,Rosario Central (4)
?,(Sun) 2 Sep 2018 (W35),Estudiantes LP (4),2-2,?,CA Independiente de Avellaneda (3)
?,(Sun) 2 Sep 2018 (W35),Club Atlético Aldosivi (4),0-2,?,CA Tigre (4)
?,(Sun) 2 Sep 2018 (W35),Colón Santa Fe (4),0-0,?,Unión Santa Fe (4)
?,(Sun) 2 Sep 2018 (W35),Boca Juniors (4),3-0,?,Vélez Sarsfield (4)
?,(Mon) 3 Sep 2018 (W36),Newell's Old Boys (4),1-2,?,Atlético Tucumán (4)
?,(Mon) 3 Sep 2018 (W36),San Martín de Tucumán (3),1-1,?,Gimnasia y Esgrima LP (4)
?,(Fri) 14 Sep 2018 (W37),Estudiantes LP (5),0-2,?,Club Atlético Aldosivi (5)
?,(Fri) 14 Sep 2018 (W37),Atlético Tucumán (5),3-0,?,CA Tigre (5)
?,(Sat) 15 Sep 2018 (W37),CA Independiente de Avellaneda (4),3-0,?,Colón Santa Fe (5)
?,(Sat) 15 Sep 2018 (W37),River Plate (5),4-1,?,San Martín San Juan (5)
?,(Sat) 15 Sep 2018 (W37),Club Atlético Belgrano (5),0-0,?,Newell's Old Boys (5)
?,(Sat) 15 Sep 2018 (W37),Argentinos Juniors (5),0-1,?,Boca Juniors (5)
?,(Sun) 16 Sep 2018 (W37),Patronato (5),0-2,?,Gimnasia y Esgrima LP (5)
?,(Sun) 16 Sep 2018 (W37),Vélez Sarsfield (5),1-0,?,San Martín de Tucumán (4)
?,(Sun) 16 Sep 2018 (W37),Unión Santa Fe (5),2-1,?,Talleres de Córdoba (5)
?,(Sun) 16 Sep 2018 (W37),CA Lanús (5),0-1,?,Racing Club (5)
?,(Sun) 16 Sep 2018 (W37),Godoy Cruz (5),1-0,?,San Lorenzo (5)
?,(Mon) 17 Sep 2018 (W38),Huracán (5),3-0,?,Club Atlético Banfield (5)
?,(Mon) 17 Sep 2018 (W38),Rosario Central (5),0-1,?,Defensa y Justicia (5)
?,(Fri) 21 Sep 2018 (W38),San Lorenzo (6),3-2,?,Patronato (6)
?,(Fri) 21 Sep 2018 (W38),Colón Santa Fe (6),3-1,?,Godoy Cruz (6)
?,(Sat) 22 Sep 2018 (W38),Newell's Old Boys (6),2-0,?,CA Lanús (6)
?,(Sat) 22 Sep 2018 (W38),Talleres de Córdoba (6),1-1,?,Vélez Sarsfield (6)
?,(Sat) 22 Sep 2018 (W38),Club Atlético Banfield (6),1-1,?,CA Independiente de Avellaneda (5)
?,(Sun) 23 Sep 2018 (W38),San Martín de Tucumán (5),0-0,?,Argentinos Juniors (6)
?,(Sun) 23 Sep 2018 (W38),CA Tigre (6),0-2,?,Huracán (6)
?,(Sun) 23 Sep 2018 (W38),Gimnasia y Esgrima LP (6),1-1,?,Rosario Central (6)
?,(Sun) 23 Sep 2018 (W38),San Martín San Juan (6),1-3,?,Atlético Tucumán (6)
?,(Sun) 23 Sep 2018 (W38),Boca Juniors (6),0-2,?,River Plate (6)
?,(Mon) 24 Sep 2018 (W39),Club Atlético Aldosivi (6),2-0,?,Club Atlético Belgrano (6)
?,(Mon) 24 Sep 2018 (W39),Racing Club (6),1-0,?,Unión Santa Fe (6)
?,(Fri) 28 Sep 2018 (W39),CA Independiente de Avellaneda (6),0-0,?,CA Tigre (7)
?,(Fri) 28 Sep 2018 (W39),CA Lanús (7),1-5,?,River Plate (7)
?,(Sat) 29 Sep 2018 (W39),Argentinos Juniors (7),0-2,?,Racing Club (7)
?,(Sun) 30 Sep 2018 (W39),Patronato (7),2-1,?,Talleres de Córdoba (7)
?,(Sun) 30 Sep 2018 (W39),Unión Santa Fe (7),1-0,?,Gimnasia y Esgrima LP (7)
?,(Sun) 30 Sep 2018 (W39),Club Atlético Belgrano (7),0-1,?,Huracán (7)
?,(Sun) 30 Sep 2018 (W39),Boca Juniors (7),3-1,?,Colón Santa Fe (7)
?,(Mon) 1 Oct 2018 (W40),Godoy Cruz (7),0-1,?,Defensa y Justicia (6)
?,(Mon) 1 Oct 2018 (W40),San Martín de Tucumán (6),1-1,?,Club Atlético Banfield (7)
?,(Mon) 1 Oct 2018 (W40),Vélez Sarsfield (7),2-0,?,Club Atlético Aldosivi (7)
?,(Sat) 6 Oct 2018 (W40),Club Atlético Aldosivi (8),2-0,?,San Martín de Tucumán (7)
?,(Sat) 6 Oct 2018 (W40),Gimnasia y Esgrima LP (8),1-0,?,Godoy Cruz (8)
?,(Sat) 6 Oct 2018 (W40),San Martín San Juan (7),3-1,?,Vélez Sarsfield (8)
?,(Sat) 6 Oct 2018 (W40),Patronato (8),1-2,?,CA Independiente de Avellaneda (7)
?,(Sun) 7 Oct 2018 (W40),Club Atlético Banfield (8),2-0,?,San Lorenzo (7)
?,(Sun) 7 Oct 2018 (W40),Atlético Tucumán (7),0-0,?,CA Lanús (8)
?,(Sun) 7 Oct 2018 (W40),Rosario Central (7),0-4,?,Unión Santa Fe (8)
?,(Sun) 7 Oct 2018 (W40),Talleres de Córdoba (8),3-0,?,Club Atlético Belgrano (8)
?,(Sun) 7 Oct 2018 (W40),Racing Club (8),2-2,?,Boca Juniors (8)
?,(Mon) 8 Oct 2018 (W41),CA Tigre (8),1-0,?,Estudiantes LP (6)
?,(Mon) 8 Oct 2018 (W41),Colón Santa Fe (8),1-0,?,Newell's Old Boys (7)
?,(Fri) 19 Oct 2018 (W42),Defensa y Justicia (7),2-0,?,Talleres de Córdoba (9)
?,(Fri) 19 Oct 2018 (W42),Vélez Sarsfield (9),1-0,?,Gimnasia y Esgrima LP (9)
?,(Fri) 19 Oct 2018 (W42),Colón Santa Fe (9),1-0,?,River Plate (8)
