Round,Date,Team 1,FT,Team 2
Journée 1,Fri Aug 10 2018,Olympique de Marseille,4-0,Toulouse FC
Journée 1,Sat Aug 11 2018,FC Nantes,1-3,AS Monaco
Journée 1,Sat Aug 11 2018,Montpellier HSC,1-2,Dijon FCO
Journée 1,Sat Aug 11 2018,Lille OSC,3-1,Stade Rennais FC
Journée 1,Sat Aug 11 2018,AS Saint-Étienne,2-1,EA Guingamp
Journée 1,Sat Aug 11 2018,OGC Nice,0-1,Stade de Reims
Journée 1,Sat Aug 11 2018,Angers SCO,3-4,Nîmes Olympique
Journée 1,Sun Aug 12 2018,Olympique Lyonnais,2-0,Amiens SC
Journée 1,Sun Aug 12 2018,Paris Saint-Germain,3-0,Stade Malherbe Caen
Journée 1,Sun Aug 12 2018,Girondins de Bordeaux,0-2,RC Strasbourg
Journée 2,Fri Aug 17 2018,Stade de Reims,1-0,Olympique Lyonnais
Journée 2,Sat Aug 18 2018,AS Monaco,0-0,Lille OSC
Journée 2,Sat Aug 18 2018,Stade Rennais FC,1-0,Angers SCO
Journée 2,Sat Aug 18 2018,EA Guingamp,1-3,Paris Saint-Germain
Journée 2,Sat Aug 18 2018,Dijon FCO,2-0,FC Nantes
Journée 2,Sat Aug 18 2018,Amiens SC,1-2,Montpellier HSC
Journée 2,Sat Aug 18 2018,Stade Malherbe Caen,1-1,OGC Nice
Journée 2,Sun Aug 19 2018,RC Strasbourg,1-1,AS Saint-Étienne
Journée 2,Sun Aug 19 2018,Toulouse FC,2-1,Girondins de Bordeaux
Journée 2,Sun Aug 19 2018,Nîmes Olympique,3-1,Olympique de Marseille
Journée 3,Fri Aug 24 2018,Olympique Lyonnais,2-0,RC Strasbourg
Journée 3,Sat Aug 25 2018,Paris Saint-Germain,3-1,Angers SCO
Journée 3,Sat Aug 25 2018,Montpellier HSC,0-0,AS Saint-Étienne
Journée 3,Sat Aug 25 2018,Toulouse FC,1-0,Nîmes Olympique
Journée 3,Sat Aug 25 2018,OGC Nice,0-4,Dijon FCO
Journée 3,Sat Aug 25 2018,FC Nantes,1-1,Stade Malherbe Caen
Journée 3,Sat Aug 25 2018,Amiens SC,4-1,Stade de Reims
Journée 3,Sun Aug 26 2018,Lille OSC,3-0,EA Guingamp
Journée 3,Sun Aug 26 2018,Girondins de Bordeaux,2-1,AS Monaco
Journée 3,Sun Aug 26 2018,Olympique de Marseille,2-2,Stade Rennais FC
Journée 4,Fri Aug 31 2018,Olympique Lyonnais,0-1,OGC Nice
Journée 4,Sat Sep 1 2018,Nîmes Olympique,2-4,Paris Saint-Germain
Journée 4,Sat Sep 1 2018,Angers SCO,1-0,Lille OSC
Journée 4,Sat Sep 1 2018,Dijon FCO,0-2,Stade Malherbe Caen
