Round,Date,Team 1,FT,Team 2
1^ Giornata,Sat Aug 18 2018,AC Chievo Verona,2-3,Juventus
1^ Giornata,Sat Aug 18 2018,SS Lazio,1-2,SSC Napoli
1^ Giornata,Sun Aug 19 2018,Torino FC,0-1,AS Roma
1^ Giornata,Sun Aug 19 2018,Empoli,2-0,Cagliari Calcio
1^ Giornata,Sun Aug 19 2018,US Sassuolo Calcio,1-0,FC Internazionale Milano
1^ Giornata,Sun Aug 19 2018,Parma,2-2,Udinese Calcio
1^ Giornata,Sun Aug 19 2018,Bologna FC,0-1,SPAL Ferrara
1^ Giornata,Mon Aug 20 2018,Atalanta Bergamo,4-0,Frosinone
2^ Giornata,Sat Aug 25 2018,Juventus,2-0,SS Lazio
2^ Giornata,Sat Aug 25 2018,SSC Napoli,3-2,AC Milan
2^ Giornata,Sun Aug 26 2018,SPAL Ferrara,1-0,Parma
2^ Giornata,Sun Aug 26 2018,Udinese Calcio,1-0,UC Sampdoria
2^ Giornata,Sun Aug 26 2018,Cagliari Calcio,2-2,US Sassuolo Calcio
2^ Giornata,Sun Aug 26 2018,ACF Fiorentina,6-1,AC Chievo Verona
2^ Giornata,Sun Aug 26 2018,FC Internazionale Milano,2-2,Torino FC
2^ Giornata,Sun Aug 26 2018,Genoa CFC,2-1,Empoli
2^ Giornata,Sun Aug 26 2018,Frosinone,0-0,Bologna FC
2^ Giornata,Mon Aug 27 2018,AS Roma,3-3,Atalanta Bergamo
3^ Giornata,Fri Aug 31 2018,AC Milan,2-1,AS Roma
3^ Giornata,Sat Sep 1 2018,Bologna FC,0-3,FC Internazionale Milano
3^ Giornata,Sat Sep 1 2018,Parma,1-2,Juventus
3^ Giornata,Sun Sep 2 2018,ACF Fiorentina,1-0,Udinese Calcio
3^ Giornata,Sun Sep 2 2018,AC Chievo Verona,0-0,Empoli
3^ Giornata,Sun Sep 2 2018,SS Lazio,1-0,Frosinone
3^ Giornata,Sun Sep 2 2018,Atalanta Bergamo,0-1,Cagliari Calcio
3^ Giornata,Sun Sep 2 2018,Torino FC,1-0,SPAL Ferrara
3^ Giornata,Sun Sep 2 2018,UC Sampdoria,3-0,SSC Napoli
3^ Giornata,Sun Sep 2 2018,US Sassuolo Calcio,5-3,Genoa CFC
4^ Giornata,Sat Sep 15 2018,FC Internazionale Milano,0-1,Parma
4^ Giornata,Sat Sep 15 2018,SSC Napoli,1-0,ACF Fiorentina
4^ Giornata,Sat Sep 15 2018,Frosinone,0-5,UC Sampdoria
4^ Giornata,Sun Sep 16 2018,AS Roma,2-2,AC Chievo Verona
4^ Giornata,Sun Sep 16 2018,Udinese Calcio,1-1,Torino FC
4^ Giornata,Sun Sep 16 2018,Genoa CFC,1-0,Bologna FC
4^ Giornata,Sun Sep 16 2018,Juventus,2-1,US Sassuolo Calcio
4^ Giornata,Sun Sep 16 2018,Empoli,0-1,SS Lazio
4^ Giornata,Sun Sep 16 2018,Cagliari Calcio,1-1,AC Milan
4^ Giornata,Mon Sep 17 2018,SPAL Ferrara,2-0,Atalanta Bergamo
1^ Giornata,Wed Sep 19 2018,UC Sampdoria,1-1,ACF Fiorentina
5^ Giornata,Fri Sep 21 2018,US Sassuolo Calcio,3-1,Empoli
5^ Giornata,Sat Sep 22 2018,Parma,2-0,Cagliari Calcio
5^ Giornata,Sat Sep 22 2018,ACF Fiorentina,3-0,SPAL Ferrara
5^ Giornata,Sat Sep 22 2018,UC Sampdoria,0-1,FC Internazionale Milano
5^ Giornata,Sun Sep 23 2018,Torino FC,1-3,SSC Napoli
5^ Giornata,Sun Sep 23 2018,AC Chievo Verona,0-2,Udinese Calcio
5^ Giornata,Sun Sep 23 2018,SS Lazio,4-1,Genoa CFC
5^ Giornata,Sun Sep 23 2018,Bologna FC,2-0,AS Roma
5^ Giornata,Sun Sep 23 2018,AC Milan,2-2,Atalanta Bergamo
5^ Giornata,Sun Sep 23 2018,Frosinone,0-2,Juventus
6^ Giornata,Tue Sep 25 2018,FC Internazionale Milano,2-1,ACF Fiorentina
6^ Giornata,Wed Sep 26 2018,Udinese Calcio,1-2,SS Lazio
6^ Giornata,Wed Sep 26 2018,Juventus,2-0,Bologna FC
6^ Giornata,Wed Sep 26 2018,Atalanta Bergamo,0-0,Torino FC
6^ Giornata,Wed Sep 26 2018,SSC Napoli,3-0,Parma
6^ Giornata,Wed Sep 26 2018,AS Roma,4-0,Frosinone
6^ Giornata,Wed Sep 26 2018,Genoa CFC,2-0,AC Chievo Verona
6^ Giornata,Wed Sep 26 2018,Cagliari Calcio,0-0,UC Sampdoria
6^ Giornata,Thu Sep 27 2018,SPAL Ferrara,0-2,US Sassuolo Calcio
6^ Giornata,Thu Sep 27 2018,Empoli,1-1,AC Milan
7^ Giornata,Sat Sep 29 2018,AS Roma,3-1,SS Lazio
7^ Giornata,Sat Sep 29 2018,Juventus,3-1,SSC Napoli
7^ Giornata,Sat Sep 29 2018,FC Internazionale Milano,2-0,Cagliari Calcio
7^ Giornata,Sun Sep 30 2018,Bologna FC,2-1,Udinese Calcio
7^ Giornata,Sun Sep 30 2018,ACF Fiorentina,2-0,Atalanta Bergamo
7^ Giornata,Sun Sep 30 2018,Frosinone,1-2,Genoa CFC
7^ Giornata,Sun Sep 30 2018,AC Chievo Verona,0-1,Torino FC
7^ Giornata,Sun Sep 30 2018,Parma,1-0,Empoli
7^ Giornata,Sun Sep 30 2018,US Sassuolo Calcio,1-4,AC Milan
7^ Giornata,Mon Oct 1 2018,UC Sampdoria,2-1,SPAL Ferrara
8^ Giornata,Fri Oct 5 2018,Torino FC,3-2,Frosinone
8^ Giornata,Sat Oct 6 2018,Cagliari Calcio,2-0,Bologna FC
8^ Giornata,Sat Oct 6 2018,Udinese Calcio,0-2,Juventus
8^ Giornata,Sat Oct 6 2018,Empoli,0-2,AS Roma
8^ Giornata,Sun Oct 7 2018,Genoa CFC,1-3,Parma
8^ Giornata,Sun Oct 7 2018,Atalanta Bergamo,0-1,UC Sampdoria
8^ Giornata,Sun Oct 7 2018,AC Milan,3-1,AC Chievo Verona
8^ Giornata,Sun Oct 7 2018,SS Lazio,1-0,ACF Fiorentina
8^ Giornata,Sun Oct 7 2018,SSC Napoli,2-0,US Sassuolo Calcio
8^ Giornata,Sun Oct 7 2018,SPAL Ferrara,1-2,FC Internazionale Milano
9^ Giornata,Sat Oct 20 2018,AS Roma,0-2,SPAL Ferrara
9^ Giornata,Sat Oct 20 2018,Juventus,1-1,Genoa CFC
9^ Giornata,Sat Oct 20 2018,Udinese Calcio,0-3,SSC Napoli
9^ Giornata,Sun Oct 21 2018,Frosinone,3-3,Empoli
9^ Giornata,Sun Oct 21 2018,Parma,0-2,SS Lazio
9^ Giornata,Sun Oct 21 2018,AC Chievo Verona,1-5,Atalanta Bergamo
9^ Giornata,Sun Oct 21 2018,Bologna FC,2-2,Torino FC
9^ Giornata,Sun Oct 21 2018,ACF Fiorentina,1-1,Cagliari Calcio
9^ Giornata,Sun Oct 21 2018,FC Internazionale Milano,1-0,AC Milan
9^ Giornata,Mon Oct 22 2018,UC Sampdoria,0-0,US Sassuolo Calcio
10^ Giornata,Sat Oct 27 2018,Atalanta Bergamo,3-0,Parma
10^ Giornata,Sat Oct 27 2018,Empoli,1-2,Juventus
10^ Giornata,Sat Oct 27 2018,Torino FC,1-1,ACF Fiorentina
10^ Giornata,Sun Oct 28 2018,US Sassuolo Calcio,2-2,Bologna FC
10^ Giornata,Sun Oct 28 2018,SPAL Ferrara,0-3,Frosinone
10^ Giornata,Sun Oct 28 2018,Genoa CFC,2-2,Udinese Calcio
10^ Giornata,Sun Oct 28 2018,Cagliari Calcio,2-1,AC Chievo Verona
10^ Giornata,Sun Oct 28 2018,AC Milan,3-2,UC Sampdoria
10^ Giornata,Sun Oct 28 2018,SSC Napoli,1-1,AS Roma
10^ Giornata,Mon Oct 29 2018,SS Lazio,0-3,FC Internazionale Milano
1^ Giornata,Wed Oct 31 2018,AC Milan,2-1,Genoa CFC
11^ Giornata,Fri Nov 2 2018,SSC Napoli,5-1,Empoli
11^ Giornata,Sat Nov 3 2018,FC Internazionale Milano,5-0,Genoa CFC
11^ Giornata,Sat Nov 3 2018,ACF Fiorentina,1-1,AS Roma
11^ Giornata,Sat Nov 3 2018,Juventus,3-1,Cagliari Calcio
11^ Giornata,Sun Nov 4 2018,SS Lazio,4-1,SPAL Ferrara
11^ Giornata,Sun Nov 4 2018,UC Sampdoria,1-4,Torino FC
11^ Giornata,Sun Nov 4 2018,AC Chievo Verona,0-2,US Sassuolo Calcio
11^ Giornata,Sun Nov 4 2018,Parma,0-0,Frosinone
11^ Giornata,Sun Nov 4 2018,Bologna FC,1-2,Atalanta Bergamo
11^ Giornata,Sun Nov 4 2018,Udinese Calcio,0-1,AC Milan
12^ Giornata,Fri Nov 9 2018,Frosinone,1-1,ACF Fiorentina
12^ Giornata,Sat Nov 10 2018,Torino FC,1-2,Parma
12^ Giornata,Sat Nov 10 2018,SPAL Ferrara,2-2,Cagliari Calcio
12^ Giornata,Sat Nov 10 2018,Genoa CFC,1-2,SSC Napoli
12^ Giornata,Sun Nov 11 2018,Atalanta Bergamo,4-1,FC Internazionale Milano
12^ Giornata,Sun Nov 11 2018,AC Chievo Verona,2-2,Bologna FC
12^ Giornata,Sun Nov 11 2018,AS Roma,4-1,UC Sampdoria
12^ Giornata,Sun Nov 11 2018,Empoli,2-1,Udinese Calcio
12^ Giornata,Sun Nov 11 2018,US Sassuolo Calcio,1-1,SS Lazio
12^ Giornata,Sun Nov 11 2018,AC Milan,0-2,Juventus
13^ Giornata,Sat Nov 24 2018,Udinese Calcio,1-0,AS Roma
13^ Giornata,Sat Nov 24 2018,Juventus,2-0,SPAL Ferrara
13^ Giornata,Sat Nov 24 2018,FC Internazionale Milano,3-0,Frosinone
13^ Giornata,Sun Nov 25 2018,Parma,2-1,US Sassuolo Calcio
13^ Giornata,Sun Nov 25 2018,Bologna FC,0-0,ACF Fiorentina
13^ Giornata,Sun Nov 25 2018,SSC Napoli,0-0,AC Chievo Verona
13^ Giornata,Sun Nov 25 2018,Empoli,3-2,Atalanta Bergamo
13^ Giornata,Sun Nov 25 2018,SS Lazio,1-1,AC Milan
13^ Giornata,Sun Nov 25 2018,Genoa CFC,1-1,UC Sampdoria
13^ Giornata,Mon Nov 26 2018,Cagliari Calcio,0-0,Torino FC
14^ Giornata,Sat Dec 1 2018,SPAL Ferrara,2-2,Empoli
14^ Giornata,Sat Dec 1 2018,ACF Fiorentina,0-3,Juventus
14^ Giornata,Sat Dec 1 2018,UC Sampdoria,4-1,Bologna FC
