Round,Date,Team 1,FT,Team 2
1^ Giornata,Fri Aug 24 2018,Brescia Calcio,1-1,AC Perugia
1^ Giornata,Sat Aug 25 2018,US Cremonese,1-1,Pescara
1^ Giornata,Sat Aug 25 2018,Salernitana,0-0,Palermo
1^ Giornata,Sat Aug 25 2018,Venezia,1-0,Spezia
1^ Giornata,Sun Aug 26 2018,Hellas Verona,1-1,Calcio Padova
1^ Giornata,Sun Aug 26 2018,Ascoli,1-1,Cosenza Calcio
1^ Giornata,Sun Aug 26 2018,Calcio Foggia 1920,4-2,Carpi
1^ Giornata,Sun Aug 26 2018,Cittadella,3-0,FC Crotone
1^ Giornata,Mon Aug 27 2018,Benevento,3-3,US Lecce
2^ Giornata,Fri Aug 31 2018,Palermo,2-2,US Cremonese
2^ Giornata,Sat Sep 1 2018,Carpi,0-1,Cittadella
2^ Giornata,Sat Sep 1 2018,Spezia,3-2,Brescia Calcio
2^ Giornata,Sat Sep 1 2018,Calcio Padova,1-0,Venezia
2^ Giornata,Sat Sep 1 2018,Cosenza Calcio,,Hellas Verona
2^ Giornata,Sun Sep 2 2018,Pescara,2-1,AS Livorno Calcio
2^ Giornata,Sun Sep 2 2018,FC Crotone,4-1,Calcio Foggia 1920
2^ Giornata,Sun Sep 2 2018,US Lecce,2-2,Salernitana
2^ Giornata,Sun Sep 2 2018,AC Perugia,2-0,Ascoli
3^ Giornata,Fri Sep 14 2018,Venezia,2-3,Benevento
3^ Giornata,Sat Sep 15 2018,Ascoli,1-0,US Lecce
3^ Giornata,Sat Sep 15 2018,Brescia Calcio,1-1,Pescara
3^ Giornata,Sat Sep 15 2018,Cittadella,2-0,Cosenza Calcio
3^ Giornata,Sat Sep 15 2018,US Cremonese,2-0,Spezia
3^ Giornata,Sun Sep 16 2018,Salernitana,3-0,Calcio Padova
3^ Giornata,Sun Sep 16 2018,Hellas Verona,4-1,Carpi
3^ Giornata,Sun Sep 16 2018,Calcio Foggia 1920,1-2,Palermo
3^ Giornata,Mon Sep 17 2018,AS Livorno Calcio,0-1,FC Crotone
4^ Giornata,Fri Sep 21 2018,Benevento,4-0,Salernitana
4^ Giornata,Sat Sep 22 2018,Carpi,1-1,Brescia Calcio
4^ Giornata,Sat Sep 22 2018,FC Crotone,1-2,Hellas Verona
4^ Giornata,Sat Sep 22 2018,US Lecce,2-1,Venezia
4^ Giornata,Sat Sep 22 2018,Palermo,4-1,AC Perugia
4^ Giornata,Sat Sep 22 2018,Pescara,1-0,Calcio Foggia 1920
4^ Giornata,Sat Sep 22 2018,Cosenza Calcio,1-1,AS Livorno Calcio
4^ Giornata,Sat Sep 22 2018,Spezia,1-0,Cittadella
4^ Giornata,Sun Sep 23 2018,Calcio Padova,1-1,US Cremonese
5^ Giornata,Tue Sep 25 2018,Brescia Calcio,2-1,Palermo
5^ Giornata,Tue Sep 25 2018,Cittadella,0-1,Benevento
5^ Giornata,Tue Sep 25 2018,AS Livorno Calcio,0-3,US Lecce
5^ Giornata,Tue Sep 25 2018,Hellas Verona,2-1,Spezia
5^ Giornata,Tue Sep 25 2018,Pescara,2-1,FC Crotone
5^ Giornata,Tue Sep 25 2018,Salernitana,1-1,Ascoli
5^ Giornata,Tue Sep 25 2018,AC Perugia,0-1,Carpi
5^ Giornata,Wed Sep 26 2018,Calcio Foggia 1920,2-1,Calcio Padova
5^ Giornata,Wed Sep 26 2018,US Cremonese,2-0,Cosenza Calcio
6^ Giornata,Fri Sep 28 2018,FC Crotone,2-2,Brescia Calcio
6^ Giornata,Sat Sep 29 2018,US Lecce,1-1,Cittadella
6^ Giornata,Sat Sep 29 2018,Salernitana,1-0,Hellas Verona
6^ Giornata,Sat Sep 29 2018,Venezia,1-1,AS Livorno Calcio
6^ Giornata,Sat Sep 29 2018,Spezia,2-1,Carpi
6^ Giornata,Sun Sep 30 2018,Ascoli,0-0,US Cremonese
6^ Giornata,Sun Sep 30 2018,Cosenza Calcio,1-1,AC Perugia
6^ Giornata,Sun Sep 30 2018,Benevento,1-3,Calcio Foggia 1920
6^ Giornata,Tue Oct 2 2018,Calcio Padova,2-2,Pescara
7^ Giornata,Fri Oct 5 2018,Hellas Verona,0-2,US Lecce
7^ Giornata,Sat Oct 6 2018,AC Perugia,1-0,Venezia
7^ Giornata,Sat Oct 6 2018,Carpi,1-1,Cosenza Calcio
