Round,Date,Team 1,FT,Team 2
Journée 1,Fri Jul 27 2018,AC Ajaccio,0-1,ES Troyes AC
Journée 1,Fri Jul 27 2018,GFC Ajaccio,1-1,Paris FC
Journée 1,Fri Jul 27 2018,Clermont Foot 63,0-0,LB Châteauroux
Journée 1,Fri Jul 27 2018,Grenoble Foot 38,1-0,FC Sochaux-Montbéliard
Journée 1,Fri Jul 27 2018,AS Nancy Lorraine,0-2,AS Béziers
Journée 1,Fri Jul 27 2018,US Orléans,0-2,RC Lens
Journée 1,Fri Jul 27 2018,Red Star FC,1-2,Chamois Niortais FC
Journée 1,Fri Jul 27 2018,Valenciennes FC,3-1,AJ Auxerre
Journée 1,Sat Jul 28 2018,FC Lorient,0-0,Le Havre AC
Journée 1,Mon Jul 30 2018,Stade Brestois 29,0-1,FC Metz
Journée 2,Fri Aug 3 2018,FC Metz,5-1,US Orléans
Journée 2,Fri Aug 3 2018,AS Béziers,0-1,AC Ajaccio
Journée 2,Fri Aug 3 2018,Le Havre AC,1-1,Grenoble Foot 38
Journée 2,Fri Aug 3 2018,AJ Auxerre,2-3,GFC Ajaccio
Journée 2,Fri Aug 3 2018,ES Troyes AC,1-2,Stade Brestois 29
Journée 2,Fri Aug 3 2018,Paris FC,2-0,AS Nancy Lorraine
Journée 2,Fri Aug 3 2018,FC Sochaux-Montbéliard,0-1,Valenciennes FC
Journée 2,Fri Aug 3 2018,Chamois Niortais FC,4-2,Clermont Foot 63
Journée 2,Sat Aug 4 2018,RC Lens,1-0,Red Star FC
Journée 2,Mon Aug 6 2018,LB Châteauroux,1-2,FC Lorient
Journée 3,Fri Aug 10 2018,Grenoble Foot 38,1-0,Chamois Niortais FC
Journée 3,Fri Aug 10 2018,GFC Ajaccio,1-3,FC Lorient
Journée 3,Fri Aug 10 2018,Stade Brestois 29,1-1,Paris FC
Journée 3,Fri Aug 10 2018,AC Ajaccio,2-3,FC Sochaux-Montbéliard
Journée 3,Fri Aug 10 2018,Valenciennes FC,1-1,LB Châteauroux
Journée 3,Fri Aug 10 2018,US Orléans,0-3,AJ Auxerre
Journée 3,Fri Aug 10 2018,Red Star FC,0-1,Le Havre AC
Journée 3,Fri Aug 10 2018,ES Troyes AC,0-1,AS Béziers
Journée 3,Fri Aug 10 2018,AS Nancy Lorraine,0-3,RC Lens
Journée 3,Sat Aug 11 2018,Clermont Foot 63,2-3,FC Metz
Journée 4,Fri Aug 17 2018,Le Havre AC,0-0,Clermont Foot 63
Journée 4,Fri Aug 17 2018,AJ Auxerre,1-0,AS Nancy Lorraine
Journée 4,Fri Aug 17 2018,LB Châteauroux,1-1,Red Star FC
Journée 4,Fri Aug 17 2018,GFC Ajaccio,2-0,Grenoble Foot 38
Journée 4,Fri Aug 17 2018,FC Lorient,3-1,Valenciennes FC
Journée 4,Fri Aug 17 2018,Chamois Niortais FC,1-1,US Orléans
Journée 4,Fri Aug 17 2018,Paris FC,1-0,AS Béziers
Journée 4,Fri Aug 17 2018,FC Sochaux-Montbéliard,2-0,Stade Brestois 29
Journée 4,Sat Aug 18 2018,RC Lens,2-0,ES Troyes AC
Journée 4,Mon Aug 20 2018,FC Metz,3-1,AC Ajaccio
Journée 5,Fri Aug 24 2018,Grenoble Foot 38,0-0,LB Châteauroux
Journée 5,Fri Aug 24 2018,Stade Brestois 29,1-0,Le Havre AC
Journée 5,Fri Aug 24 2018,Clermont Foot 63,1-0,FC Sochaux-Montbéliard
Journée 5,Fri Aug 24 2018,AC Ajaccio,0-0,FC Lorient
Journée 5,Fri Aug 24 2018,AS Nancy Lorraine,0-1,Chamois Niortais FC
Journée 5,Fri Aug 24 2018,US Orléans,4-0,Paris FC
Journée 5,Fri Aug 24 2018,Red Star FC,1-0,AJ Auxerre
Journée 5,Fri Aug 24 2018,ES Troyes AC,0-1,FC Metz
Journée 5,Mon Aug 27 2018,Valenciennes FC,0-0,GFC Ajaccio
Journée 6,Fri Aug 31 2018,Valenciennes FC,0-4,Clermont Foot 63
Journée 6,Fri Aug 31 2018,GFC Ajaccio,2-1,Red Star FC
Journée 6,Fri Aug 31 2018,AJ Auxerre,0-2,Stade Brestois 29
Journée 6,Fri Aug 31 2018,LB Châteauroux,1-0,AS Nancy Lorraine
Journée 6,Fri Aug 31 2018,FC Sochaux-Montbéliard,1-0,AS Béziers
Journée 6,Fri Aug 31 2018,Chamois Niortais FC,2-0,AC Ajaccio
Journée 6,Fri Aug 31 2018,Paris FC,2-0,ES Troyes AC
Journée 6,Fri Aug 31 2018,Le Havre AC,3-1,US Orléans
Journée 6,Sat Sep 1 2018,FC Metz,2-0,RC Lens
Journée 6,Mon Sep 3 2018,FC Lorient,1-0,Grenoble Foot 38
Journée 7,Fri Sep 14 2018,ES Troyes AC,2-0,Chamois Niortais FC
Journée 7,Fri Sep 14 2018,AC Ajaccio,0-0,Paris FC
Journée 7,Fri Sep 14 2018,Stade Brestois 29,4-1,GFC Ajaccio
Journée 7,Fri Sep 14 2018,Clermont Foot 63,2-0,AJ Auxerre
Journée 7,Fri Sep 14 2018,Grenoble Foot 38,4-2,Valenciennes FC
Journée 7,Fri Sep 14 2018,AS Nancy Lorraine,0-1,Le Havre AC
Journée 7,Fri Sep 14 2018,US Orléans,2-0,LB Châteauroux
Journée 7,Fri Sep 14 2018,Red Star FC,0-3,FC Lorient
Journée 7,Sat Sep 15 2018,RC Lens,2-0,FC Sochaux-Montbéliard
Journée 7,Mon Sep 17 2018,AS Béziers,1-3,FC Metz
Journée 8,Fri Sep 21 2018,Grenoble Foot 38,1-2,Stade Brestois 29
Journée 8,Fri Sep 21 2018,GFC Ajaccio,0-1,AS Nancy Lorraine
Journée 8,Fri Sep 21 2018,AJ Auxerre,0-0,AC Ajaccio
Journée 8,Fri Sep 21 2018,LB Châteauroux,2-0,AS Béziers
Journée 8,Fri Sep 21 2018,Valenciennes FC,4-1,Red Star FC
Journée 8,Fri Sep 21 2018,FC Sochaux-Montbéliard,0-1,US Orléans
Journée 8,Fri Sep 21 2018,FC Lorient,0-0,Clermont Foot 63
Journée 8,Fri Sep 21 2018,Le Havre AC,1-1,ES Troyes AC
Journée 8,Sat Sep 22 2018,Paris FC,2-1,FC Metz
Journée 8,Mon Sep 24 2018,Chamois Niortais FC,1-2,RC Lens
Journée 9,Fri Sep 28 2018,RC Lens,0-0,Paris FC
Journée 9,Fri Sep 28 2018,AC Ajaccio,3-1,Valenciennes FC
Journée 9,Fri Sep 28 2018,AS Béziers,1-1,Chamois Niortais FC
Journée 9,Fri Sep 28 2018,Stade Brestois 29,5-1,LB Châteauroux
Journée 9,Fri Sep 28 2018,Clermont Foot 63,1-1,GFC Ajaccio
Journée 9,Fri Sep 28 2018,Red Star FC,2-3,Grenoble Foot 38
Journée 9,Fri Sep 28 2018,AS Nancy Lorraine,0-0,FC Sochaux-Montbéliard
Journée 9,Fri Sep 28 2018,US Orléans,2-0,FC Lorient
Journée 9,Sat Sep 29 2018,FC Metz,0-1,Le Havre AC
Journée 9,Mon Oct 1 2018,ES Troyes AC,1-0,AJ Auxerre
Journée 5,Tue Oct 2 2018,AS Béziers,0-0,RC Lens
Journée 10,Fri Oct 5 2018,GFC Ajaccio,0-2,US Orléans
Journée 10,Fri Oct 5 2018,LB Châteauroux,0-3,ES Troyes AC
Journée 10,Fri Oct 5 2018,Grenoble Foot 38,1-0,Clermont Foot 63
Journée 10,Fri Oct 5 2018,Le Havre AC,2-3,AS Béziers
Journée 10,Fri Oct 5 2018,FC Lorient,4-1,AS Nancy Lorraine
Journée 10,Fri Oct 5 2018,Chamois Niortais FC,1-0,Paris FC
Journée 10,Fri Oct 5 2018,Red Star FC,2-0,AC Ajaccio
Journée 10,Fri Oct 5 2018,Valenciennes FC,1-3,Stade Brestois 29
Journée 10,Sat Oct 6 2018,AJ Auxerre,1-2,RC Lens
Journée 10,Mon Oct 8 2018,FC Sochaux-Montbéliard,1-2,FC Metz
Journée 11,Fri Oct 19 2018,Clermont Foot 63,0-0,Red Star FC
Journée 11,Fri Oct 19 2018,AJ Auxerre,2-0,AS Béziers
Journée 11,Fri Oct 19 2018,AC Ajaccio,3-2,Le Havre AC
Journée 11,Fri Oct 19 2018,FC Metz,3-0,Chamois Niortais FC
Journée 11,Fri Oct 19 2018,AS Nancy Lorraine,1-2,Grenoble Foot 38
Journée 11,Fri Oct 19 2018,US Orléans,1-0,Valenciennes FC
Journée 11,Fri Oct 19 2018,Paris FC,0-0,LB Châteauroux
Journée 11,Fri Oct 19 2018,ES Troyes AC,1-2,FC Sochaux-Montbéliard
Journée 11,Sat Oct 20 2018,Stade Brestois 29,3-2,FC Lorient
Journée 11,Mon Oct 22 2018,RC Lens,5-0,GFC Ajaccio
Journée 12,Fri Oct 26 2018,LB Châteauroux,2-2,AC Ajaccio
Journée 12,Fri Oct 26 2018,AJ Auxerre,0-2,Paris FC
Journée 12,Fri Oct 26 2018,Valenciennes FC,1-1,AS Nancy Lorraine
Journée 12,Fri Oct 26 2018,Grenoble Foot 38,0-2,ES Troyes AC
Journée 12,Fri Oct 26 2018,FC Lorient,0-0,FC Metz
Journée 12,Fri Oct 26 2018,Red Star FC,0-4,US Orléans
Journée 12,Fri Oct 26 2018,FC Sochaux-Montbéliard,0-3,Chamois Niortais FC
Journée 12,Fri Oct 26 2018,GFC Ajaccio,0-1,AS Béziers
Journée 12,Sat Oct 27 2018,Le Havre AC,2-1,RC Lens
Journée 12,Mon Oct 29 2018,Clermont Foot 63,2-2,Stade Brestois 29
Journée 13,Fri Nov 2 2018,AC Ajaccio,1-2,GFC Ajaccio
Journée 13,Fri Nov 2 2018,Stade Brestois 29,1-1,Red Star FC
Journée 13,Fri Nov 2 2018,Paris FC,0-0,FC Sochaux-Montbéliard
Journée 13,Fri Nov 2 2018,AS Nancy Lorraine,0-1,Clermont Foot 63
Journée 13,Sat Nov 3 2018,AS Béziers,0-1,FC Lorient
Journée 13,Sat Nov 3 2018,RC Lens,0-1,LB Châteauroux
Journée 13,Sat Nov 3 2018,Chamois Niortais FC,1-0,Le Havre AC
Journée 13,Sat Nov 3 2018,ES Troyes AC,4-2,Valenciennes FC
Journée 13,Sat Nov 3 2018,US Orléans,0-3,Grenoble Foot 38
Journée 13,Mon Nov 5 2018,FC Metz,0-1,AJ Auxerre
Journée 14,Fri Nov 9 2018,GFC Ajaccio,2-1,ES Troyes AC
Journée 14,Fri Nov 9 2018,AJ Auxerre,0-0,Chamois Niortais FC
Journée 14,Fri Nov 9 2018,LB Châteauroux,1-2,FC Metz
Journée 14,Fri Nov 9 2018,Clermont Foot 63,3-0,US Orléans
Journée 14,Fri Nov 9 2018,Grenoble Foot 38,2-0,AC Ajaccio
Journée 14,Fri Nov 9 2018,Red Star FC,0-3,AS Béziers
Journée 14,Fri Nov 9 2018,FC Lorient,2-1,Paris FC
Journée 14,Fri Nov 9 2018,Le Havre AC,3-2,FC Sochaux-Montbéliard
Journée 14,Sat Nov 10 2018,Valenciennes FC,4-2,RC Lens
Journée 14,Mon Nov 12 2018,Stade Brestois 29,2-1,AS Nancy Lorraine
Journée 15,Fri Nov 23 2018,AS Nancy Lorraine,1-0,Red Star FC
Journée 15,Fri Nov 23 2018,AS Béziers,1-1,Valenciennes FC
Journée 15,Fri Nov 23 2018,AC Ajaccio,0-0,Clermont Foot 63
Journée 15,Fri Nov 23 2018,Chamois Niortais FC,0-1,LB Châteauroux
Journée 15,Fri Nov 23 2018,US Orléans,0-0,Stade Brestois 29
Journée 15,Fri Nov 23 2018,Paris FC,1-0,Le Havre AC
Journée 15,Fri Nov 23 2018,ES Troyes AC,2-0,FC Lorient
Journée 15,Fri Nov 23 2018,FC Sochaux-Montbéliard,1-4,AJ Auxerre
Journée 15,Sat Nov 24 2018,RC Lens,0-0,Grenoble Foot 38
Journée 15,Mon Nov 26 2018,FC Metz,1-0,GFC Ajaccio
Journée 16,Fri Nov 30 2018,Clermont Foot 63,2-0,AS Béziers
Journée 16,Fri Nov 30 2018,Stade Brestois 29,2-0,AC Ajaccio
Journée 16,Fri Nov 30 2018,LB Châteauroux,1-0,FC Sochaux-Montbéliard
Journée 16,Fri Nov 30 2018,GFC Ajaccio,0-1,Chamois Niortais FC
Journée 16,Fri Nov 30 2018,Le Havre AC,1-1,AJ Auxerre
Journée 16,Fri Nov 30 2018,FC Lorient,2-2,RC Lens
Journée 16,Fri Nov 30 2018,US Orléans,1-2,AS Nancy Lorraine
Journée 16,Fri Nov 30 2018,Red Star FC,0-3,ES Troyes AC
Journée 16,Fri Nov 30 2018,Valenciennes FC,0-0,Paris FC
Journée 16,Sat Dec 1 2018,Grenoble Foot 38,1-1,FC Metz
Journée 17,Mon Dec 3 2018,AJ Auxerre,0-0,FC Lorient
Journée 17,Tue Dec 4 2018,RC Lens,2-1,Stade Brestois 29
Journée 17,Tue Dec 4 2018,ES Troyes AC,3-2,US Orléans
Journée 17,Tue Dec 4 2018,Le Havre AC,2-1,LB Châteauroux
Journée 17,Tue Dec 4 2018,AC Ajaccio,1-1,AS Nancy Lorraine
Journée 17,Tue Dec 4 2018,FC Metz,2-0,Red Star FC
Journée 17,Tue Dec 4 2018,Chamois Niortais FC,1-0,Valenciennes FC
Journée 17,Tue Dec 4 2018,Paris FC,3-0,Clermont Foot 63
Journée 17,Tue Dec 4 2018,FC Sochaux-Montbéliard,2-0,GFC Ajaccio
Journée 17,Tue Dec 4 2018,AS Béziers,0-3,Grenoble Foot 38
Journée 18,Fri Dec 14 2018,GFC Ajaccio,1-1,Le Havre AC
Journée 18,Fri Dec 14 2018,Red Star FC,3-0,FC Sochaux-Montbéliard
Journée 18,Fri Dec 14 2018,LB Châteauroux,0-0,AJ Auxerre
Journée 18,Fri Dec 14 2018,Grenoble Foot 38,0-1,Paris FC
Journée 18,Fri Dec 14 2018,FC Lorient,1-1,Chamois Niortais FC
Journée 18,Fri Dec 14 2018,AS Nancy Lorraine,1-1,ES Troyes AC
Journée 18,Fri Dec 14 2018,US Orléans,1-3,AC Ajaccio
Journée 18,Fri Dec 14 2018,Stade Brestois 29,3-0,AS Béziers
Journée 18,Sat Dec 15 2018,Clermont Foot 63,0-0,RC Lens
Journée 18,Mon Dec 17 2018,Valenciennes FC,0-2,FC Metz
Journée 19,Fri Dec 21 2018,AS Béziers,1-2,US Orléans
Journée 19,Fri Dec 21 2018,AJ Auxerre,4-0,Grenoble Foot 38
Journée 19,Fri Dec 21 2018,ES Troyes AC,0-1,Clermont Foot 63
Journée 19,Fri Dec 21 2018,Chamois Niortais FC,1-1,Stade Brestois 29
Journée 19,Fri Dec 21 2018,Paris FC,1-1,Red Star FC
Journée 19,Fri Dec 21 2018,LB Châteauroux,0-1,GFC Ajaccio
Journée 19,Sat Dec 22 2018,FC Sochaux-Montbéliard,1-0,FC Lorient
Journée 19,Sat Dec 22 2018,RC Lens,1-2,AC Ajaccio
Journée 20,Fri Jan 11 2019,Valenciennes FC,1-0,FC Sochaux-Montbéliard
Journée 20,Fri Jan 11 2019,US Orléans,0-1,FC Metz
Journée 20,Fri Jan 11 2019,AS Nancy Lorraine,1-2,Paris FC
Journée 20,Fri Jan 11 2019,GFC Ajaccio,0-4,AJ Auxerre
Journée 20,Fri Jan 11 2019,Clermont Foot 63,3-2,Chamois Niortais FC
