Round,Date,Team 1,FT,Team 2
1,Fri Aug 10 2018,PEC Zwolle,2-3,SC Heerenveen
1,Sat Aug 11 2018,Ajax Amsterdam,1-1,Heracles Almelo
1,Sat Aug 11 2018,Willem II Tilburg,0-1,VVV Venlo
1,Sat Aug 11 2018,PSV Eindhoven,4-0,FC Utrecht
1,Sat Aug 11 2018,SBV Excelsior Rotterdam,1-1,Fortuna Sittard
1,Sun Aug 12 2018,ADO Den Haag,1-2,FC Emmen
1,Sun Aug 12 2018,Vitesse Arnhem,5-1,FC Groningen
1,Sun Aug 12 2018,BV De Graafschap,2-0,Feyenoord Rotterdam
1,Sun Aug 12 2018,AZ Alkmaar,5-0,NAC Breda
2,Fri Aug 17 2018,FC Groningen,0-1,Willem II Tilburg
2,Sat Aug 18 2018,NAC Breda,3-0,BV De Graafschap
2,Sat Aug 18 2018,VVV Venlo,0-1,Ajax Amsterdam
2,Sat Aug 18 2018,Heracles Almelo,4-2,ADO Den Haag
2,Sat Aug 18 2018,Fortuna Sittard,1-2,PSV Eindhoven
2,Sun Aug 19 2018,FC Utrecht,2-0,PEC Zwolle
2,Sun Aug 19 2018,Feyenoord Rotterdam,3-0,SBV Excelsior Rotterdam
2,Sun Aug 19 2018,FC Emmen,1-4,AZ Alkmaar
2,Sun Aug 19 2018,SC Heerenveen,1-1,Vitesse Arnhem
3,Fri Aug 24 2018,ADO Den Haag,3-1,Fortuna Sittard
3,Sat Aug 25 2018,Ajax Amsterdam,5-0,FC Emmen
3,Sat Aug 25 2018,BV De Graafschap,0-1,FC Groningen
3,Sat Aug 25 2018,NAC Breda,0-2,SBV Excelsior Rotterdam
3,Sat Aug 25 2018,PEC Zwolle,1-2,PSV Eindhoven
3,Sun Aug 26 2018,Willem II Tilburg,5-0,Heracles Almelo
3,Sun Aug 26 2018,SC Heerenveen,3-5,Feyenoord Rotterdam
3,Sun Aug 26 2018,FC Utrecht,1-1,VVV Venlo
3,Sun Aug 26 2018,AZ Alkmaar,0-0,Vitesse Arnhem
4,Fri Aug 31 2018,FC Emmen,1-1,BV De Graafschap
4,Sat Sep 1 2018,VVV Venlo,1-1,SC Heerenveen
4,Sat Sep 1 2018,PSV Eindhoven,6-1,Willem II Tilburg
4,Sat Sep 1 2018,SBV Excelsior Rotterdam,2-4,ADO Den Haag
4,Sat Sep 1 2018,Fortuna Sittard,1-1,FC Utrecht
4,Sun Sep 2 2018,FC Groningen,0-1,PEC Zwolle
