Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 15 Jul 2016 (W28),Viborg FF (1),0-4,?,FC Nordsjælland (1)
?,(Fri) 15 Jul 2016 (W28),Odense BK (1),0-0,?,Silkeborg IF (1)
?,(Sat) 16 Jul 2016 (W28),FC København (1),3-0,?,Lyngby BK (1)
?,(Sun) 17 Jul 2016 (W28),Sønderjysk Elitesport (1),1-2,?,AGF Aarhus (1)
?,(Sun) 17 Jul 2016 (W28),Aalborg BK (1),1-1,?,AC Horsens (1)
?,(Sun) 17 Jul 2016 (W28),Brøndby IF (1),4-0,?,Esbjerg fB (1)
?,(Mon) 18 Jul 2016 (W29),FC Midtjylland (1),2-2,?,Randers FC (1)
?,(Fri) 22 Jul 2016 (W29),AGF Aarhus (2),2-1,?,Viborg FF (2)
?,(Sat) 23 Jul 2016 (W29),Esbjerg fB (2),0-4,?,FC København (2)
?,(Sun) 24 Jul 2016 (W29),AC Horsens (2),1-1,?,Sønderjysk Elitesport (2)
?,(Sun) 24 Jul 2016 (W29),Lyngby BK (2),2-2,?,Odense BK (2)
?,(Sun) 24 Jul 2016 (W29),Silkeborg IF (2),0-2,?,Brøndby IF (2)
?,(Sun) 24 Jul 2016 (W29),FC Nordsjælland (2),0-4,?,FC Midtjylland (2)
?,(Sun) 24 Jul 2016 (W29),Randers FC (2),0-1,?,Aalborg BK (2)
?,(Fri) 29 Jul 2016 (W30),Viborg FF (3),2-1,?,Esbjerg fB (3)
?,(Sat) 30 Jul 2016 (W30),FC København (3),4-0,?,FC Nordsjælland (3)
?,(Sun) 31 Jul 2016 (W30),Sønderjysk Elitesport (3),0-1,?,Lyngby BK (3)
?,(Sun) 31 Jul 2016 (W30),FC Midtjylland (3),3-0,?,Silkeborg IF (3)
?,(Sun) 31 Jul 2016 (W30),Brøndby IF (3),2-2,?,AC Horsens (3)
?,(Sun) 31 Jul 2016 (W30),AGF Aarhus (3),1-2,?,Randers FC (3)
?,(Mon) 1 Aug 2016 (W31),Aalborg BK (3),2-2,?,Odense BK (3)
?,(Fri) 5 Aug 2016 (W31),Randers FC (4),1-0,?,AC Horsens (4)
?,(Fri) 5 Aug 2016 (W31),Silkeborg IF (4),0-4,?,Lyngby BK (4)
?,(Sat) 6 Aug 2016 (W31),Odense BK (4),0-0,?,Viborg FF (4)
?,(Sun) 7 Aug 2016 (W31),FC Nordsjælland (4),1-2,?,Aalborg BK (4)
?,(Sun) 7 Aug 2016 (W31),Sønderjysk Elitesport (4),1-1,?,FC København (4)
?,(Sun) 7 Aug 2016 (W31),FC Midtjylland (4),3-3,?,Brøndby IF (4)
?,(Mon) 8 Aug 2016 (W32),Esbjerg fB (4),2-2,?,AGF Aarhus (4)
?,(Fri) 12 Aug 2016 (W32),Viborg FF (5),0-1,?,Randers FC (5)
?,(Fri) 12 Aug 2016 (W32),Lyngby BK (5),0-0,?,AGF Aarhus (5)
?,(Sat) 13 Aug 2016 (W32),AC Horsens (5),3-3,?,Silkeborg IF (5)
?,(Sat) 13 Aug 2016 (W32),FC København (5),3-1,?,FC Midtjylland (5)
?,(Sun) 14 Aug 2016 (W32),Odense BK (5),3-1,?,FC Nordsjælland (5)
?,(Sun) 14 Aug 2016 (W32),Brøndby IF (5),4-0,?,Sønderjysk Elitesport (5)
?,(Mon) 15 Aug 2016 (W33),Aalborg BK (5),2-1,?,Esbjerg fB (5)
