Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 26 Aug 2016 (W34),Sarmiento Junín (1),1-0,?,Arsenal de Sarandí (1)
?,(Fri) 26 Aug 2016 (W34),Godoy Cruz (1),1-0,?,Huracán (1)
?,(Sat) 27 Aug 2016 (W34),Gimnasia y Esgrima LP (1),2-0,?,Vélez Sarsfield (1)
?,(Sat) 27 Aug 2016 (W34),Rosario Central (1),0-0,?,Defensa y Justicia (1)
?,(Sat) 27 Aug 2016 (W34),Racing Club (1),1-1,?,Talleres de Córdoba (1)
?,(Sat) 27 Aug 2016 (W34),Atlético Tucumán (1),1-0,?,Atlético Rafaela (1)
?,(Sat) 27 Aug 2016 (W34),San Lorenzo (1),2-2,?,San Martín San Juan (1)
?,(Sun) 28 Aug 2016 (W34),CA Tigre (1),0-3,?,Estudiantes LP (1)
?,(Sun) 28 Aug 2016 (W34),Quilmes AC (1),0-1,?,Newell's Old Boys (1)
?,(Sun) 28 Aug 2016 (W34),Club Atlético Belgrano (1),0-1,?,CA Independiente de Avellaneda (1)
?,(Sun) 28 Aug 2016 (W34),Unión Santa Fe (1),1-0,?,Olimpo Bahía Blanca (1)
?,(Sun) 28 Aug 2016 (W34),River Plate (1),4-1,?,Club Atlético Banfield (1)
?,(Sun) 28 Aug 2016 (W34),CA Lanús (1),1-0,?,Boca Juniors (1)
?,(Mon) 29 Aug 2016 (W35),Club Atlético Aldosivi (1),0-2,?,Colón Santa Fe (1)
?,(Mon) 29 Aug 2016 (W35),Temperley (1),1-0,?,Patronato (1)
?,(Fri) 9 Sep 2016 (W36),Patronato (2),0-1,?,Gimnasia y Esgrima LP (2)
?,(Fri) 9 Sep 2016 (W36),Huracán (2),1-1,?,Quilmes AC (2)
?,(Sat) 10 Sep 2016 (W36),Olimpo Bahía Blanca (2),0-0,?,CA Lanús (2)
?,(Sat) 10 Sep 2016 (W36),Club Atlético Banfield (2),0-0,?,Colón Santa Fe (2)
?,(Sat) 10 Sep 2016 (W36),San Martín San Juan (2),0-2,?,Racing Club (2)
?,(Sat) 10 Sep 2016 (W36),Unión Santa Fe (2),0-0,?,Club Atlético Aldosivi (2)
?,(Sat) 10 Sep 2016 (W36),Defensa y Justicia (2),0-2,?,San Lorenzo (2)
?,(Sat) 10 Sep 2016 (W36),CA Independiente de Avellaneda (2),2-0,?,Godoy Cruz (2)
?,(Sun) 11 Sep 2016 (W36),Newell's Old Boys (2),1-0,?,CA Tigre (2)
?,(Sun) 11 Sep 2016 (W36),Vélez Sarsfield (2),2-0,?,Rosario Central (2)
?,(Sun) 11 Sep 2016 (W36),Estudiantes LP (2),1-0,?,Sarmiento Junín (2)
?,(Sun) 11 Sep 2016 (W36),Boca Juniors (2),3-0,?,Club Atlético Belgrano (2)
?,(Sun) 11 Sep 2016 (W36),Talleres de Córdoba (2),0-1,?,River Plate (2)
?,(Mon) 12 Sep 2016 (W37),Arsenal de Sarandí (2),1-3,?,Atlético Tucumán (2)
?,(Mon) 12 Sep 2016 (W37),Atlético Rafaela (2),1-0,?,Temperley (2)
?,(Fri) 16 Sep 2016 (W37),Colón Santa Fe (3),1-0,?,Talleres de Córdoba (3)
?,(Sat) 17 Sep 2016 (W37),CA Lanús (3),0-1,?,Unión Santa Fe (3)
?,(Sat) 17 Sep 2016 (W37),San Lorenzo (3),2-1,?,Vélez Sarsfield (3)
?,(Sat) 17 Sep 2016 (W37),Rosario Central (3),2-1,?,Patronato (3)
?,(Sat) 17 Sep 2016 (W37),Club Atlético Aldosivi (3),1-3,?,Club Atlético Banfield (3)
?,(Sat) 17 Sep 2016 (W37),Quilmes AC (3),1-1,?,CA Independiente de Avellaneda (3)
?,(Sat) 17 Sep 2016 (W37),Sarmiento Junín (3),1-1,?,Newell's Old Boys (3)
?,(Sun) 18 Sep 2016 (W37),Atlético Tucumán (3),0-2,?,Estudiantes LP (3)
?,(Sun) 18 Sep 2016 (W37),Temperley (3),1-1,?,Arsenal de Sarandí (3)
?,(Sun) 18 Sep 2016 (W37),Club Atlético Belgrano (3),0-0,?,Olimpo Bahía Blanca (3)
?,(Sun) 18 Sep 2016 (W37),Godoy Cruz (3),1-1,?,Boca Juniors (3)
?,(Sun) 18 Sep 2016 (W37),River Plate (3),1-1,?,San Martín San Juan (3)
?,(Sun) 18 Sep 2016 (W37),Racing Club (3),1-1,?,Defensa y Justicia (3)
?,(Mon) 19 Sep 2016 (W38),CA Tigre (3),1-1,?,Huracán (3)
?,(Mon) 19 Sep 2016 (W38),Gimnasia y Esgrima LP (3),0-1,?,Atlético Rafaela (3)
?,(Fri) 23 Sep 2016 (W38),Olimpo Bahía Blanca (4),3-0,?,Godoy Cruz (4)
?,(Sat) 24 Sep 2016 (W38),Newell's Old Boys (4),3-1,?,Atlético Tucumán (4)
?,(Sat) 24 Sep 2016 (W38),Atlético Rafaela (4),0-0,?,Rosario Central (4)
?,(Sat) 24 Sep 2016 (W38),Vélez Sarsfield (4),0-3,?,Racing Club (4)
