Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 15 Jul 2016 (W28),Wisła Płock (1),2-1,?,Lechia Gdańsk (1)
?,(Fri) 15 Jul 2016 (W28),WKS Śląsk Wrocław (1),0-0,?,KKS Lech Poznań (1)
?,(Sat) 16 Jul 2016 (W28),Ruch Chorzów (1),2-1,?,Górnik Łęczna (1)
?,(Sat) 16 Jul 2016 (W28),Wisła Kraków (1),2-1,?,Pogoń Szczecin (1)
?,(Sat) 16 Jul 2016 (W28),Legia Warszawa (1),1-1,?,Jagiellonia Białystok (1)
?,(Sun) 17 Jul 2016 (W28),Zagłębie Lubin (1),4-0,?,Korona Kielce (1)
?,(Sun) 17 Jul 2016 (W28),KS Cracovia (1),5-1,?,Piast Gliwice (1)
?,(Mon) 18 Jul 2016 (W29),Bruk-Bet Termalica Nieciecza (1),2-0,?,Arka Gdynia (1)
?,(Fri) 22 Jul 2016 (W29),Pogoń Szczecin (2),1-1,?,Korona Kielce (2)
?,(Fri) 22 Jul 2016 (W29),Arka Gdynia (2),3-0,?,Wisła Kraków (2)
?,(Sat) 23 Jul 2016 (W29),Jagiellonia Białystok (2),4-1,?,Ruch Chorzów (2)
?,(Sat) 23 Jul 2016 (W29),Legia Warszawa (2),0-0,?,WKS Śląsk Wrocław (2)
?,(Sun) 24 Jul 2016 (W29),Piast Gliwice (2),2-1,?,Wisła Płock (2)
?,(Sun) 24 Jul 2016 (W29),Bruk-Bet Termalica Nieciecza (2),3-2,?,KS Cracovia (2)
?,(Sun) 24 Jul 2016 (W29),KKS Lech Poznań (2),0-2,?,Zagłębie Lubin (2)
?,(Mon) 25 Jul 2016 (W30),Górnik Łęczna (2),1-2,?,Lechia Gdańsk (2)
?,(Fri) 29 Jul 2016 (W30),Arka Gdynia (3),3-0,?,Ruch Chorzów (3)
?,(Fri) 29 Jul 2016 (W30),KKS Lech Poznań (3),0-2,?,Jagiellonia Białystok (3)
?,(Sat) 30 Jul 2016 (W30),Lechia Gdańsk (3),3-1,?,Wisła Kraków (3)
?,(Sat) 30 Jul 2016 (W30),Wisła Płock (3),2-3,?,Legia Warszawa (3)
?,(Sun) 31 Jul 2016 (W30),Górnik Łęczna (3),0-0,?,KS Cracovia (3)
?,(Sun) 31 Jul 2016 (W30),Zagłębie Lubin (3),2-0,?,Bruk-Bet Termalica Nieciecza (3)
?,(Sun) 31 Jul 2016 (W30),Korona Kielce (3),1-1,?,Piast Gliwice (3)
?,(Mon) 1 Aug 2016 (W31),Pogoń Szczecin (3),0-2,?,WKS Śląsk Wrocław (3)
?,(Fri) 5 Aug 2016 (W31),Jagiellonia Białystok (4),4-1,?,Arka Gdynia (4)
?,(Fri) 5 Aug 2016 (W31),KS Cracovia (4),2-1,?,Wisła Kraków (4)
?,(Sat) 6 Aug 2016 (W31),Bruk-Bet Termalica Nieciecza (4),2-1,?,Górnik Łęczna (4)
?,(Sat) 6 Aug 2016 (W31),WKS Śląsk Wrocław (4),0-0,?,Lechia Gdańsk (4)
?,(Sat) 6 Aug 2016 (W31),Korona Kielce (4),4-1,?,KKS Lech Poznań (4)
?,(Sun) 7 Aug 2016 (W31),Zagłębie Lubin (4),1-1,?,Pogoń Szczecin (4)
?,(Sun) 7 Aug 2016 (W31),Legia Warszawa (4),0-0,?,Piast Gliwice (4)
?,(Mon) 8 Aug 2016 (W32),Ruch Chorzów (4),2-2,?,Wisła Płock (4)
?,(Fri) 12 Aug 2016 (W32),Lechia Gdańsk (5),3-2,?,Korona Kielce (5)
?,(Fri) 12 Aug 2016 (W32),KKS Lech Poznań (5),2-1,?,KS Cracovia (5)
?,(Sat) 13 Aug 2016 (W32),Arka Gdynia (5),2-0,?,WKS Śląsk Wrocław (5)
?,(Sat) 13 Aug 2016 (W32),Górnik Łęczna (5),1-0,?,Legia Warszawa (5)
?,(Sat) 13 Aug 2016 (W32),Pogoń Szczecin (5),5-0,?,Bruk-Bet Termalica Nieciecza (5)
?,(Sun) 14 Aug 2016 (W32),Piast Gliwice (5),0-0,?,Zagłębie Lubin (5)
?,(Sun) 14 Aug 2016 (W32),Wisła Kraków (5),1-2,?,Ruch Chorzów (5)
?,(Mon) 15 Aug 2016 (W33),Wisła Płock (5),1-0,?,Jagiellonia Białystok (5)
?,(Fri) 19 Aug 2016 (W33),WKS Śląsk Wrocław (6),0-0,?,Wisła Płock (6)
?,(Fri) 19 Aug 2016 (W33),Bruk-Bet Termalica Nieciecza (6),0-0,?,KKS Lech Poznań (6)
?,(Sat) 20 Aug 2016 (W33),KS Cracovia (6),1-1,?,Ruch Chorzów (6)
?,(Sat) 20 Aug 2016 (W33),Piast Gliwice (6),0-2,?,Pogoń Szczecin (6)
