Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 8 Mar 2013 (W10),Bohemian F.C. (1),2-1,?,University College Dublin A.F.C. (1)
?,(Fri) 8 Mar 2013 (W10),Bray Wanderers F.C. (1),1-0,?,Shelbourne F.C. (1)
?,(Fri) 8 Mar 2013 (W10),Derry City F.C. (1),0-1,?,Sligo Rovers F.C. (1)
?,(Fri) 8 Mar 2013 (W10),Dundalk F.C. (1),0-0,?,Shamrock Rovers FC (1)
?,(Fri) 8 Mar 2013 (W10),St Patrick's Athletic F.C. (1),1-0,?,Drogheda United F.C. (1)
?,(Sun) 10 Mar 2013 (W10),Limerick F.C. (1),0-0,?,Cork City F.C. (1)
?,(Fri) 15 Mar 2013 (W11),Shamrock Rovers FC (2),3-0,?,St Patrick's Athletic F.C. (2)
?,(Fri) 15 Mar 2013 (W11),Cork City F.C. (2),2-1,?,Bohemian F.C. (2)
?,(Fri) 15 Mar 2013 (W11),Drogheda United F.C. (2),2-2,?,Limerick F.C. (2)
?,(Fri) 15 Mar 2013 (W11),University College Dublin A.F.C. (2),0-6,?,Derry City F.C. (2)
?,(Fri) 15 Mar 2013 (W11),Shelbourne F.C. (2),1-3,?,Dundalk F.C. (2)
?,(Sat) 16 Mar 2013 (W11),Sligo Rovers F.C. (2),3-0,?,Bray Wanderers F.C. (2)
?,(Mon) 18 Mar 2013 (W12),Bohemian F.C. (3),0-0,?,Shamrock Rovers FC (3)
?,(Tue) 19 Mar 2013 (W12),Derry City F.C. (3),1-1,?,Drogheda United F.C. (3)
?,(Tue) 19 Mar 2013 (W12),Dundalk F.C. (3),1-3,?,Sligo Rovers F.C. (3)
?,(Tue) 19 Mar 2013 (W12),Limerick F.C. (3),3-1,?,University College Dublin A.F.C. (3)
?,(Sat) 23 Mar 2013 (W12),Sligo Rovers F.C. (4),2-1,?,Limerick F.C. (4)
?,(Sat) 23 Mar 2013 (W12),University College Dublin A.F.C. (4),1-2,?,Dundalk F.C. (4)
?,(Sun) 24 Mar 2013 (W12),Drogheda United F.C. (4),2-1,?,Bray Wanderers F.C. (3)
?,(Sun) 24 Mar 2013 (W12),Cork City F.C. (3),0-1,?,Derry City F.C. (4)
?,(Sun) 24 Mar 2013 (W12),Shelbourne F.C. (3),0-0,?,Shamrock Rovers FC (4)
?,(Thu) 28 Mar 2013 (W13),Dundalk F.C. (5),2-2,?,Drogheda United F.C. (5)
?,(Fri) 29 Mar 2013 (W13),Bohemian F.C. (4),0-3,?,Sligo Rovers F.C. (5)
?,(Fri) 29 Mar 2013 (W13),Bray Wanderers F.C. (4),2-2,?,University College Dublin A.F.C. (5)
?,(Fri) 29 Mar 2013 (W13),Derry City F.C. (5),4-0,?,Shelbourne F.C. (4)
?,(Fri) 29 Mar 2013 (W13),Shamrock Rovers FC (5),1-1,?,Cork City F.C. (4)
?,(Sat) 30 Mar 2013 (W13),Limerick F.C. (5),0-1,?,St Patrick's Athletic F.C. (3)
?,(Mon) 1 Apr 2013 (W14),Derry City F.C. (6),2-0,?,Bray Wanderers F.C. (5)
?,(Mon) 1 Apr 2013 (W14),Drogheda United F.C. (6),1-1,?,Cork City F.C. (5)
?,(Mon) 1 Apr 2013 (W14),Shelbourne F.C. (5),0-1,?,Bohemian F.C. (5)
?,(Mon) 1 Apr 2013 (W14),University College Dublin A.F.C. (6),0-3,?,Sligo Rovers F.C. (6)
?,(Tue) 2 Apr 2013 (W14),Limerick F.C. (6),1-1,?,Shamrock Rovers FC (6)
?,(Tue) 2 Apr 2013 (W14),St Patrick's Athletic F.C. (4),1-2,?,Dundalk F.C. (6)
?,(Fri) 5 Apr 2013 (W14),Bohemian F.C. (6),0-4,?,Derry City F.C. (7)
?,(Fri) 5 Apr 2013 (W14),Bray Wanderers F.C. (6),0-1,?,St Patrick's Athletic F.C. (5)
?,(Fri) 5 Apr 2013 (W14),Cork City F.C. (6),2-1,?,University College Dublin A.F.C. (7)
?,(Fri) 5 Apr 2013 (W14),Dundalk F.C. (7),2-2,?,Limerick F.C. (7)
?,(Fri) 5 Apr 2013 (W14),Shamrock Rovers FC (7),1-1,?,Drogheda United F.C. (7)
?,(Sat) 6 Apr 2013 (W14),Sligo Rovers F.C. (7),2-0,?,Shelbourne F.C. (6)
?,(Fri) 12 Apr 2013 (W15),Dundalk F.C. (8),1-3,?,Derry City F.C. (8)
?,(Fri) 12 Apr 2013 (W15),University College Dublin A.F.C. (8),0-1,?,St Patrick's Athletic F.C. (6)
?,(Fri) 12 Apr 2013 (W15),Shamrock Rovers FC (8),7-0,?,Bray Wanderers F.C. (7)
?,(Fri) 12 Apr 2013 (W15),Shelbourne F.C. (7),1-3,?,Drogheda United F.C. (8)
?,(Sat) 13 Apr 2013 (W15),Sligo Rovers F.C. (8),2-0,?,Cork City F.C. (7)
?,(Mon) 15 Apr 2013 (W16),St Patrick's Athletic F.C. (7),4-0,?,Shelbourne F.C. (8)
?,(Tue) 16 Apr 2013 (W16),Limerick F.C. (8),2-1,?,Bohemian F.C. (7)
?,(Fri) 19 Apr 2013 (W16),St Patrick's Athletic F.C. (8),2-0,?,Sligo Rovers F.C. (9)
?,(Fri) 19 Apr 2013 (W16),Bohemian F.C. (8),0-2,?,Dundalk F.C. (9)
?,(Fri) 19 Apr 2013 (W16),Cork City F.C. (8),1-1,?,Shelbourne F.C. (9)
?,(Fri) 19 Apr 2013 (W16),Derry City F.C. (9),2-1,?,Shamrock Rovers FC (9)
?,(Fri) 19 Apr 2013 (W16),Drogheda United F.C. (9),3-2,?,University College Dublin A.F.C. (9)
?,(Sun) 21 Apr 2013 (W16),Bray Wanderers F.C. (8),0-4,?,Limerick F.C. (9)
?,(Fri) 26 Apr 2013 (W17),Dundalk F.C. (10),2-0,?,Cork City F.C. (9)
?,(Fri) 26 Apr 2013 (W17),Bohemian F.C. (9),3-2,?,Bray Wanderers F.C. (9)
?,(Fri) 26 Apr 2013 (W17),St Patrick's Athletic F.C. (9),1-1,?,Derry City F.C. (10)
?,(Fri) 26 Apr 2013 (W17),University College Dublin A.F.C. (10),2-0,?,Shamrock Rovers FC (10)
?,(Sat) 27 Apr 2013 (W17),Limerick F.C. (10),0-0,?,Shelbourne F.C. (10)
?,(Sat) 27 Apr 2013 (W17),Sligo Rovers F.C. (10),2-2,?,Drogheda United F.C. (10)
?,(Mon) 29 Apr 2013 (W18),Bray Wanderers F.C. (10),1-2,?,Cork City F.C. (10)
?,(Mon) 29 Apr 2013 (W18),St Patrick's Athletic F.C. (10),1-1,?,Bohemian F.C. (10)
?,(Fri) 3 May 2013 (W18),Bray Wanderers F.C. (11),0-1,?,Dundalk F.C. (11)
?,(Fri) 3 May 2013 (W18),Cork City F.C. (11),0-2,?,St Patrick's Athletic F.C. (11)
?,(Fri) 3 May 2013 (W18),Derry City F.C. (11),2-1,?,Limerick F.C. (11)
?,(Fri) 3 May 2013 (W18),Drogheda United F.C. (11),2-2,?,Bohemian F.C. (11)
?,(Fri) 3 May 2013 (W18),Shamrock Rovers FC (11),1-1,?,Sligo Rovers F.C. (11)
?,(Fri) 3 May 2013 (W18),Shelbourne F.C. (11),2-0,?,University College Dublin A.F.C. (11)
?,(Mon) 6 May 2013 (W19),Drogheda United F.C. (12),1-2,?,St Patrick's Athletic F.C. (12)
?,(Mon) 6 May 2013 (W19),Cork City F.C. (12),2-3,?,Limerick F.C. (12)
?,(Mon) 6 May 2013 (W19),Sligo Rovers F.C. (12),3-0,?,Derry City F.C. (12)
?,(Mon) 6 May 2013 (W19),Shamrock Rovers FC (12),1-0,?,Dundalk F.C. (12)
?,(Mon) 6 May 2013 (W19),Shelbourne F.C. (12),1-2,?,Bray Wanderers F.C. (12)
?,(Tue) 7 May 2013 (W19),University College Dublin A.F.C. (12),1-0,?,Bohemian F.C. (12)
?,(Fri) 10 May 2013 (W19),Bohemian F.C. (13),1-2,?,Cork City F.C. (13)
?,(Fri) 10 May 2013 (W19),Bray Wanderers F.C. (13),0-0,?,Sligo Rovers F.C. (13)
?,(Fri) 10 May 2013 (W19),Derry City F.C. (13),2-4,?,University College Dublin A.F.C. (13)
?,(Fri) 10 May 2013 (W19),Dundalk F.C. (13),1-0,?,Shelbourne F.C. (13)
?,(Tue) 14 May 2013 (W20),Limerick F.C. (13),0-1,?,Drogheda United F.C. (13)
?,(Tue) 14 May 2013 (W20),St Patrick's Athletic F.C. (13),0-0,?,Shamrock Rovers FC (13)
?,(Fri) 17 May 2013 (W20),Shamrock Rovers FC (14),1-1,?,Bohemian F.C. (14)
?,(Fri) 17 May 2013 (W20),Cork City F.C. (14),1-3,?,Bray Wanderers F.C. (14)
?,(Fri) 17 May 2013 (W20),Drogheda United F.C. (14),2-3,?,Derry City F.C. (14)
?,(Fri) 17 May 2013 (W20),University College Dublin A.F.C. (14),1-1,?,Limerick F.C. (14)
?,(Fri) 17 May 2013 (W20),Shelbourne F.C. (14),0-3,?,St Patrick's Athletic F.C. (14)
?,(Fri) 24 May 2013 (W21),Limerick F.C. (15),0-0,?,Sligo Rovers F.C. (14)
?,(Fri) 24 May 2013 (W21),Bohemian F.C. (15),0-2,?,St Patrick's Athletic F.C. (15)
?,(Fri) 24 May 2013 (W21),Bray Wanderers F.C. (15),3-2,?,Drogheda United F.C. (15)
?,(Fri) 24 May 2013 (W21),Derry City F.C. (15),1-1,?,Cork City F.C. (15)
?,(Fri) 24 May 2013 (W21),Dundalk F.C. (14),2-3,?,University College Dublin A.F.C. (15)
?,(Fri) 24 May 2013 (W21),Shamrock Rovers FC (15),1-0,?,Shelbourne F.C. (15)
?,(Tue) 28 May 2013 (W22),Sligo Rovers F.C. (15),0-1,?,Dundalk F.C. (15)
?,(Tue) 28 May 2013 (W22),St Patrick's Athletic F.C. (16),5-0,?,University College Dublin A.F.C. (16)
?,(Sat) 8 Jun 2013 (W23),St Patrick's Athletic F.C. (17),3-0,?,Limerick F.C. (16)
?,(Sat) 8 Jun 2013 (W23),Sligo Rovers F.C. (16),0-0,?,Bohemian F.C. (16)
?,(Sat) 8 Jun 2013 (W23),University College Dublin A.F.C. (17),4-5,?,Bray Wanderers F.C. (16)
?,(Sat) 8 Jun 2013 (W23),Shelbourne F.C. (16),0-1,?,Derry City F.C. (16)
?,(Sun) 9 Jun 2013 (W23),Cork City F.C. (16),1-2,?,Shamrock Rovers FC (16)
?,(Mon) 10 Jun 2013 (W24),Drogheda United F.C. (16),0-1,?,Dundalk F.C. (16)
?,(Fri) 14 Jun 2013 (W24),Bohemian F.C. (17),0-3,?,Shelbourne F.C. (17)
?,(Fri) 14 Jun 2013 (W24),Bray Wanderers F.C. (17),2-3,?,Derry City F.C. (17)
?,(Fri) 14 Jun 2013 (W24),Cork City F.C. (17),1-0,?,Drogheda United F.C. (17)
?,(Fri) 14 Jun 2013 (W24),Dundalk F.C. (17),2-1,?,St Patrick's Athletic F.C. (18)
?,(Fri) 14 Jun 2013 (W24),Shamrock Rovers FC (17),1-0,?,Limerick F.C. (17)
?,(Sat) 15 Jun 2013 (W24),Sligo Rovers F.C. (17),5-2,?,University College Dublin A.F.C. (18)
?,(Fri) 28 Jun 2013 (W26),Derry City F.C. (18),2-1,?,Bohemian F.C. (18)
?,(Fri) 28 Jun 2013 (W26),Drogheda United F.C. (18),0-3,?,Shamrock Rovers FC (18)
?,(Fri) 28 Jun 2013 (W26),St Patrick's Athletic F.C. (19),2-0,?,Bray Wanderers F.C. (18)
?,(Fri) 28 Jun 2013 (W26),University College Dublin A.F.C. (19),3-0,?,Cork City F.C. (18)
?,(Fri) 28 Jun 2013 (W26),Shelbourne F.C. (18),0-2,?,Sligo Rovers F.C. (18)
?,(Sat) 29 Jun 2013 (W26),Limerick F.C. (18),3-2,?,Dundalk F.C. (18)
?,(Fri) 5 Jul 2013 (W27),Bohemian F.C. (19),0-1,?,Limerick F.C. (19)
?,(Fri) 5 Jul 2013 (W27),Bray Wanderers F.C. (19),0-0,?,Shamrock Rovers FC (19)
?,(Fri) 5 Jul 2013 (W27),Cork City F.C. (19),3-1,?,Sligo Rovers F.C. (19)
?,(Fri) 5 Jul 2013 (W27),Derry City F.C. (19),0-1,?,Dundalk F.C. (19)
?,(Sun) 7 Jul 2013 (W27),Drogheda United F.C. (19),0-0,?,Shelbourne F.C. (19)
?,(Tue) 9 Jul 2013 (W28),Limerick F.C. (20),4-4,?,Bray Wanderers F.C. (20)
?,(Fri) 12 Jul 2013 (W28),Dundalk F.C. (20),3-0,?,Bohemian F.C. (20)
?,(Fri) 12 Jul 2013 (W28),Shamrock Rovers FC (20),2-1,?,Derry City F.C. (20)
?,(Fri) 12 Jul 2013 (W28),Shelbourne F.C. (20),2-1,?,Cork City F.C. (20)
?,(Sun) 14 Jul 2013 (W28),Sligo Rovers F.C. (20),1-1,?,St Patrick's Athletic F.C. (20)
?,(Sun) 14 Jul 2013 (W28),University College Dublin A.F.C. (20),2-2,?,Drogheda United F.C. (20)
?,(Fri) 19 Jul 2013 (W29),Bray Wanderers F.C. (21),1-3,?,Bohemian F.C. (21)
?,(Fri) 19 Jul 2013 (W29),Shamrock Rovers FC (21),1-1,?,University College Dublin A.F.C. (21)
?,(Fri) 19 Jul 2013 (W29),Shelbourne F.C. (21),2-1,?,Limerick F.C. (21)
?,(Fri) 19 Jul 2013 (W29),Cork City F.C. (21),2-2,?,Dundalk F.C. (21)
?,(Fri) 26 Jul 2013 (W30),Bohemian F.C. (22),1-1,?,Drogheda United F.C. (21)
?,(Fri) 26 Jul 2013 (W30),Dundalk F.C. (22),1-0,?,Bray Wanderers F.C. (22)
?,(Fri) 26 Jul 2013 (W30),St Patrick's Athletic F.C. (21),2-1,?,Cork City F.C. (22)
?,(Fri) 26 Jul 2013 (W30),University College Dublin A.F.C. (22),1-2,?,Shelbourne F.C. (22)
?,(Sat) 27 Jul 2013 (W30),Sligo Rovers F.C. (21),0-0,?,Shamrock Rovers FC (22)
?,(Sun) 28 Jul 2013 (W30),Limerick F.C. (22),0-1,?,Derry City F.C. (21)
?,(Fri) 2 Aug 2013 (W31),Bohemian F.C. (23),1-3,?,University College Dublin A.F.C. (23)
?,(Fri) 2 Aug 2013 (W31),Derry City F.C. (22),1-2,?,Sligo Rovers F.C. (22)
?,(Fri) 2 Aug 2013 (W31),Dundalk F.C. (23),3-1,?,Shamrock Rovers FC (23)
?,(Fri) 2 Aug 2013 (W31),Limerick F.C. (23),2-1,?,Cork City F.C. (23)
?,(Fri) 2 Aug 2013 (W31),St Patrick's Athletic F.C. (22),0-0,?,Drogheda United F.C. (22)
?,(Sun) 4 Aug 2013 (W31),Bray Wanderers F.C. (23),1-1,?,Shelbourne F.C. (23)
?,(Fri) 9 Aug 2013 (W32),Cork City F.C. (24),1-0,?,Bohemian F.C. (24)
?,(Fri) 9 Aug 2013 (W32),Drogheda United F.C. (23),3-0,?,Limerick F.C. (24)
?,(Fri) 9 Aug 2013 (W32),University College Dublin A.F.C. (24),1-3,?,Derry City F.C. (23)
?,(Fri) 9 Aug 2013 (W32),Shamrock Rovers FC (24),0-4,?,St Patrick's Athletic F.C. (23)
?,(Fri) 9 Aug 2013 (W32),Shelbourne F.C. (24),1-2,?,Dundalk F.C. (24)
