Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 13 Apr 2013 (W15),TPS Turku (1),2-0,?,FC Honka Espoo (1)
?,(Sun) 14 Apr 2013 (W15),KuPS Kuopio (1),1-1,?,Myllykosken Pallo -47 (1)
?,(Sun) 14 Apr 2013 (W15),Rovaniemen Palloseura (1),1-3,?,IFK Mariehamn (1)
?,(Sat) 20 Apr 2013 (W16),TPS Turku (2),0-1,?,Vaasan Palloseura (1)
?,(Sun) 21 Apr 2013 (W16),Rovaniemen Palloseura (2),3-0,?,FC Lahti (1)
?,(Sun) 21 Apr 2013 (W16),FF Jaro (1),2-1,?,KuPS Kuopio (2)
?,(Sun) 21 Apr 2013 (W16),IFK Mariehamn (2),2-2,?,JJK Jyväskylä (1)
?,(Sun) 21 Apr 2013 (W16),Myllykosken Pallo -47 (2),1-0,?,FC Inter Turku (1)
?,(Mon) 22 Apr 2013 (W17),FC Honka Espoo (2),0-2,?,HJK Helsinki (1)
?,(Sun) 28 Apr 2013 (W17),JJK Jyväskylä (2),0-0,?,FC Lahti (2)
?,(Sun) 28 Apr 2013 (W17),KuPS Kuopio (3),0-1,?,IFK Mariehamn (3)
?,(Sun) 28 Apr 2013 (W17),Rovaniemen Palloseura (3),1-0,?,TPS Turku (3)
?,(Sun) 28 Apr 2013 (W17),Vaasan Palloseura (2),0-0,?,FC Honka Espoo (3)
?,(Mon) 29 Apr 2013 (W18),HJK Helsinki (2),2-0,?,Myllykosken Pallo -47 (3)
?,(Mon) 29 Apr 2013 (W18),FC Inter Turku (2),1-0,?,FF Jaro (2)
?,(Thu) 2 May 2013 (W18),FC Inter Turku (3),2-2,?,HJK Helsinki (3)
?,(Sun) 5 May 2013 (W18),FF Jaro (3),2-3,?,HJK Helsinki (4)
?,(Sun) 5 May 2013 (W18),FC Lahti (3),1-0,?,KuPS Kuopio (4)
?,(Sun) 5 May 2013 (W18),IFK Mariehamn (4),1-2,?,FC Inter Turku (4)
?,(Sun) 5 May 2013 (W18),Myllykosken Pallo -47 (4),1-0,?,FC Honka Espoo (4)
?,(Sun) 5 May 2013 (W18),TPS Turku (4),1-0,?,JJK Jyväskylä (3)
?,(Sun) 5 May 2013 (W18),Vaasan Palloseura (3),3-1,?,Rovaniemen Palloseura (4)
?,(Thu) 9 May 2013 (W19),HJK Helsinki (5),0-0,?,IFK Mariehamn (5)
?,(Thu) 9 May 2013 (W19),FC Honka Espoo (5),2-0,?,Rovaniemen Palloseura (5)
?,(Thu) 9 May 2013 (W19),FC Inter Turku (5),2-0,?,FC Lahti (4)
?,(Thu) 9 May 2013 (W19),JJK Jyväskylä (4),0-1,?,Vaasan Palloseura (4)
?,(Thu) 9 May 2013 (W19),KuPS Kuopio (5),4-1,?,TPS Turku (5)
?,(Thu) 9 May 2013 (W19),Myllykosken Pallo -47 (5),1-2,?,FF Jaro (4)
?,(Sun) 12 May 2013 (W19),FF Jaro (5),2-2,?,FC Honka Espoo (6)
?,(Sun) 12 May 2013 (W19),IFK Mariehamn (6),0-4,?,Myllykosken Pallo -47 (6)
?,(Sun) 12 May 2013 (W19),Rovaniemen Palloseura (6),4-0,?,JJK Jyväskylä (5)
?,(Sun) 12 May 2013 (W19),Vaasan Palloseura (5),1-2,?,KuPS Kuopio (6)
?,(Mon) 13 May 2013 (W20),FC Lahti (5),0-1,?,HJK Helsinki (6)
?,(Mon) 13 May 2013 (W20),TPS Turku (6),2-1,?,FC Inter Turku (6)
?,(Fri) 17 May 2013 (W20),HJK Helsinki (7),0-2,?,TPS Turku (7)
?,(Fri) 17 May 2013 (W20),FC Honka Espoo (7),3-2,?,JJK Jyväskylä (6)
?,(Fri) 17 May 2013 (W20),FC Inter Turku (7),0-0,?,Vaasan Palloseura (6)
?,(Fri) 17 May 2013 (W20),KuPS Kuopio (7),1-0,?,Rovaniemen Palloseura (7)
?,(Fri) 17 May 2013 (W20),IFK Mariehamn (7),1-0,?,FF Jaro (6)
?,(Fri) 17 May 2013 (W20),Myllykosken Pallo -47 (7),2-0,?,FC Lahti (6)
?,(Thu) 23 May 2013 (W21),HJK Helsinki (8),1-2,?,Vaasan Palloseura (7)
?,(Thu) 23 May 2013 (W21),FC Honka Espoo (8),2-1,?,IFK Mariehamn (8)
?,(Thu) 23 May 2013 (W21),JJK Jyväskylä (7),0-0,?,KuPS Kuopio (8)
?,(Thu) 23 May 2013 (W21),FC Lahti (7),1-2,?,FF Jaro (7)
?,(Thu) 23 May 2013 (W21),Rovaniemen Palloseura (8),1-0,?,FC Inter Turku (8)
?,(Sun) 26 May 2013 (W21),HJK Helsinki (9),2-0,?,Rovaniemen Palloseura (9)
?,(Sun) 26 May 2013 (W21),FC Inter Turku (9),3-1,?,JJK Jyväskylä (8)
?,(Sun) 26 May 2013 (W21),FF Jaro (8),1-1,?,TPS Turku (8)
?,(Sun) 26 May 2013 (W21),KuPS Kuopio (9),1-2,?,FC Honka Espoo (9)
?,(Sun) 26 May 2013 (W21),Myllykosken Pallo -47 (8),3-0,?,Vaasan Palloseura (8)
?,(Sun) 26 May 2013 (W21),IFK Mariehamn (9),2-2,?,FC Lahti (8)
?,(Wed) 29 May 2013 (W22),FC Honka Espoo (10),1-0,?,FC Lahti (9)
?,(Wed) 29 May 2013 (W22),JJK Jyväskylä (9),1-3,?,HJK Helsinki (10)
?,(Wed) 29 May 2013 (W22),KuPS Kuopio (10),1-1,?,FC Inter Turku (10)
?,(Wed) 29 May 2013 (W22),Rovaniemen Palloseura (10),2-1,?,Myllykosken Pallo -47 (9)
?,(Wed) 29 May 2013 (W22),TPS Turku (9),2-4,?,IFK Mariehamn (10)
?,(Wed) 29 May 2013 (W22),Vaasan Palloseura (9),2-1,?,FF Jaro (9)
?,(Sat) 1 Jun 2013 (W22),HJK Helsinki (11),1-2,?,KuPS Kuopio (11)
?,(Sun) 2 Jun 2013 (W22),FC Inter Turku (11),0-1,?,FC Honka Espoo (11)
?,(Sun) 2 Jun 2013 (W22),FF Jaro (10),2-1,?,Rovaniemen Palloseura (11)
?,(Sun) 2 Jun 2013 (W22),FC Lahti (10),0-1,?,TPS Turku (10)
?,(Sun) 2 Jun 2013 (W22),IFK Mariehamn (11),0-1,?,Vaasan Palloseura (10)
?,(Sun) 2 Jun 2013 (W22),Myllykosken Pallo -47 (10),0-1,?,JJK Jyväskylä (10)
?,(Thu) 13 Jun 2013 (W24),HJK Helsinki (12),6-0,?,FC Inter Turku (12)
?,(Thu) 13 Jun 2013 (W24),FF Jaro (11),3-0,?,JJK Jyväskylä (11)
?,(Thu) 13 Jun 2013 (W24),FC Lahti (11),0-2,?,Vaasan Palloseura (11)
?,(Thu) 13 Jun 2013 (W24),IFK Mariehamn (12),1-0,?,Rovaniemen Palloseura (12)
?,(Thu) 13 Jun 2013 (W24),Myllykosken Pallo -47 (11),2-0,?,KuPS Kuopio (12)
?,(Thu) 13 Jun 2013 (W24),TPS Turku (11),2-0,?,FC Honka Espoo (12)
?,(Sun) 16 Jun 2013 (W24),FC Honka Espoo (13),1-0,?,HJK Helsinki (13)
?,(Sun) 16 Jun 2013 (W24),FC Inter Turku (13),0-0,?,Myllykosken Pallo -47 (12)
?,(Sun) 16 Jun 2013 (W24),JJK Jyväskylä (12),3-2,?,IFK Mariehamn (13)
?,(Sun) 16 Jun 2013 (W24),KuPS Kuopio (13),3-0,?,FF Jaro (12)
?,(Sun) 16 Jun 2013 (W24),FC Lahti (12),0-0,?,Rovaniemen Palloseura (13)
?,(Sun) 16 Jun 2013 (W24),Vaasan Palloseura (12),0-0,?,TPS Turku (12)
?,(Wed) 19 Jun 2013 (W25),FF Jaro (13),0-0,?,FC Inter Turku (14)
?,(Wed) 19 Jun 2013 (W25),FC Lahti (13),2-1,?,JJK Jyväskylä (13)
?,(Wed) 19 Jun 2013 (W25),IFK Mariehamn (14),4-2,?,KuPS Kuopio (14)
?,(Wed) 19 Jun 2013 (W25),Myllykosken Pallo -47 (13),2-4,?,HJK Helsinki (14)
?,(Wed) 19 Jun 2013 (W25),TPS Turku (13),2-1,?,Rovaniemen Palloseura (14)
?,(Wed) 19 Jun 2013 (W25),Vaasan Palloseura (13),1-1,?,FC Honka Espoo (14)
?,(Mon) 24 Jun 2013 (W26),HJK Helsinki (15),0-0,?,FF Jaro (14)
?,(Mon) 24 Jun 2013 (W26),FC Honka Espoo (15),2-0,?,Myllykosken Pallo -47 (14)
?,(Mon) 24 Jun 2013 (W26),FC Inter Turku (15),0-2,?,IFK Mariehamn (15)
?,(Mon) 24 Jun 2013 (W26),JJK Jyväskylä (14),1-1,?,TPS Turku (14)
?,(Mon) 24 Jun 2013 (W26),KuPS Kuopio (15),0-1,?,FC Lahti (14)
?,(Mon) 24 Jun 2013 (W26),Rovaniemen Palloseura (15),0-0,?,Vaasan Palloseura (14)
?,(Thu) 27 Jun 2013 (W26),FF Jaro (15),2-0,?,Myllykosken Pallo -47 (15)
?,(Thu) 27 Jun 2013 (W26),FC Lahti (15),1-0,?,FC Inter Turku (16)
?,(Thu) 27 Jun 2013 (W26),Rovaniemen Palloseura (16),0-1,?,FC Honka Espoo (16)
?,(Thu) 27 Jun 2013 (W26),TPS Turku (15),0-0,?,KuPS Kuopio (16)
?,(Thu) 27 Jun 2013 (W26),Vaasan Palloseura (15),1-0,?,JJK Jyväskylä (15)
?,(Thu) 27 Jun 2013 (W26),IFK Mariehamn (16),0-5,?,HJK Helsinki (16)
?,(Sun) 30 Jun 2013 (W26),FC Honka Espoo (17),4-2,?,FF Jaro (16)
?,(Sun) 30 Jun 2013 (W26),FC Inter Turku (17),1-1,?,TPS Turku (16)
?,(Sun) 30 Jun 2013 (W26),JJK Jyväskylä (16),1-1,?,Rovaniemen Palloseura (17)
?,(Sun) 30 Jun 2013 (W26),KuPS Kuopio (17),1-0,?,Vaasan Palloseura (16)
?,(Sun) 30 Jun 2013 (W26),Myllykosken Pallo -47 (16),3-1,?,IFK Mariehamn (17)
?,(Mon) 1 Jul 2013 (W27),HJK Helsinki (17),2-1,?,FC Lahti (16)
?,(Sat) 6 Jul 2013 (W27),Rovaniemen Palloseura (18),1-0,?,KuPS Kuopio (18)
?,(Sun) 7 Jul 2013 (W27),JJK Jyväskylä (17),1-0,?,FC Honka Espoo (18)
?,(Sun) 7 Jul 2013 (W27),IFK Mariehamn (18),0-0,?,FF Jaro (17)
?,(Sun) 7 Jul 2013 (W27),Vaasan Palloseura (17),1-2,?,FC Inter Turku (18)
?,(Mon) 8 Jul 2013 (W28),FC Lahti (17),3-0,?,Myllykosken Pallo -47 (17)
?,(Fri) 12 Jul 2013 (W28),HJK Helsinki (18),3-0,?,Vaasan Palloseura (18)
?,(Sat) 13 Jul 2013 (W28),FF Jaro (18),7-1,?,FC Lahti (18)
?,(Sun) 14 Jul 2013 (W28),FC Inter Turku (19),0-0,?,Rovaniemen Palloseura (19)
?,(Sun) 14 Jul 2013 (W28),IFK Mariehamn (19),1-4,?,FC Honka Espoo (19)
?,(Sun) 14 Jul 2013 (W28),Myllykosken Pallo -47 (18),2-1,?,TPS Turku (17)
?,(Mon) 15 Jul 2013 (W29),KuPS Kuopio (19),2-1,?,JJK Jyväskylä (18)
?,(Fri) 19 Jul 2013 (W29),Vaasan Palloseura (19),4-1,?,Myllykosken Pallo -47 (19)
?,(Sat) 20 Jul 2013 (W29),Rovaniemen Palloseura (20),0-0,?,HJK Helsinki (19)
?,(Sun) 21 Jul 2013 (W29),FC Lahti (19),2-1,?,IFK Mariehamn (20)
?,(Sun) 21 Jul 2013 (W29),FC Honka Espoo (20),1-0,?,KuPS Kuopio (20)
?,(Sun) 21 Jul 2013 (W29),JJK Jyväskylä (19),2-0,?,FC Inter Turku (20)
?,(Sun) 21 Jul 2013 (W29),TPS Turku (18),2-2,?,FF Jaro (19)
