Round,Date,Team 1,FT,Team 2
Rodada 28,Fri Jan 3 2020,Flamengo RJ,,Fluminense RJ
Rodada 28,Fri Jan 3 2020,Atlético GO,,CR Vasco da Gama
Rodada 28,Fri Jan 3 2020,RB Bragantino,,São Paulo FC
Rodada 28,Fri Jan 3 2020,Atlético MG,,Santos SP
Rodada 28,Fri Jan 3 2020,Palmeiras SP,,Corinthians SP
Rodada 28,Fri Jan 3 2020,Ceára SC,,Internacional Porto Alegre
Rodada 28,Fri Jan 3 2020,Grêmio RS,,EC Bahia
Rodada 28,Fri Jan 3 2020,Botafogo RJ,,Atlético PR
Rodada 28,Fri Jan 3 2020,Sport Recife,,Fortaleza EC
Rodada 28,Fri Jan 3 2020,Coritiba PR,,Goiás EC
Rodada 29,Fri Jan 10 2020,Corinthians SP,,Fluminense RJ
Rodada 29,Fri Jan 10 2020,CR Vasco da Gama,,Botafogo RJ
Rodada 29,Fri Jan 10 2020,Sport Recife,,Palmeiras SP
Rodada 29,Fri Jan 10 2020,São Paulo FC,,Santos SP
Rodada 29,Fri Jan 10 2020,RB Bragantino,,Atlético MG
Rodada 29,Fri Jan 10 2020,Fortaleza EC,,Grêmio RS
Rodada 29,Fri Jan 10 2020,Atlético GO,,EC Bahia
Rodada 29,Fri Jan 10 2020,Coritiba PR,,Atlético PR
Rodada 29,Fri Jan 10 2020,Flamengo RJ,,Ceára SC
Rodada 29,Fri Jan 10 2020,Internacional Porto Alegre,,Goiás EC
Rodada 30,Fri Jan 17 2020,Goiás EC,,Flamengo RJ
Rodada 30,Fri Jan 17 2020,Santos SP,,Botafogo RJ
Rodada 30,Fri Jan 17 2020,Atlético PR,,São Paulo FC
Rodada 30,Fri Jan 17 2020,Ceára SC,,RB Bragantino
Rodada 30,Fri Jan 17 2020,EC Bahia,,Corinthians SP
Rodada 30,Fri Jan 17 2020,Palmeiras SP,,Grêmio RS
Rodada 30,Fri Jan 17 2020,Fluminense RJ,,Sport Recife
Rodada 30,Fri Jan 17 2020,CR Vasco da Gama,,Coritiba PR
Rodada 30,Fri Jan 17 2020,Internacional Porto Alegre,,Fortaleza EC
Rodada 30,Fri Jan 17 2020,Atlético MG,,Atlético GO
Rodada 32,Fri Jan 24 2020,CR Vasco da Gama,,Atlético MG
Rodada 32,Fri Jan 24 2020,Santos SP,,Goiás EC
Rodada 32,Fri Jan 24 2020,Atlético GO,,Fortaleza EC
Rodada 32,Fri Jan 24 2020,São Paulo FC,,Coritiba PR
Rodada 32,Fri Jan 24 2020,Sport Recife,,EC Bahia
Rodada 32,Fri Jan 24 2020,Internacional Porto Alegre,,Grêmio RS
Rodada 32,Fri Jan 24 2020,Corinthians SP,,RB Bragantino
Rodada 32,Fri Jan 24 2020,Ceára SC,,Palmeiras SP
Rodada 32,Fri Jan 24 2020,Fluminense RJ,,Botafogo RJ
Rodada 32,Fri Jan 24 2020,Atlético PR,,Flamengo RJ
Rodada 31,Tue Jan 28 2020,Coritiba PR,,Fluminense RJ
Rodada 31,Tue Jan 28 2020,Goiás EC,,Ceára SC
Rodada 31,Tue Jan 28 2020,EC Bahia,,Atlético PR
Rodada 31,Tue Jan 28 2020,Corinthians SP,,Sport Recife
Rodada 31,Tue Jan 28 2020,RB Bragantino,,CR Vasco da Gama
Rodada 31,Tue Jan 28 2020,São Paulo FC,,Internacional Porto Alegre
Rodada 31,Tue Jan 28 2020,Grêmio RS,,Atlético MG
Rodada 31,Tue Jan 28 2020,Fortaleza EC,,Santos SP
Rodada 31,Tue Jan 28 2020,Flamengo RJ,,Palmeiras SP
Rodada 31,Tue Jan 28 2020,Botafogo RJ,,Atlético GO
Rodada 33,Fri Jan 31 2020,Sport Recife,,Flamengo RJ
Rodada 33,Fri Jan 31 2020,Palmeiras SP,,Botafogo RJ
Rodada 33,Fri Jan 31 2020,Atlético GO,,São Paulo FC
Rodada 33,Fri Jan 31 2020,Internacional Porto Alegre,,RB Bragantino
Rodada 33,Fri Jan 31 2020,Santos SP,,Corinthians SP
Rodada 33,Fri Jan 31 2020,Coritiba PR,,Grêmio RS
Rodada 33,Fri Jan 31 2020,CR Vasco da Gama,,EC Bahia
Rodada 33,Fri Jan 31 2020,Ceára SC,,Atlético PR
Rodada 33,Fri Jan 31 2020,Atlético MG,,Fortaleza EC
Rodada 33,Fri Jan 31 2020,Fluminense RJ,,Goiás EC
Rodada 34,Fri Feb 7 2020,EC Bahia,,Fluminense RJ
Rodada 34,Fri Feb 7 2020,Flamengo RJ,,CR Vasco da Gama
Rodada 34,Fri Feb 7 2020,São Paulo FC,,Palmeiras SP
Rodada 34,Fri Feb 7 2020,Grêmio RS,,Santos SP
Rodada 34,Fri Feb 7 2020,Goiás EC,,Atlético MG
Rodada 34,Fri Feb 7 2020,Atlético PR,,Internacional Porto Alegre
Rodada 34,Fri Feb 7 2020,Botafogo RJ,,Sport Recife
Rodada 34,Fri Feb 7 2020,Fortaleza EC,,Coritiba PR
Rodada 34,Fri Feb 7 2020,Corinthians SP,,Ceára SC
Rodada 34,Fri Feb 7 2020,RB Bragantino,,Atlético GO
Rodada 35,Thu Feb 13 2020,RB Bragantino,,Flamengo RJ
Rodada 35,Thu Feb 13 2020,Fortaleza EC,,CR Vasco da Gama
Rodada 35,Thu Feb 13 2020,Coritiba PR,,Palmeiras SP
Rodada 35,Thu Feb 13 2020,Atlético GO,,Santos SP
Rodada 35,Thu Feb 13 2020,Fluminense RJ,,Atlético MG
Rodada 35,Thu Feb 13 2020,Botafogo RJ,,Grêmio RS
Rodada 35,Thu Feb 13 2020,Internacional Porto Alegre,,Sport Recife
Rodada 35,Thu Feb 13 2020,Corinthians SP,,Atlético PR
Rodada 35,Thu Feb 13 2020,São Paulo FC,,Ceára SC
Rodada 35,Thu Feb 13 2020,EC Bahia,,Goiás EC
Rodada 36,Mon Feb 17 2020,Ceára SC,,Fluminense RJ
Rodada 36,Mon Feb 17 2020,Goiás EC,,Botafogo RJ
Rodada 36,Mon Feb 17 2020,Grêmio RS,,São Paulo FC
Rodada 36,Mon Feb 17 2020,Sport Recife,,RB Bragantino
Rodada 36,Mon Feb 17 2020,Flamengo RJ,,Corinthians SP
Rodada 36,Mon Feb 17 2020,CR Vasco da Gama,,Internacional Porto Alegre
Rodada 36,Mon Feb 17 2020,Atlético MG,,EC Bahia
Rodada 36,Mon Feb 17 2020,Santos SP,,Coritiba PR
Rodada 36,Mon Feb 17 2020,Palmeiras SP,,Fortaleza EC
Rodada 36,Mon Feb 17 2020,Atlético PR,,Atlético GO
Rodada 37,Fri Feb 21 2020,Santos SP,,Fluminense RJ
Rodada 37,Fri Feb 21 2020,Corinthians SP,,CR Vasco da Gama
Rodada 37,Fri Feb 21 2020,Botafogo RJ,,São Paulo FC
Rodada 37,Fri Feb 21 2020,Goiás EC,,RB Bragantino
Rodada 37,Fri Feb 21 2020,Sport Recife,,Atlético MG
Rodada 37,Fri Feb 21 2020,Flamengo RJ,,Internacional Porto Alegre
Rodada 37,Fri Feb 21 2020,Fortaleza EC,,EC Bahia
Rodada 37,Fri Feb 21 2020,Grêmio RS,,Atlético PR
Rodada 37,Fri Feb 21 2020,Coritiba PR,,Ceára SC
Rodada 37,Fri Feb 21 2020,Palmeiras SP,,Atlético GO
Rodada 38,Mon Feb 24 2020,São Paulo FC,,Flamengo RJ
Rodada 38,Mon Feb 24 2020,Ceára SC,,Botafogo RJ
Rodada 38,Mon Feb 24 2020,Atlético MG,,Palmeiras SP
