Round,Date,Team 1,FT,Team 2
1,Sat Jul 25 2020,Guangzhou Evergrande Taobao,,Shanghai Shenxin
1,Sat Jul 25 2020,Wuhan Zall,,Qingdao Huanghai FC
1,Sun Jul 26 2020,Dalian Yifang,,Shandong Luneng Taishan
1,Sun Jul 26 2020,Hebei China Fortune,,Shijiazhuang Ever Bright
1,Sun Jul 26 2020,Shenzhen FC,,Guangzhou R&F
1,Sun Jul 26 2020,Henan Jianye,,Jiangsu Suning
1,Sun Jul 26 2020,Chongqing Dangdai Lifan,,Beijing Sinobo Guoan
1,Mon Jul 27 2020,Tianjin Tianhai,,Shanghai SIPG
2,Thu Jul 30 2020,Shanghai Shenxin,,Shenzhen FC
2,Thu Jul 30 2020,Guangzhou R&F,,Guangzhou Evergrande Taobao
2,Fri Jul 31 2020,Jiangsu Suning,,Shandong Luneng Taishan
2,Fri Jul 31 2020,Dalian Yifang,,Henan Jianye
2,Sat Aug 1 2020,Beijing Sinobo Guoan,,Wuhan Zall
2,Sat Aug 1 2020,Shijiazhuang Ever Bright,,Qingdao Huanghai FC
2,Sun Aug 2 2020,Shanghai SIPG,,Hebei China Fortune
2,Sun Aug 2 2020,Chongqing Dangdai Lifan,,Tianjin Tianhai
3,Tue Aug 4 2020,Shenzhen FC,,Guangzhou Evergrande Taobao
3,Tue Aug 4 2020,Jiangsu Suning,,Dalian Yifang
3,Wed Aug 5 2020,Shandong Luneng Taishan,,Shanghai Shenxin
3,Wed Aug 5 2020,Henan Jianye,,Guangzhou R&F
3,Thu Aug 6 2020,Tianjin Tianhai,,Beijing Sinobo Guoan
3,Thu Aug 6 2020,Qingdao Huanghai FC,,Shanghai SIPG
3,Fri Aug 7 2020,Wuhan Zall,,Shijiazhuang Ever Bright
3,Fri Aug 7 2020,Hebei China Fortune,,Chongqing Dangdai Lifan
4,Sun Aug 9 2020,Guangzhou Evergrande Taobao,,Shandong Luneng Taishan
4,Sun Aug 9 2020,Guangzhou R&F,,Jiangsu Suning
4,Mon Aug 10 2020,Shanghai Shenxin,,Dalian Yifang
4,Mon Aug 10 2020,Shenzhen FC,,Henan Jianye
4,Tue Aug 11 2020,Shijiazhuang Ever Bright,,Tianjin Tianhai
4,Tue Aug 11 2020,Chongqing Dangdai Lifan,,Qingdao Huanghai FC
4,Wed Aug 12 2020,Shanghai SIPG,,Wuhan Zall
4,Wed Aug 12 2020,Beijing Sinobo Guoan,,Hebei China Fortune
5,Fri Aug 14 2020,Henan Jianye,,Guangzhou Evergrande Taobao
5,Fri Aug 14 2020,Jiangsu Suning,,Shanghai Shenxin
5,Sat Aug 15 2020,Shandong Luneng Taishan,,Shenzhen FC
5,Sat Aug 15 2020,Dalian Yifang,,Guangzhou R&F
