Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 14 Apr 2018 (W15),Cruzeiro MG (1),0-1,?,Grêmio RS (1)
?,(Sat) 14 Apr 2018 (W15),EC Vitória (1),2-2,?,Flamengo RJ (1)
?,(Sun) 15 Apr 2018 (W15),Santos SP (1),2-0,?,Ceára SC (1)
?,(Sun) 15 Apr 2018 (W15),América MG (1),3-0,?,Sport Recife (1)
?,(Sun) 15 Apr 2018 (W15),Corinthians SP (1),2-1,?,Fluminense RJ (1)
?,(Sun) 15 Apr 2018 (W15),Internacional Porto Alegre (1),2-0,?,EC Bahia (1)
?,(Sun) 15 Apr 2018 (W15),CR Vasco da Gama (1),2-1,?,Atlético MG (1)
?,(Sun) 15 Apr 2018 (W15),Atlético PR (1),5-1,?,Chapecoense (1)
?,(Tue) 17 Apr 2018 (W16),Botafogo RJ (1),1-1,?,Palmeiras SP (1)
?,(Tue) 17 Apr 2018 (W16),São Paulo FC (1),1-0,?,Paraná Clube (1)
?,(Sat) 21 Apr 2018 (W16),EC Bahia (2),1-0,?,Santos SP (2)
?,(Sat) 21 Apr 2018 (W16),Flamengo RJ (2),2-0,?,América MG (2)
?,(Sun) 22 Apr 2018 (W16),Paraná Clube (2),0-4,?,Corinthians SP (2)
?,(Sun) 22 Apr 2018 (W16),Atlético MG (2),2-1,?,EC Vitória (2)
?,(Sun) 22 Apr 2018 (W16),Ceára SC (2),0-0,?,São Paulo FC (2)
?,(Sun) 22 Apr 2018 (W16),Chapecoense (2),1-1,?,CR Vasco da Gama (2)
?,(Sun) 22 Apr 2018 (W16),Fluminense RJ (2),1-0,?,Cruzeiro MG (2)
?,(Sun) 22 Apr 2018 (W16),Palmeiras SP (2),1-0,?,Internacional Porto Alegre (2)
?,(Sun) 22 Apr 2018 (W16),Grêmio RS (2),0-0,?,Atlético PR (2)
?,(Tue) 24 Apr 2018 (W17),Sport Recife (2),1-1,?,Botafogo RJ (2)
?,(Sat) 28 Apr 2018 (W17),Botafogo RJ (3),2-1,?,Grêmio RS (3)
?,(Sun) 29 Apr 2018 (W17),Atlético MG (3),1-0,?,Corinthians SP (3)
?,(Sun) 29 Apr 2018 (W17),EC Bahia (3),0-0,?,Atlético PR (3)
?,(Sun) 29 Apr 2018 (W17),Ceára SC (3),0-3,?,Flamengo RJ (3)
?,(Sun) 29 Apr 2018 (W17),Fluminense RJ (3),1-1,?,São Paulo FC (3)
?,(Sun) 29 Apr 2018 (W17),Palmeiras SP (3),0-0,?,Chapecoense (3)
?,(Sun) 29 Apr 2018 (W17),Paraná Clube (3),1-2,?,Sport Recife (3)
?,(Sun) 29 Apr 2018 (W17),Internacional Porto Alegre (3),0-0,?,Cruzeiro MG (3)
?,(Tue) 1 May 2018 (W18),América MG (3),2-1,?,EC Vitória (3)
?,(Sat) 5 May 2018 (W18),São Paulo FC (4),2-2,?,Atlético MG (4)
?,(Sat) 5 May 2018 (W18),CR Vasco da Gama (3),4-1,?,América MG (4)
?,(Sun) 6 May 2018 (W18),Corinthians SP (4),1-1,?,Ceára SC (4)
?,(Sun) 6 May 2018 (W18),Atlético PR (4),1-3,?,Palmeiras SP (4)
?,(Sun) 6 May 2018 (W18),Cruzeiro MG (4),1-0,?,Botafogo RJ (4)
?,(Sun) 6 May 2018 (W18),Flamengo RJ (4),2-0,?,Internacional Porto Alegre (4)
?,(Sun) 6 May 2018 (W18),EC Vitória (4),1-2,?,Fluminense RJ (4)
?,(Sun) 6 May 2018 (W18),Grêmio RS (4),5-1,?,Santos SP (3)
?,(Sun) 6 May 2018 (W18),Sport Recife (4),2-0,?,EC Bahia (4)
?,(Tue) 8 May 2018 (W19),Chapecoense (4),1-1,?,Paraná Clube (4)
?,(Sat) 12 May 2018 (W19),Grêmio RS (5),0-0,?,Internacional Porto Alegre (5)
?,(Sun) 13 May 2018 (W19),Cruzeiro MG (5),2-0,?,Sport Recife (5)
?,(Sun) 13 May 2018 (W19),Atlético PR (5),1-2,?,Atlético MG (5)
?,(Sun) 13 May 2018 (W19),EC Bahia (5),2-2,?,São Paulo FC (5)
?,(Sun) 13 May 2018 (W19),Chapecoense (5),3-2,?,Flamengo RJ (5)
?,(Sun) 13 May 2018 (W19),Corinthians SP (5),1-0,?,Palmeiras SP (5)
?,(Sun) 13 May 2018 (W19),CR Vasco da Gama (4),2-3,?,EC Vitória (5)
?,(Sun) 13 May 2018 (W19),Santos SP (4),3-1,?,Paraná Clube (5)
?,(Tue) 15 May 2018 (W20),Botafogo RJ (5),2-1,?,Fluminense RJ (5)
?,(Tue) 15 May 2018 (W20),Ceára SC (5),2-2,?,América MG (5)
?,(Sat) 19 May 2018 (W20),Atlético MG (6),1-0,?,Cruzeiro MG (6)
?,(Sat) 19 May 2018 (W20),Flamengo RJ (6),1-1,?,CR Vasco da Gama (5)
?,(Sun) 20 May 2018 (W20),Palmeiras SP (6),3-0,?,EC Bahia (6)
?,(Sun) 20 May 2018 (W20),EC Vitória (6),2-1,?,Ceára SC (6)
?,(Sun) 20 May 2018 (W20),América MG (6),1-0,?,Botafogo RJ (6)
?,(Sun) 20 May 2018 (W20),Paraná Clube (6),0-0,?,Grêmio RS (6)
?,(Sun) 20 May 2018 (W20),São Paulo FC (6),1-0,?,Santos SP (5)
?,(Sun) 20 May 2018 (W20),Sport Recife (6),1-1,?,Corinthians SP (6)
?,(Sun) 20 May 2018 (W20),Fluminense RJ (6),2-0,?,Atlético PR (6)
?,(Tue) 22 May 2018 (W21),Internacional Porto Alegre (6),3-0,?,Chapecoense (6)
?,(Sat) 26 May 2018 (W21),Fluminense RJ (7),3-1,?,Chapecoense (7)
?,(Sat) 26 May 2018 (W21),Palmeiras SP (7),2-3,?,Sport Recife (7)
?,(Sun) 27 May 2018 (W21),Atlético MG (7),0-1,?,Flamengo RJ (7)
?,(Sun) 27 May 2018 (W21),Paraná Clube (7),0-0,?,Atlético PR (7)
?,(Sun) 27 May 2018 (W21),EC Bahia (7),3-0,?,CR Vasco da Gama (6)
?,(Sun) 27 May 2018 (W21),Botafogo RJ (7),1-1,?,EC Vitória (7)
?,(Sun) 27 May 2018 (W21),Internacional Porto Alegre (7),2-1,?,Corinthians SP (7)
?,(Sun) 27 May 2018 (W21),Santos SP (6),0-1,?,Cruzeiro MG (7)
?,(Sun) 27 May 2018 (W21),América MG (7),1-3,?,São Paulo FC (7)
?,(Sun) 27 May 2018 (W21),Ceára SC (7),0-1,?,Grêmio RS (7)
?,(Wed) 30 May 2018 (W22),Sport Recife (8),3-2,?,Atlético MG (8)
?,(Wed) 30 May 2018 (W22),CR Vasco da Gama (7),1-0,?,Paraná Clube (8)
