Round,Date,Team 1,FT,Team 2
1,Fri Mar 1 2019,Shandong Luneng Taishan,1-0,Beijing Renhe
1,Fri Mar 1 2019,Shanghai Shenxin,0-4,Shanghai SIPG
1,Fri Mar 1 2019,Guangzhou Evergrande Taobao,3-0,Tianjin Tianhai
1,Fri Mar 1 2019,Wuhan Zall,0-1,Beijing Sinobo Guoan
1,Sat Mar 2 2019,Chongqing Dangdai Lifan,2-2,Guangzhou R&F
1,Sat Mar 2 2019,Shenzhen FC,3-1,Hebei China Fortune
1,Sun Mar 3 2019,Henan Jianye,1-1,Dalian Yifang
1,Sun Mar 3 2019,Jiangsu Suning,3-2,Tianjin TEDA
2,Fri Mar 8 2019,Guangzhou Evergrande Taobao,1-0,Tianjin TEDA
2,Sat Mar 9 2019,Chongqing Dangdai Lifan,0-4,Beijing Sinobo Guoan
2,Sat Mar 9 2019,Shandong Luneng Taishan,2-2,Henan Jianye
2,Sat Mar 9 2019,Shanghai SIPG,3-2,Jiangsu Suning
2,Sat Mar 9 2019,Guangzhou R&F,3-3,Dalian Yifang
2,Sun Mar 10 2019,Wuhan Zall,1-0,Beijing Renhe
2,Sun Mar 10 2019,Shenzhen FC,2-1,Tianjin Tianhai
2,Sun Mar 10 2019,Shanghai Shenxin,1-2,Hebei China Fortune
3,Fri Mar 29 2019,Tianjin TEDA,4-3,Guangzhou R&F
3,Sat Mar 30 2019,Beijing Renhe,0-1,Beijing Sinobo Guoan
3,Sat Mar 30 2019,Dalian Yifang,0-1,Guangzhou Evergrande Taobao
3,Sat Mar 30 2019,Hebei China Fortune,1-2,Shanghai SIPG
3,Sun Mar 31 2019,Tianjin Tianhai,2-4,Shandong Luneng Taishan
3,Sun Mar 31 2019,Henan Jianye,1-2,Shanghai Shenxin
3,Sun Mar 31 2019,Jiangsu Suning,2-1,Wuhan Zall
3,Sun Mar 31 2019,Chongqing Dangdai Lifan,1-0,Shenzhen FC
4,Fri Apr 5 2019,Shanghai SIPG,2-3,Chongqing Dangdai Lifan
4,Fri Apr 5 2019,Shenzhen FC,1-1,Shandong Luneng Taishan
4,Fri Apr 5 2019,Beijing Sinobo Guoan,3-0,Jiangsu Suning
4,Sat Apr 6 2019,Tianjin Tianhai,0-0,Hebei China Fortune
4,Sat Apr 6 2019,Guangzhou Evergrande Taobao,2-0,Guangzhou R&F
4,Sun Apr 7 2019,Dalian Yifang,1-2,Tianjin TEDA
4,Sun Apr 7 2019,Shanghai Shenxin,5-1,Beijing Renhe
5,Fri Apr 12 2019,Guangzhou R&F,2-1,Shanghai Shenxin
5,Sat Apr 13 2019,Chongqing Dangdai Lifan,2-1,Hebei China Fortune
5,Sat Apr 13 2019,Tianjin TEDA,1-1,Tianjin Tianhai
5,Sat Apr 13 2019,Shenzhen FC,0-2,Jiangsu Suning
5,Sun Apr 14 2019,Beijing Renhe,2-1,Guangzhou Evergrande Taobao
5,Sun Apr 14 2019,Shandong Luneng Taishan,0-1,Dalian Yifang
5,Sun Apr 14 2019,Beijing Sinobo Guoan,2-1,Henan Jianye
5,Sun Apr 14 2019,Shanghai SIPG,2-1,Wuhan Zall
6,Fri Apr 19 2019,Tianjin Tianhai,0-0,Shanghai SIPG
6,Fri Apr 19 2019,Guangzhou Evergrande Taobao,2-1,Shandong Luneng Taishan
6,Sat Apr 20 2019,Beijing Renhe,2-2,Shenzhen FC
6,Sat Apr 20 2019,Hebei China Fortune,0-1,Beijing Sinobo Guoan
6,Sat Apr 20 2019,Henan Jianye,2-3,Tianjin TEDA
6,Sun Apr 21 2019,Dalian Yifang,1-1,Chongqing Dangdai Lifan
