Round,Date,Team 1,FT,Team 2
Rodada 1,Sat Apr 27 2019,São Paulo FC,2-0,Botafogo RJ
Rodada 1,Sat Apr 27 2019,Chapecoense,2-0,Internacional Porto Alegre
Rodada 1,Sat Apr 27 2019,Atlético MG,2-1,Avaí FC
Rodada 1,Sun Apr 28 2019,Flamengo RJ,3-1,Cruzeiro MG
Rodada 1,Sun Apr 28 2019,Grêmio RS,1-2,Santos SP
Rodada 1,Sun Apr 28 2019,Atlético PR,4-1,CR Vasco da Gama
Rodada 1,Sun Apr 28 2019,Ceára SC,4-0,CS Alagoano
Rodada 1,Sun Apr 28 2019,EC Bahia,3-2,Corinthians SP
Rodada 1,Sun Apr 28 2019,Fluminense RJ,0-1,Goiás EC
Rodada 1,Sun Apr 28 2019,Palmeiras SP,4-0,Fortaleza EC
Rodada 2,Wed May 1 2019,Internacional Porto Alegre,2-1,Flamengo RJ
Rodada 2,Wed May 1 2019,Corinthians SP,1-0,Chapecoense
Rodada 2,Wed May 1 2019,CS Alagoano,1-1,Palmeiras SP
Rodada 2,Wed May 1 2019,Cruzeiro MG,1-0,Ceára SC
Rodada 2,Wed May 1 2019,Avaí FC,1-1,Grêmio RS
Rodada 2,Thu May 2 2019,CR Vasco da Gama,1-2,Atlético MG
Rodada 2,Thu May 2 2019,Goiás EC,1-2,São Paulo FC
Rodada 2,Thu May 2 2019,Fortaleza EC,2-1,Atlético PR
Rodada 2,Thu May 2 2019,Santos SP,2-1,Fluminense RJ
Rodada 2,Thu May 2 2019,Botafogo RJ,3-2,EC Bahia
Rodada 3,Sat May 4 2019,CR Vasco da Gama,1-1,Corinthians SP
Rodada 3,Sat May 4 2019,Palmeiras SP,1-0,Internacional Porto Alegre
Rodada 3,Sun May 5 2019,Ceára SC,1-2,Atlético MG
Rodada 3,Sun May 5 2019,Chapecoense,1-1,Atlético PR
Rodada 3,Sun May 5 2019,São Paulo FC,1-1,Flamengo RJ
Rodada 3,Sun May 5 2019,Cruzeiro MG,2-1,Goiás EC
Rodada 3,Sun May 5 2019,Botafogo RJ,1-0,Fortaleza EC
Rodada 3,Sun May 5 2019,CS Alagoano,0-0,Santos SP
Rodada 3,Sun May 5 2019,Grêmio RS,4-5,Fluminense RJ
Rodada 3,Sun May 5 2019,EC Bahia,1-0,Avaí FC
Rodada 4,Sat May 11 2019,Fluminense RJ,0-1,Botafogo RJ
Rodada 4,Sat May 11 2019,Corinthians SP,0-0,Grêmio RS
Rodada 4,Sun May 12 2019,Goiás EC,2-1,Ceára SC
Rodada 4,Sun May 12 2019,Flamengo RJ,2-1,Chapecoense
Rodada 4,Sun May 12 2019,Internacional Porto Alegre,3-1,Cruzeiro MG
Rodada 4,Sun May 12 2019,Santos SP,3-0,CR Vasco da Gama
Rodada 4,Sun May 12 2019,Atlético MG,0-2,Palmeiras SP
Rodada 4,Sun May 12 2019,Atlético PR,1-0,EC Bahia
Rodada 4,Sun May 12 2019,Avaí FC,0-0,CS Alagoano
Rodada 4,Sun May 12 2019,Fortaleza EC,0-1,São Paulo FC
Rodada 5,Sat May 18 2019,Fluminense RJ,4-1,Cruzeiro MG
Rodada 5,Sat May 18 2019,Atlético MG,2-1,Flamengo RJ
Rodada 5,Sat May 18 2019,Palmeiras SP,4-0,Santos SP
Rodada 5,Sun May 19 2019,São Paulo FC,0-0,EC Bahia
