Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 24 Feb 2017 (W8),Bohemian F.C. (1),1-4,?,Derry City F.C. (1)
?,(Fri) 24 Feb 2017 (W8),Galway United F.C. (1),0-1,?,Drogheda United F.C. (1)
?,(Fri) 24 Feb 2017 (W8),Limerick F.C. (1),5-1,?,Sligo Rovers F.C. (1)
?,(Fri) 24 Feb 2017 (W8),St Patrick's Athletic F.C. (1),1-2,?,Bray Wanderers F.C. (1)
?,(Fri) 24 Feb 2017 (W8),Dundalk F.C. (1),2-1,?,Shamrock Rovers FC (1)
?,(Fri) 24 Feb 2017 (W8),Finn Harps F.C. (1),0-1,?,Cork City F.C. (1)
?,(Fri) 3 Mar 2017 (W9),Shamrock Rovers FC (2),2-1,?,Bohemian F.C. (2)
?,(Fri) 3 Mar 2017 (W9),Bray Wanderers F.C. (2),5-3,?,Finn Harps F.C. (2)
?,(Fri) 3 Mar 2017 (W9),Cork City F.C. (2),4-0,?,Galway United F.C. (2)
?,(Fri) 3 Mar 2017 (W9),Drogheda United F.C. (2),2-0,?,St Patrick's Athletic F.C. (2)
?,(Sat) 4 Mar 2017 (W9),Sligo Rovers F.C. (2),0-4,?,Dundalk F.C. (2)
?,(Fri) 10 Mar 2017 (W10),Bohemian F.C. (3),3-2,?,Bray Wanderers F.C. (3)
?,(Fri) 10 Mar 2017 (W10),Dundalk F.C. (3),1-0,?,Limerick F.C. (2)
?,(Fri) 10 Mar 2017 (W10),Sligo Rovers F.C. (3),1-1,?,St Patrick's Athletic F.C. (3)
?,(Fri) 10 Mar 2017 (W10),Drogheda United F.C. (3),1-4,?,Cork City F.C. (3)
?,(Fri) 10 Mar 2017 (W10),Finn Harps F.C. (3),1-1,?,Galway United F.C. (3)
?,(Fri) 10 Mar 2017 (W10),Shamrock Rovers FC (3),0-1,?,Derry City F.C. (2)
?,(Mon) 13 Mar 2017 (W11),Galway United F.C. (4),1-2,?,Shamrock Rovers FC (4)
?,(Mon) 13 Mar 2017 (W11),Bray Wanderers F.C. (4),2-1,?,Drogheda United F.C. (4)
?,(Mon) 13 Mar 2017 (W11),Cork City F.C. (4),2-1,?,Sligo Rovers F.C. (4)
?,(Mon) 13 Mar 2017 (W11),Derry City F.C. (3),3-1,?,Dundalk F.C. (4)
?,(Mon) 13 Mar 2017 (W11),Limerick F.C. (3),0-1,?,Bohemian F.C. (4)
?,(Mon) 13 Mar 2017 (W11),St Patrick's Athletic F.C. (4),1-2,?,Finn Harps F.C. (4)
?,(Fri) 17 Mar 2017 (W11),Shamrock Rovers FC (5),1-2,?,Cork City F.C. (5)
?,(Fri) 17 Mar 2017 (W11),Bohemian F.C. (5),1-1,?,Galway United F.C. (5)
?,(Sat) 18 Mar 2017 (W11),Limerick F.C. (4),1-1,?,Finn Harps F.C. (5)
?,(Sat) 18 Mar 2017 (W11),Derry City F.C. (4),4-0,?,Drogheda United F.C. (5)
?,(Sat) 18 Mar 2017 (W11),Dundalk F.C. (5),3-0,?,St Patrick's Athletic F.C. (5)
?,(Sat) 18 Mar 2017 (W11),Sligo Rovers F.C. (5),3-2,?,Bray Wanderers F.C. (5)
?,(Sat) 25 Mar 2017 (W12),Cork City F.C. (6),2-1,?,Dundalk F.C. (6)
?,(Sat) 25 Mar 2017 (W12),St Patrick's Athletic F.C. (6),2-1,?,Shamrock Rovers FC (6)
?,(Sat) 25 Mar 2017 (W12),Drogheda United F.C. (6),0-1,?,Bohemian F.C. (6)
?,(Sat) 25 Mar 2017 (W12),Bray Wanderers F.C. (6),0-1,?,Limerick F.C. (5)
?,(Sat) 25 Mar 2017 (W12),Finn Harps F.C. (6),2-1,?,Sligo Rovers F.C. (6)
?,(Fri) 31 Mar 2017 (W13),Dundalk F.C. (7),3-1,?,Drogheda United F.C. (7)
?,(Fri) 31 Mar 2017 (W13),Bohemian F.C. (7),0-4,?,St Patrick's Athletic F.C. (7)
?,(Fri) 31 Mar 2017 (W13),Derry City F.C. (5),2-3,?,Bray Wanderers F.C. (7)
?,(Fri) 31 Mar 2017 (W13),Limerick F.C. (6),0-3,?,Cork City F.C. (7)
?,(Fri) 31 Mar 2017 (W13),Shamrock Rovers FC (7),3-2,?,Finn Harps F.C. (7)
?,(Mon) 3 Apr 2017 (W14),Galway United F.C. (6),1-1,?,Sligo Rovers F.C. (7)
?,(Fri) 7 Apr 2017 (W14),Cork City F.C. (8),3-0,?,Derry City F.C. (6)
?,(Fri) 7 Apr 2017 (W14),Bray Wanderers F.C. (8),1-0,?,Galway United F.C. (7)
?,(Fri) 7 Apr 2017 (W14),Drogheda United F.C. (8),2-1,?,Shamrock Rovers FC (8)
?,(Fri) 7 Apr 2017 (W14),St Patrick's Athletic F.C. (8),0-2,?,Limerick F.C. (7)
?,(Fri) 7 Apr 2017 (W14),Finn Harps F.C. (8),0-2,?,Dundalk F.C. (8)
?,(Sat) 8 Apr 2017 (W14),Sligo Rovers F.C. (8),2-0,?,Bohemian F.C. (8)
?,(Fri) 14 Apr 2017 (W15),Bohemian F.C. (9),0-2,?,Cork City F.C. (9)
?,(Fri) 14 Apr 2017 (W15),Derry City F.C. (7),0-2,?,Finn Harps F.C. (9)
?,(Fri) 14 Apr 2017 (W15),Dundalk F.C. (9),1-3,?,Bray Wanderers F.C. (9)
?,(Fri) 14 Apr 2017 (W15),Galway United F.C. (8),1-1,?,St Patrick's Athletic F.C. (9)
?,(Fri) 14 Apr 2017 (W15),Shamrock Rovers FC (9),1-0,?,Sligo Rovers F.C. (9)
?,(Sat) 15 Apr 2017 (W15),Limerick F.C. (8),3-0,?,Drogheda United F.C. (9)
?,(Fri) 21 Apr 2017 (W16),Bray Wanderers F.C. (10),4-2,?,Shamrock Rovers FC (10)
?,(Fri) 21 Apr 2017 (W16),Dundalk F.C. (10),2-0,?,Bohemian F.C. (10)
?,(Fri) 21 Apr 2017 (W16),Limerick F.C. (9),1-1,?,Galway United F.C. (9)
?,(Fri) 21 Apr 2017 (W16),St Patrick's Athletic F.C. (10),0-3,?,Cork City F.C. (10)
?,(Fri) 21 Apr 2017 (W16),Finn Harps F.C. (10),0-2,?,Drogheda United F.C. (10)
?,(Sat) 22 Apr 2017 (W16),Sligo Rovers F.C. (10),1-1,?,Derry City F.C. (8)
?,(Tue) 25 Apr 2017 (W17),Derry City F.C. (9),1-1,?,Limerick F.C. (10)
?,(Fri) 28 Apr 2017 (W17),Bohemian F.C. (11),2-0,?,Finn Harps F.C. (11)
?,(Fri) 28 Apr 2017 (W17),Cork City F.C. (11),2-1,?,Bray Wanderers F.C. (11)
?,(Fri) 28 Apr 2017 (W17),Derry City F.C. (10),2-2,?,St Patrick's Athletic F.C. (11)
?,(Fri) 28 Apr 2017 (W17),Drogheda United F.C. (11),1-1,?,Sligo Rovers F.C. (11)
?,(Fri) 28 Apr 2017 (W17),Galway United F.C. (10),2-1,?,Dundalk F.C. (11)
?,(Fri) 28 Apr 2017 (W17),Shamrock Rovers FC (11),1-1,?,Limerick F.C. (11)
?,(Fri) 5 May 2017 (W18),Bray Wanderers F.C. (12),1-1,?,St Patrick's Athletic F.C. (12)
?,(Fri) 5 May 2017 (W18),Cork City F.C. (12),5-0,?,Finn Harps F.C. (12)
?,(Fri) 5 May 2017 (W18),Derry City F.C. (11),2-0,?,Bohemian F.C. (12)
?,(Fri) 5 May 2017 (W18),Drogheda United F.C. (12),2-2,?,Galway United F.C. (11)
?,(Fri) 5 May 2017 (W18),Shamrock Rovers FC (12),2-1,?,Dundalk F.C. (12)
?,(Sat) 6 May 2017 (W18),Sligo Rovers F.C. (12),3-0,?,Limerick F.C. (12)
?,(Mon) 8 May 2017 (W19),Galway United F.C. (12),0-0,?,Derry City F.C. (12)
?,(Fri) 12 May 2017 (W19),Bohemian F.C. (13),0-2,?,Shamrock Rovers FC (13)
?,(Fri) 12 May 2017 (W19),Dundalk F.C. (13),4-0,?,Sligo Rovers F.C. (13)
?,(Fri) 12 May 2017 (W19),Galway United F.C. (13),1-1,?,Cork City F.C. (13)
?,(Fri) 12 May 2017 (W19),St Patrick's Athletic F.C. (13),2-0,?,Drogheda United F.C. (13)
?,(Fri) 12 May 2017 (W19),Finn Harps F.C. (13),0-3,?,Bray Wanderers F.C. (13)
?,(Sat) 13 May 2017 (W19),Limerick F.C. (13),1-1,?,Derry City F.C. (13)
?,(Fri) 19 May 2017 (W20),Bray Wanderers F.C. (14),1-2,?,Bohemian F.C. (14)
?,(Fri) 19 May 2017 (W20),Cork City F.C. (14),5-0,?,Drogheda United F.C. (14)
?,(Fri) 19 May 2017 (W20),Derry City F.C. (14),3-1,?,Shamrock Rovers FC (14)
?,(Fri) 19 May 2017 (W20),Galway United F.C. (14),2-1,?,Finn Harps F.C. (14)
?,(Fri) 19 May 2017 (W20),Limerick F.C. (14),0-3,?,Dundalk F.C. (14)
?,(Fri) 19 May 2017 (W20),St Patrick's Athletic F.C. (14),1-1,?,Sligo Rovers F.C. (14)
?,(Mon) 22 May 2017 (W21),Sligo Rovers F.C. (15),1-2,?,Cork City F.C. (15)
?,(Mon) 22 May 2017 (W21),Finn Harps F.C. (15),3-1,?,St Patrick's Athletic F.C. (15)
?,(Mon) 22 May 2017 (W21),Shamrock Rovers FC (15),2-0,?,Galway United F.C. (15)
?,(Tue) 23 May 2017 (W21),Bohemian F.C. (15),1-2,?,Limerick F.C. (15)
?,(Tue) 23 May 2017 (W21),Drogheda United F.C. (15),0-0,?,Bray Wanderers F.C. (15)
?,(Tue) 23 May 2017 (W21),Dundalk F.C. (15),0-0,?,Derry City F.C. (15)
?,(Fri) 26 May 2017 (W21),Bray Wanderers F.C. (16),2-2,?,Sligo Rovers F.C. (16)
?,(Fri) 26 May 2017 (W21),Cork City F.C. (16),4-1,?,Shamrock Rovers FC (16)
?,(Fri) 26 May 2017 (W21),Drogheda United F.C. (16),0-0,?,Derry City F.C. (16)
?,(Fri) 26 May 2017 (W21),Galway United F.C. (16),1-2,?,Bohemian F.C. (16)
?,(Fri) 26 May 2017 (W21),St Patrick's Athletic F.C. (16),0-2,?,Dundalk F.C. (16)
?,(Fri) 26 May 2017 (W21),Finn Harps F.C. (16),3-2,?,Limerick F.C. (16)
?,(Tue) 30 May 2017 (W22),Shamrock Rovers FC (17),2-0,?,Bray Wanderers F.C. (17)
?,(Fri) 2 Jun 2017 (W22),Dundalk F.C. (17),0-3,?,Cork City F.C. (17)
?,(Fri) 2 Jun 2017 (W22),Bohemian F.C. (17),0-0,?,Drogheda United F.C. (17)
?,(Fri) 2 Jun 2017 (W22),Derry City F.C. (17),2-1,?,Galway United F.C. (17)
?,(Fri) 2 Jun 2017 (W22),Limerick F.C. (17),5-3,?,Bray Wanderers F.C. (18)
?,(Fri) 2 Jun 2017 (W22),Sligo Rovers F.C. (17),0-0,?,Finn Harps F.C. (17)
?,(Fri) 2 Jun 2017 (W22),Shamrock Rovers FC (18),1-1,?,St Patrick's Athletic F.C. (17)
?,(Fri) 16 Jun 2017 (W24),Bray Wanderers F.C. (19),3-2,?,Derry City F.C. (18)
?,(Fri) 16 Jun 2017 (W24),Drogheda United F.C. (18),0-6,?,Dundalk F.C. (18)
?,(Fri) 16 Jun 2017 (W24),St Patrick's Athletic F.C. (18),1-3,?,Bohemian F.C. (18)
?,(Fri) 16 Jun 2017 (W24),Cork City F.C. (18),4-1,?,Limerick F.C. (18)
?,(Fri) 16 Jun 2017 (W24),Finn Harps F.C. (18),0-1,?,Shamrock Rovers FC (19)
?,(Sat) 17 Jun 2017 (W24),Sligo Rovers F.C. (18),1-1,?,Galway United F.C. (18)
