Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 17 Jul 2015 (W29),FC Nordsjælland (1),0-2,?,Sønderjysk Elitesport (1)
?,(Sat) 18 Jul 2015 (W29),FC Midtjylland (1),2-0,?,Viborg FF (1)
?,(Sun) 19 Jul 2015 (W29),Odense BK (1),3-0,?,Hobro IK (1)
?,(Sun) 19 Jul 2015 (W29),AGF Aarhus (1),2-1,?,Brøndby IF (1)
?,(Mon) 20 Jul 2015 (W30),Aalborg BK (1),1-1,?,Esbjerg fB (1)
?,(Fri) 24 Jul 2015 (W30),Hobro IK (2),0-1,?,Aalborg BK (2)
?,(Fri) 24 Jul 2015 (W30),Sønderjysk Elitesport (2),1-2,?,FC Midtjylland (2)
?,(Sun) 26 Jul 2015 (W30),Randers FC (1),3-0,?,FC Nordsjælland (2)
?,(Sun) 26 Jul 2015 (W30),Brøndby IF (2),1-2,?,Odense BK (2)
?,(Sun) 26 Jul 2015 (W30),Esbjerg fB (2),1-2,?,FC København (1)
?,(Mon) 27 Jul 2015 (W31),Viborg FF (2),0-0,?,AGF Aarhus (2)
?,(Fri) 31 Jul 2015 (W31),Viborg FF (3),2-1,?,Esbjerg fB (3)
?,(Fri) 31 Jul 2015 (W31),FC Midtjylland (3),1-0,?,Odense BK (3)
?,(Sun) 2 Aug 2015 (W31),AGF Aarhus (3),3-2,?,Randers FC (2)
?,(Sun) 2 Aug 2015 (W31),Sønderjysk Elitesport (3),1-3,?,FC København (2)
?,(Sun) 2 Aug 2015 (W31),Brøndby IF (3),0-2,?,Hobro IK (3)
?,(Mon) 3 Aug 2015 (W32),FC Nordsjælland (3),2-1,?,Aalborg BK (3)
?,(Fri) 7 Aug 2015 (W32),Odense BK (4),2-2,?,AGF Aarhus (4)
?,(Sat) 8 Aug 2015 (W32),Hobro IK (4),1-1,?,Viborg FF (4)
?,(Sun) 9 Aug 2015 (W32),Esbjerg fB (4),0-4,?,Sønderjysk Elitesport (4)
?,(Sun) 9 Aug 2015 (W32),FC København (3),1-1,?,FC Nordsjælland (4)
?,(Sun) 9 Aug 2015 (W32),Randers FC (3),3-3,?,Brøndby IF (4)
?,(Mon) 10 Aug 2015 (W33),Aalborg BK (4),0-2,?,FC Midtjylland (4)
?,(Fri) 14 Aug 2015 (W33),FC Midtjylland (5),0-0,?,FC København (4)
?,(Sat) 15 Aug 2015 (W33),AGF Aarhus (5),2-3,?,Aalborg BK (5)
?,(Sun) 16 Aug 2015 (W33),FC Nordsjælland (5),1-2,?,Esbjerg fB (5)
?,(Sun) 16 Aug 2015 (W33),Viborg FF (5),0-4,?,Brøndby IF (5)
?,(Sun) 16 Aug 2015 (W33),Odense BK (5),2-3,?,Randers FC (4)
?,(Mon) 17 Aug 2015 (W34),Sønderjysk Elitesport (5),3-0,?,Hobro IK (5)
?,(Fri) 21 Aug 2015 (W34),Hobro IK (6),1-3,?,FC Nordsjælland (6)
?,(Sun) 23 Aug 2015 (W34),Randers FC (5),0-1,?,Viborg FF (6)
?,(Sun) 23 Aug 2015 (W34),Brøndby IF (6),1-0,?,Sønderjysk Elitesport (6)
?,(Sun) 23 Aug 2015 (W34),FC København (5),2-2,?,AGF Aarhus (6)
?,(Sun) 23 Aug 2015 (W34),Esbjerg fB (6),1-1,?,FC Midtjylland (6)
?,(Mon) 24 Aug 2015 (W35),Aalborg BK (6),5-1,?,Odense BK (6)
?,(Fri) 28 Aug 2015 (W35),AGF Aarhus (7),0-0,?,Esbjerg fB (7)
?,(Sat) 29 Aug 2015 (W35),Sønderjysk Elitesport (7),2-1,?,Viborg FF (7)
?,(Sun) 30 Aug 2015 (W35),Aalborg BK (7),0-2,?,Randers FC (6)
?,(Sun) 30 Aug 2015 (W35),FC Nordsjælland (7),0-2,?,Brøndby IF (7)
?,(Sun) 30 Aug 2015 (W35),Odense BK (7),1-0,?,FC København (6)
?,(Sun) 30 Aug 2015 (W35),FC Midtjylland (7),2-0,?,Hobro IK (7)
