Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 2 Aug 2013 (W31),Godoy Cruz (1),3-1,?,Argentinos Juniors (1)
?,(Fri) 2 Aug 2013 (W31),Arsenal de Sarandí (1),1-1,?,Estudiantes LP (1)
?,(Sat) 3 Aug 2013 (W31),All Boys (1),1-1,?,Atlético Rafaela (1)
?,(Sat) 3 Aug 2013 (W31),CA Tigre (1),1-2,?,Vélez Sarsfield (1)
?,(Sat) 3 Aug 2013 (W31),Colón Santa Fe (1),1-1,?,Racing Club (1)
?,(Sun) 4 Aug 2013 (W31),San Lorenzo (1),2-1,?,Olimpo Bahía Blanca (1)
?,(Sun) 4 Aug 2013 (W31),CA Lanús (1),3-0,?,Club Atlético Belgrano (1)
?,(Sun) 4 Aug 2013 (W31),Gimnasia y Esgrima LP (1),1-0,?,River Plate (1)
?,(Sun) 4 Aug 2013 (W31),Rosario Central (1),2-0,?,Quilmes AC (1)
?,(Wed) 7 Aug 2013 (W32),Argentinos Juniors (2),2-0,?,Colón Santa Fe (2)
?,(Wed) 7 Aug 2013 (W32),Club Atlético Belgrano (2),1-2,?,Boca Juniors (1)
?,(Wed) 7 Aug 2013 (W32),Estudiantes LP (2),1-0,?,All Boys (2)
?,(Thu) 8 Aug 2013 (W32),Atlético Rafaela (2),2-1,?,CA Lanús (2)
?,(Thu) 8 Aug 2013 (W32),Quilmes AC (2),1-0,?,Godoy Cruz (2)
?,(Thu) 8 Aug 2013 (W32),Vélez Sarsfield (2),0-0,?,Arsenal de Sarandí (2)
?,(Fri) 9 Aug 2013 (W32),Olimpo Bahía Blanca (2),0-0,?,CA Tigre (2)
?,(Fri) 9 Aug 2013 (W32),Racing Club (2),0-3,?,San Lorenzo (2)
?,(Fri) 9 Aug 2013 (W32),River Plate (2),1-0,?,Rosario Central (2)
?,(Tue) 13 Aug 2013 (W33),Boca Juniors (2),2-3,?,Newell's Old Boys (1)
?,(Fri) 16 Aug 2013 (W33),Arsenal de Sarandí (3),3-1,?,Olimpo Bahía Blanca (3)
?,(Fri) 16 Aug 2013 (W33),Colón Santa Fe (3),1-0,?,Quilmes AC (3)
?,(Sat) 17 Aug 2013 (W33),Gimnasia y Esgrima LP (2),3-1,?,Rosario Central (3)
?,(Sat) 17 Aug 2013 (W33),San Lorenzo (3),0-3,?,Argentinos Juniors (3)
?,(Sun) 18 Aug 2013 (W33),Newell's Old Boys (2),0-0,?,Club Atlético Belgrano (3)
?,(Sun) 18 Aug 2013 (W33),CA Tigre (3),3-1,?,Racing Club (3)
?,(Sun) 18 Aug 2013 (W33),Boca Juniors (3),2-1,?,Atlético Rafaela (3)
?,(Sun) 18 Aug 2013 (W33),Godoy Cruz (3),0-0,?,River Plate (3)
?,(Mon) 19 Aug 2013 (W34),All Boys (3),1-1,?,Vélez Sarsfield (3)
?,(Mon) 19 Aug 2013 (W34),CA Lanús (3),1-1,?,Estudiantes LP (3)
?,(Fri) 23 Aug 2013 (W34),Club Atlético Belgrano (4),1-2,?,Gimnasia y Esgrima LP (3)
?,(Fri) 23 Aug 2013 (W34),Atlético Rafaela (4),0-2,?,Newell's Old Boys (3)
?,(Fri) 23 Aug 2013 (W34),Racing Club (4),0-2,?,Arsenal de Sarandí (4)
?,(Sat) 24 Aug 2013 (W34),Vélez Sarsfield (4),0-0,?,CA Lanús (4)
?,(Sat) 24 Aug 2013 (W34),Argentinos Juniors (4),1-0,?,CA Tigre (4)
?,(Sat) 24 Aug 2013 (W34),Rosario Central (4),1-0,?,Godoy Cruz (4)
?,(Sun) 25 Aug 2013 (W34),Olimpo Bahía Blanca (4),1-1,?,All Boys (4)
?,(Sun) 25 Aug 2013 (W34),River Plate (4),1-2,?,Colón Santa Fe (4)
?,(Sun) 25 Aug 2013 (W34),Estudiantes LP (4),2-0,?,Boca Juniors (4)
?,(Mon) 26 Aug 2013 (W35),Quilmes AC (4),3-2,?,San Lorenzo (4)
?,(Tue) 27 Aug 2013 (W35),Newell's Old Boys (4),3-0,?,Gimnasia y Esgrima LP (4)
?,(Sat) 31 Aug 2013 (W35),Newell's Old Boys (5),1-1,?,Estudiantes LP (5)
?,(Sat) 31 Aug 2013 (W35),CA Tigre (5),0-1,?,Quilmes AC (5)
?,(Sat) 31 Aug 2013 (W35),All Boys (5),1-0,?,Racing Club (5)
?,(Sun) 1 Sep 2013 (W35),Gimnasia y Esgrima LP (5),0-0,?,Godoy Cruz (5)
