Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 13 Jul 2013 (W28),FC Basel (1),3-1,?,FC Aarau (1)
?,(Sat) 13 Jul 2013 (W28),BSC Young Boys (1),2-0,?,FC Sion (1)
?,(Sun) 14 Jul 2013 (W28),FC Luzern (1),2-0,?,FC Lausanne (1)
?,(Sun) 14 Jul 2013 (W28),FC Zürich (1),3-2,?,FC Thun (1)
?,(Sun) 14 Jul 2013 (W28),FC St. Gallen (1),0-2,?,Grasshoppers Zürich (1)
?,(Sat) 20 Jul 2013 (W29),FC Aarau (2),4-2,?,FC Luzern (2)
?,(Sat) 20 Jul 2013 (W29),FC Lausanne (2),1-3,?,BSC Young Boys (2)
?,(Sun) 21 Jul 2013 (W29),FC Sion (2),0-0,?,FC Zürich (2)
?,(Sun) 21 Jul 2013 (W29),FC Thun (2),3-2,?,FC St. Gallen (2)
?,(Sun) 21 Jul 2013 (W29),Grasshoppers Zürich (2),1-1,?,FC Basel (2)
?,(Sat) 27 Jul 2013 (W30),FC Basel (3),2-0,?,FC Lausanne (3)
?,(Sat) 27 Jul 2013 (W30),Grasshoppers Zürich (3),4-2,?,FC Aarau (3)
?,(Sun) 28 Jul 2013 (W30),FC Luzern (3),3-2,?,FC Zürich (3)
?,(Sun) 28 Jul 2013 (W30),FC Sion (3),0-1,?,FC St. Gallen (3)
?,(Sun) 28 Jul 2013 (W30),BSC Young Boys (3),3-2,?,FC Thun (3)
?,(Sat) 3 Aug 2013 (W31),FC Lausanne (4),0-0,?,Grasshoppers Zürich (4)
?,(Sat) 3 Aug 2013 (W31),FC St. Gallen (4),1-1,?,FC Basel (4)
?,(Sun) 4 Aug 2013 (W31),FC Thun (4),2-2,?,FC Aarau (4)
?,(Sun) 4 Aug 2013 (W31),FC Zürich (4),1-3,?,BSC Young Boys (4)
?,(Sun) 4 Aug 2013 (W31),FC Luzern (4),1-0,?,FC Sion (4)
?,(Sat) 10 Aug 2013 (W32),FC Aarau (5),0-4,?,BSC Young Boys (5)
?,(Sat) 10 Aug 2013 (W32),Grasshoppers Zürich (5),0-0,?,FC Sion (5)
?,(Sun) 11 Aug 2013 (W32),FC St. Gallen (5),2-0,?,FC Lausanne (5)
?,(Sun) 11 Aug 2013 (W32),FC Thun (5),1-1,?,FC Luzern (5)
?,(Sun) 11 Aug 2013 (W32),FC Basel (5),1-2,?,FC Zürich (5)
?,(Sat) 24 Aug 2013 (W34),FC Lausanne (6),1-2,?,FC Aarau (6)
?,(Sat) 24 Aug 2013 (W34),FC Luzern (6),1-1,?,FC Basel (6)
?,(Sun) 25 Aug 2013 (W34),FC Sion (6),0-0,?,FC Thun (6)
?,(Sun) 25 Aug 2013 (W34),BSC Young Boys (6),1-2,?,Grasshoppers Zürich (6)
?,(Sun) 25 Aug 2013 (W34),FC Zürich (6),0-0,?,FC St. Gallen (6)
?,(Sat) 31 Aug 2013 (W35),FC Aarau (7),0-1,?,FC Sion (7)
?,(Sun) 1 Sep 2013 (W35),FC St. Gallen (7),4-1,?,FC Luzern (7)
?,(Sun) 1 Sep 2013 (W35),FC Thun (7),4-1,?,FC Lausanne (7)
?,(Sun) 1 Sep 2013 (W35),FC Basel (7),2-1,?,BSC Young Boys (7)
?,(Sat) 21 Sep 2013 (W38),BSC Young Boys (8),0-1,?,FC Luzern (8)
?,(Sun) 22 Sep 2013 (W38),Grasshoppers Zürich (7),2-1,?,FC Thun (8)
?,(Sun) 22 Sep 2013 (W38),FC Lausanne (8),1-2,?,FC Zürich (7)
?,(Sun) 22 Sep 2013 (W38),FC Sion (8),1-3,?,FC Basel (8)
?,(Tue) 24 Sep 2013 (W39),FC St. Gallen (8),0-0,?,BSC Young Boys (9)
?,(Wed) 25 Sep 2013 (W39),FC Luzern (9),0-2,?,Grasshoppers Zürich (8)
?,(Wed) 25 Sep 2013 (W39),FC Sion (9),2-1,?,FC Lausanne (9)
?,(Wed) 25 Sep 2013 (W39),FC Thun (9),0-2,?,FC Basel (9)
?,(Thu) 26 Sep 2013 (W39),FC Zürich (8),1-2,?,FC Aarau (8)
?,(Sat) 28 Sep 2013 (W39),FC Basel (10),2-2,?,FC Sion (10)
?,(Sat) 28 Sep 2013 (W39),Grasshoppers Zürich (9),0-1,?,FC St. Gallen (9)
?,(Sun) 29 Sep 2013 (W39),FC Aarau (9),2-3,?,FC Lausanne (10)
?,(Sun) 29 Sep 2013 (W39),FC Luzern (10),1-1,?,FC Thun (10)
?,(Sun) 29 Sep 2013 (W39),BSC Young Boys (10),0-1,?,FC Zürich (9)
?,(Sat) 5 Oct 2013 (W40),FC Sion (11),2-2,?,BSC Young Boys (11)
?,(Sat) 5 Oct 2013 (W40),FC Zürich (10),0-2,?,FC Luzern (11)
?,(Sun) 6 Oct 2013 (W40),FC St. Gallen (10),1-0,?,FC Aarau (10)
?,(Sun) 6 Oct 2013 (W40),FC Thun (11),1-1,?,Grasshoppers Zürich (10)
?,(Sun) 6 Oct 2013 (W40),FC Lausanne (11),1-2,?,FC Basel (11)
?,(Sat) 19 Oct 2013 (W42),FC Basel (12),3-0,?,FC St. Gallen (11)
?,(Sat) 19 Oct 2013 (W42),FC Thun (12),1-0,?,FC Sion (12)
?,(Sun) 20 Oct 2013 (W42),FC Aarau (11),5-1,?,FC Zürich (11)
?,(Sun) 20 Oct 2013 (W42),Grasshoppers Zürich (11),2-0,?,FC Lausanne (12)
?,(Sun) 20 Oct 2013 (W42),FC Luzern (12),1-1,?,BSC Young Boys (12)
?,(Sat) 26 Oct 2013 (W43),FC Lausanne (13),0-1,?,FC Luzern (13)
?,(Sat) 26 Oct 2013 (W43),BSC Young Boys (13),3-0,?,FC Aarau (12)
?,(Sun) 27 Oct 2013 (W43),FC Sion (13),2-0,?,Grasshoppers Zürich (12)
?,(Sun) 27 Oct 2013 (W43),FC St. Gallen (12),0-0,?,FC Thun (13)
?,(Sun) 27 Oct 2013 (W43),FC Zürich (12),0-0,?,FC Basel (13)
?,(Wed) 30 Oct 2013 (W44),FC Aarau (13),2-2,?,FC St. Gallen (13)
?,(Wed) 30 Oct 2013 (W44),Grasshoppers Zürich (13),3-1,?,FC Zürich (13)
?,(Sat) 2 Nov 2013 (W44),FC Aarau (14),1-1,?,FC Basel (14)
?,(Sat) 2 Nov 2013 (W44),FC Sion (14),3-0,?,FC Luzern (14)
?,(Sun) 3 Nov 2013 (W44),FC Lausanne (14),0-3,?,FC St. Gallen (14)
?,(Sun) 3 Nov 2013 (W44),FC Thun (14),2-1,?,FC Zürich (14)
?,(Sun) 3 Nov 2013 (W44),Grasshoppers Zürich (14),0-1,?,BSC Young Boys (14)
?,(Sat) 23 Nov 2013 (W47),FC Basel (15),4-1,?,FC Thun (15)
?,(Sat) 23 Nov 2013 (W47),BSC Young Boys (15),3-2,?,FC Lausanne (15)
