Round,Date,Team 1,FT,Team 2
1,Sat Sep 12 2020,SC Heerenveen,2-0,Willem II Tilburg
1,Sat Sep 12 2020,PEC Zwolle,0-2,Feyenoord Rotterdam
1,Sat Sep 12 2020,FC Twente,2-0,Fortuna Sittard
1,Sun Sep 13 2020,FC Emmen,3-5,VVV Venlo
1,Sun Sep 13 2020,Heracles Almelo,2-0,ADO Den Haag
1,Sun Sep 13 2020,Sparta Rotterdam,0-1,Ajax Amsterdam
1,Sun Sep 13 2020,RKC Waalwijk,0-1,Vitesse Arnhem
1,Sun Sep 13 2020,FC Groningen,1-3,PSV Eindhoven
2,Fri Sep 18 2020,VVV Venlo,1-1,FC Utrecht
2,Sat Sep 19 2020,AZ Alkmaar,1-1,PEC Zwolle
2,Sat Sep 19 2020,Vitesse Arnhem,2-0,Sparta Rotterdam
2,Sat Sep 19 2020,PSV Eindhoven,2-1,FC Emmen
2,Sat Sep 19 2020,Fortuna Sittard,1-3,SC Heerenveen
2,Sun Sep 20 2020,ADO Den Haag,0-1,FC Groningen
2,Sun Sep 20 2020,Feyenoord Rotterdam,1-1,FC Twente
2,Sun Sep 20 2020,Willem II Tilburg,4-0,Heracles Almelo
2,Sun Sep 20 2020,Ajax Amsterdam,3-0,RKC Waalwijk
3,Fri Sep 25 2020,FC Twente,3-1,FC Groningen
3,Sat Sep 26 2020,PEC Zwolle,4-0,Sparta Rotterdam
3,Sat Sep 26 2020,Fortuna Sittard,3-3,AZ Alkmaar
3,Sat Sep 26 2020,SC Heerenveen,1-0,VVV Venlo
3,Sat Sep 26 2020,Ajax Amsterdam,2-1,Vitesse Arnhem
3,Sun Sep 27 2020,Feyenoord Rotterdam,4-2,ADO Den Haag
3,Sun Sep 27 2020,FC Utrecht,3-1,RKC Waalwijk
3,Sun Sep 27 2020,Heracles Almelo,1-1,PSV Eindhoven
3,Sun Sep 27 2020,FC Emmen,1-1,Willem II Tilburg
4,Fri Oct 2 2020,FC Utrecht,1-1,SC Heerenveen
4,Sat Oct 3 2020,Vitesse Arnhem,3-0,Heracles Almelo
