Round,Date,Team 1,FT,Team 2
Journée 1,Fri Aug 21 2020,Girondins de Bordeaux,0-0,FC Nantes
Journée 1,Sat Aug 22 2020,Dijon FCO,0-1,Angers SCO
Journée 1,Sat Aug 22 2020,Lille OSC,1-1,Stade Rennais FC
Journée 1,Sun Aug 23 2020,AS Monaco,2-2,Stade de Reims
Journée 1,Sun Aug 23 2020,FC Lorient,3-1,RC Strasbourg
Journée 1,Sun Aug 23 2020,Nîmes Olympique,4-0,Stade Brestois 29
Journée 1,Sun Aug 23 2020,OGC Nice,2-1,RC Lens
Journée 2,Fri Aug 28 2020,Olympique Lyonnais,4-1,Dijon FCO
Journée 2,Sat Aug 29 2020,Stade Rennais FC,2-1,Montpellier HSC
Journée 2,Sat Aug 29 2020,RC Strasbourg,0-2,OGC Nice
Journée 2,Sun Aug 30 2020,Stade de Reims,0-1,Lille OSC
Journée 2,Sun Aug 30 2020,AS Saint-Étienne,2-0,FC Lorient
Journée 2,Sun Aug 30 2020,Angers SCO,0-2,Girondins de Bordeaux
Journée 2,Sun Aug 30 2020,FC Metz,0-1,AS Monaco
Journée 2,Sun Aug 30 2020,FC Nantes,2-1,Nîmes Olympique
Journée 2,Sun Aug 30 2020,Stade Brestois 29,2-3,Olympique de Marseille
Journée 2,Thu Sep 10 2020,RC Lens,1-0,Paris Saint-Germain
Journée 3,Fri Sep 11 2020,Girondins de Bordeaux,0-0,Olympique Lyonnais
Journée 3,Sat Sep 12 2020,Montpellier HSC,3-1,OGC Nice
Journée 3,Sat Sep 12 2020,AS Saint-Étienne,2-0,RC Strasbourg
Journée 3,Sun Sep 13 2020,Lille OSC,1-0,FC Metz
Journée 3,Sun Sep 13 2020,Nîmes Olympique,2-4,Stade Rennais FC
Journée 3,Sun Sep 13 2020,Dijon FCO,0-2,Stade Brestois 29
Journée 3,Sun Sep 13 2020,Angers SCO,1-0,Stade de Reims
Journée 3,Sun Sep 13 2020,FC Lorient,2-3,RC Lens
Journée 3,Sun Sep 13 2020,AS Monaco,2-1,FC Nantes
Journée 3,Sun Sep 13 2020,Paris Saint-Germain,0-1,Olympique de Marseille
Journée 1,Tue Sep 15 2020,Montpellier HSC,2-1,Olympique Lyonnais
Journée 1,Wed Sep 16 2020,Paris Saint-Germain,1-0,FC Metz
Journée 1,Thu Sep 17 2020,Olympique de Marseille,0-2,AS Saint-Étienne
Journée 4,Fri Sep 18 2020,Olympique Lyonnais,0-0,Nîmes Olympique
Journée 4,Sat Sep 19 2020,RC Lens,2-1,Girondins de Bordeaux
Journée 4,Sat Sep 19 2020,Stade Rennais FC,2-1,AS Monaco
Journée 4,Sun Sep 20 2020,OGC Nice,0-3,Paris Saint-Germain
Journée 4,Sun Sep 20 2020,Stade Brestois 29,3-2,FC Lorient
Journée 4,Sun Sep 20 2020,FC Metz,2-1,Stade de Reims
Journée 4,Sun Sep 20 2020,Montpellier HSC,4-1,Angers SCO
Journée 4,Sun Sep 20 2020,RC Strasbourg,1-0,Dijon FCO
Journée 4,Sun Sep 20 2020,FC Nantes,2-2,AS Saint-Étienne
Journée 4,Sun Sep 20 2020,Olympique de Marseille,1-1,Lille OSC
Journée 5,Fri Sep 25 2020,Lille OSC,,FC Nantes
Journée 5,Sat Sep 26 2020,AS Saint-Étienne,,Stade Rennais FC
Journée 5,Sat Sep 26 2020,Olympique de Marseille,,FC Metz
Journée 5,Sun Sep 27 2020,Girondins de Bordeaux,,OGC Nice
Journée 5,Sun Sep 27 2020,Dijon FCO,,Montpellier HSC
Journée 5,Sun Sep 27 2020,Nîmes Olympique,,RC Lens
Journée 5,Sun Sep 27 2020,AS Monaco,,RC Strasbourg
Journée 5,Sun Sep 27 2020,Angers SCO,,Stade Brestois 29
Journée 5,Sun Sep 27 2020,FC Lorient,,Olympique Lyonnais
Journée 5,Sun Sep 27 2020,Stade de Reims,,Paris Saint-Germain
Journée 6,Fri Oct 2 2020,Paris Saint-Germain,,Angers SCO
Journée 6,Sat Oct 3 2020,RC Lens,,AS Saint-Étienne
Journée 6,Sat Oct 3 2020,OGC Nice,,FC Nantes
Journée 6,Sun Oct 4 2020,Montpellier HSC,,Nîmes Olympique
Journée 6,Sun Oct 4 2020,Girondins de Bordeaux,,Dijon FCO
Journée 6,Sun Oct 4 2020,Stade Brestois 29,,AS Monaco
Journée 6,Sun Oct 4 2020,RC Strasbourg,,Lille OSC
Journée 6,Sun Oct 4 2020,FC Metz,,FC Lorient
Journée 6,Sun Oct 4 2020,Stade Rennais FC,,Stade de Reims
Journée 6,Sun Oct 4 2020,Olympique Lyonnais,,Olympique de Marseille
Journée 7,Sun Oct 18 2020,Angers SCO,,FC Metz
Journée 7,Sun Oct 18 2020,Dijon FCO,,Stade Rennais FC
Journée 7,Sun Oct 18 2020,Lille OSC,,RC Lens
Journée 7,Sun Oct 18 2020,Olympique de Marseille,,Girondins de Bordeaux
Journée 7,Sun Oct 18 2020,AS Monaco,,Montpellier HSC
Journée 7,Sun Oct 18 2020,FC Nantes,,Stade Brestois 29
Journée 7,Sun Oct 18 2020,Nîmes Olympique,,Paris Saint-Germain
Journée 7,Sun Oct 18 2020,Stade de Reims,,FC Lorient
Journée 7,Sun Oct 18 2020,AS Saint-Étienne,,OGC Nice
Journée 7,Sun Oct 18 2020,RC Strasbourg,,Olympique Lyonnais
Journée 8,Sun Oct 25 2020,Girondins de Bordeaux,,Nîmes Olympique
Journée 8,Sun Oct 25 2020,Stade Brestois 29,,RC Strasbourg
Journée 8,Sun Oct 25 2020,RC Lens,,FC Nantes
Journée 8,Sun Oct 25 2020,FC Lorient,,Olympique de Marseille
Journée 8,Sun Oct 25 2020,Olympique Lyonnais,,AS Monaco
Journée 8,Sun Oct 25 2020,FC Metz,,AS Saint-Étienne
Journée 8,Sun Oct 25 2020,Montpellier HSC,,Stade de Reims
Journée 8,Sun Oct 25 2020,OGC Nice,,Lille OSC
Journée 8,Sun Oct 25 2020,Paris Saint-Germain,,Dijon FCO
Journée 8,Sun Oct 25 2020,Stade Rennais FC,,Angers SCO
Journée 9,Sun Nov 1 2020,Angers SCO,,OGC Nice
Journée 9,Sun Nov 1 2020,Dijon FCO,,FC Lorient
Journée 9,Sun Nov 1 2020,Lille OSC,,Olympique Lyonnais
Journée 9,Sun Nov 1 2020,Olympique de Marseille,,RC Lens
Journée 9,Sun Nov 1 2020,AS Monaco,,Girondins de Bordeaux
Journée 9,Sun Nov 1 2020,FC Nantes,,Paris Saint-Germain
Journée 9,Sun Nov 1 2020,Nîmes Olympique,,FC Metz
Journée 9,Sun Nov 1 2020,Stade de Reims,,RC Strasbourg
Journée 9,Sun Nov 1 2020,Stade Rennais FC,,Stade Brestois 29
Journée 9,Sun Nov 1 2020,AS Saint-Étienne,,Montpellier HSC
Journée 10,Sun Nov 8 2020,Girondins de Bordeaux,,Montpellier HSC
Journée 10,Sun Nov 8 2020,Stade Brestois 29,,Lille OSC
Journée 10,Sun Nov 8 2020,RC Lens,,Stade de Reims
Journée 10,Sun Nov 8 2020,FC Lorient,,FC Nantes
Journée 10,Sun Nov 8 2020,Olympique Lyonnais,,AS Saint-Étienne
