Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 23 Mar 2012 (W12),Molde FK (1),2-1,?,Strømsgodset IF (1)
?,(Sat) 24 Mar 2012 (W12),Hønefoss BK (1),0-0,?,Lillestrøm SK (1)
?,(Sun) 25 Mar 2012 (W12),Odds BK (1),0-4,?,Sogndal (1)
?,(Sun) 25 Mar 2012 (W12),Stabæk (1),0-0,?,Aalesunds FK (1)
?,(Sun) 25 Mar 2012 (W12),Tromsø IL (1),1-0,?,Fredrikstad FK (1)
?,(Sun) 25 Mar 2012 (W12),Vålerenga Fotball (1),2-1,?,FK Haugesund (1)
?,(Sun) 25 Mar 2012 (W12),Rosenborg BK (1),3-1,?,SK Brann (1)
?,(Mon) 26 Mar 2012 (W13),Sandnes Ulf (1),2-2,?,Viking FK (1)
?,(Fri) 30 Mar 2012 (W13),SK Brann (2),3-1,?,Sandnes Ulf (2)
?,(Sat) 31 Mar 2012 (W13),Strømsgodset IF (2),3-2,?,Vålerenga Fotball (2)
?,(Sun) 1 Apr 2012 (W13),Fredrikstad FK (2),5-1,?,Stabæk (2)
?,(Sun) 1 Apr 2012 (W13),FK Haugesund (2),2-0,?,Molde FK (2)
?,(Sun) 1 Apr 2012 (W13),Sogndal (2),0-0,?,Hønefoss BK (2)
?,(Sun) 1 Apr 2012 (W13),Viking FK (2),1-0,?,Odds BK (2)
?,(Sun) 1 Apr 2012 (W13),Lillestrøm SK (2),2-2,?,Rosenborg BK (2)
?,(Mon) 2 Apr 2012 (W14),Aalesunds FK (2),0-0,?,Tromsø IL (2)
?,(Mon) 9 Apr 2012 (W15),Odds BK (3),2-0,?,Lillestrøm SK (3)
?,(Mon) 9 Apr 2012 (W15),Hønefoss BK (3),1-1,?,Fredrikstad FK (3)
?,(Mon) 9 Apr 2012 (W15),Rosenborg BK (3),0-0,?,Sogndal (3)
?,(Mon) 9 Apr 2012 (W15),Sandnes Ulf (3),1-1,?,Aalesunds FK (3)
