Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 2 Mar 2012 (W9),Drogheda United F.C. (1),1-2,?,Shamrock Rovers FC (1)
?,(Fri) 2 Mar 2012 (W9),Derry City F.C. (1),1-0,?,Bohemian F.C. (1)
?,(Fri) 2 Mar 2012 (W9),St Patrick's Athletic F.C. (1),1-0,?,Bray Wanderers F.C. (1)
?,(Fri) 2 Mar 2012 (W9),University College Dublin A.F.C. (1),1-0,?,Cork City F.C. (1)
?,(Fri) 2 Mar 2012 (W9),Monaghan (1),0-0,?,Dundalk F.C. (1)
?,(Fri) 2 Mar 2012 (W9),Shelbourne F.C. (1),1-1,?,Sligo Rovers F.C. (1)
?,(Fri) 9 Mar 2012 (W10),Bohemian F.C. (2),0-2,?,Shelbourne F.C. (2)
?,(Fri) 9 Mar 2012 (W10),Bray Wanderers F.C. (2),0-4,?,Derry City F.C. (2)
?,(Fri) 9 Mar 2012 (W10),Cork City F.C. (2),2-3,?,Drogheda United F.C. (2)
?,(Fri) 9 Mar 2012 (W10),Dundalk F.C. (2),0-2,?,St Patrick's Athletic F.C. (2)
?,(Fri) 9 Mar 2012 (W10),Shamrock Rovers FC (2),3-1,?,Monaghan (2)
?,(Sat) 10 Mar 2012 (W10),Sligo Rovers F.C. (2),2-1,?,University College Dublin A.F.C. (2)
?,(Fri) 16 Mar 2012 (W11),Cork City F.C. (3),1-1,?,Shamrock Rovers FC (3)
?,(Fri) 16 Mar 2012 (W11),Drogheda United F.C. (3),0-0,?,Dundalk F.C. (3)
?,(Fri) 16 Mar 2012 (W11),Sligo Rovers F.C. (3),1-0,?,Bohemian F.C. (3)
?,(Fri) 16 Mar 2012 (W11),St Patrick's Athletic F.C. (3),1-1,?,Monaghan (3)
?,(Fri) 16 Mar 2012 (W11),University College Dublin A.F.C. (3),2-3,?,Bray Wanderers F.C. (3)
?,(Fri) 16 Mar 2012 (W11),Shelbourne F.C. (3),1-0,?,Derry City F.C. (3)
?,(Fri) 23 Mar 2012 (W12),Bray Wanderers F.C. (4),2-4,?,Drogheda United F.C. (4)
?,(Fri) 23 Mar 2012 (W12),Derry City F.C. (4),2-0,?,Cork City F.C. (4)
?,(Fri) 23 Mar 2012 (W12),Dundalk F.C. (4),2-1,?,University College Dublin A.F.C. (4)
?,(Fri) 23 Mar 2012 (W12),Monaghan (4),0-1,?,Sligo Rovers F.C. (4)
?,(Fri) 23 Mar 2012 (W12),Shamrock Rovers FC (4),4-0,?,Shelbourne F.C. (4)
?,(Sun) 25 Mar 2012 (W12),Bohemian F.C. (4),0-0,?,St Patrick's Athletic F.C. (4)
?,(Fri) 30 Mar 2012 (W13),Shamrock Rovers FC (5),2-0,?,Bohemian F.C. (5)
?,(Fri) 30 Mar 2012 (W13),Cork City F.C. (5),1-1,?,Bray Wanderers F.C. (5)
?,(Fri) 30 Mar 2012 (W13),Drogheda United F.C. (5),2-0,?,Derry City F.C. (5)
?,(Fri) 30 Mar 2012 (W13),University College Dublin A.F.C. (5),3-2,?,Monaghan (5)
?,(Fri) 30 Mar 2012 (W13),Shelbourne F.C. (5),1-1,?,St Patrick's Athletic F.C. (5)
?,(Sat) 31 Mar 2012 (W13),Sligo Rovers F.C. (5),3-0,?,Dundalk F.C. (5)
?,(Fri) 6 Apr 2012 (W14),St Patrick's Athletic F.C. (6),5-1,?,Shamrock Rovers FC (6)
?,(Fri) 6 Apr 2012 (W14),Bohemian F.C. (6),1-0,?,Cork City F.C. (6)
?,(Fri) 6 Apr 2012 (W14),Bray Wanderers F.C. (6),1-2,?,Sligo Rovers F.C. (6)
?,(Fri) 6 Apr 2012 (W14),Derry City F.C. (6),0-0,?,University College Dublin A.F.C. (6)
?,(Fri) 6 Apr 2012 (W14),Dundalk F.C. (6),0-0,?,Shelbourne F.C. (6)
?,(Fri) 6 Apr 2012 (W14),Monaghan (6),0-1,?,Drogheda United F.C. (6)
?,(Fri) 13 Apr 2012 (W15),Sligo Rovers F.C. (7),1-1,?,Derry City F.C. (7)
?,(Fri) 13 Apr 2012 (W15),Cork City F.C. (7),6-0,?,Monaghan (7)
?,(Fri) 13 Apr 2012 (W15),Drogheda United F.C. (7),0-0,?,St Patrick's Athletic F.C. (7)
?,(Fri) 13 Apr 2012 (W15),University College Dublin A.F.C. (7),1-2,?,Bohemian F.C. (7)
?,(Fri) 13 Apr 2012 (W15),Shamrock Rovers FC (7),6-0,?,Dundalk F.C. (7)
?,(Fri) 13 Apr 2012 (W15),Shelbourne F.C. (7),2-1,?,Bray Wanderers F.C. (7)
?,(Fri) 20 Apr 2012 (W16),Bohemian F.C. (8),1-2,?,Monaghan (8)
?,(Fri) 20 Apr 2012 (W16),Bray Wanderers F.C. (8),2-2,?,Shamrock Rovers FC (8)
?,(Fri) 20 Apr 2012 (W16),Cork City F.C. (8),0-1,?,Sligo Rovers F.C. (8)
?,(Fri) 20 Apr 2012 (W16),Derry City F.C. (8),1-2,?,Dundalk F.C. (8)
?,(Fri) 20 Apr 2012 (W16),Drogheda United F.C. (8),3-1,?,Shelbourne F.C. (8)
?,(Fri) 20 Apr 2012 (W16),St Patrick's Athletic F.C. (8),2-0,?,University College Dublin A.F.C. (8)
?,(Fri) 27 Apr 2012 (W17),Sligo Rovers F.C. (9),1-1,?,St Patrick's Athletic F.C. (9)
?,(Fri) 27 Apr 2012 (W17),Dundalk F.C. (9),0-2,?,Bohemian F.C. (9)
?,(Fri) 27 Apr 2012 (W17),University College Dublin A.F.C. (9),1-1,?,Drogheda United F.C. (9)
?,(Fri) 27 Apr 2012 (W17),Monaghan (9),0-1,?,Bray Wanderers F.C. (9)
?,(Fri) 27 Apr 2012 (W17),Shamrock Rovers FC (9),1-1,?,Derry City F.C. (9)
?,(Fri) 27 Apr 2012 (W17),Shelbourne F.C. (9),1-2,?,Cork City F.C. (9)
?,(Fri) 4 May 2012 (W18),Derry City F.C. (10),0-2,?,St Patrick's Athletic F.C. (10)
?,(Fri) 4 May 2012 (W18),Bray Wanderers F.C. (10),2-1,?,Bohemian F.C. (10)
?,(Fri) 4 May 2012 (W18),Cork City F.C. (10),3-2,?,Dundalk F.C. (10)
?,(Fri) 4 May 2012 (W18),Drogheda United F.C. (10),1-3,?,Sligo Rovers F.C. (10)
?,(Fri) 4 May 2012 (W18),Shamrock Rovers FC (10),2-2,?,University College Dublin A.F.C. (10)
?,(Fri) 4 May 2012 (W18),Shelbourne F.C. (10),2-1,?,Monaghan (10)
?,(Fri) 11 May 2012 (W19),Bohemian F.C. (11),1-1,?,Drogheda United F.C. (11)
?,(Fri) 11 May 2012 (W19),Dundalk F.C. (11),0-2,?,Bray Wanderers F.C. (11)
?,(Fri) 11 May 2012 (W19),St Patrick's Athletic F.C. (11),0-0,?,Cork City F.C. (11)
?,(Fri) 11 May 2012 (W19),University College Dublin A.F.C. (11),0-2,?,Shelbourne F.C. (11)
?,(Sat) 12 May 2012 (W19),Sligo Rovers F.C. (11),3-0,?,Shamrock Rovers FC (11)
?,(Tue) 15 May 2012 (W20),Monaghan (11),1-4,?,Derry City F.C. (11)
?,(Fri) 18 May 2012 (W20),Shamrock Rovers FC (12),3-1,?,Drogheda United F.C. (12)
?,(Fri) 18 May 2012 (W20),Bohemian F.C. (12),1-2,?,Derry City F.C. (12)
?,(Fri) 18 May 2012 (W20),Bray Wanderers F.C. (12),3-3,?,St Patrick's Athletic F.C. (12)
?,(Fri) 18 May 2012 (W20),Cork City F.C. (12),4-2,?,University College Dublin A.F.C. (12)
?,(Fri) 18 May 2012 (W20),Dundalk F.C. (12),1-2,?,Monaghan (12)
?,(Fri) 18 May 2012 (W20),Sligo Rovers F.C. (12),3-0,?,Shelbourne F.C. (12)
?,(Mon) 21 May 2012 (W21),Derry City F.C. (13),3-2,?,Bray Wanderers F.C. (13)
?,(Mon) 21 May 2012 (W21),Drogheda United F.C. (13),1-1,?,Cork City F.C. (13)
?,(Mon) 21 May 2012 (W21),St Patrick's Athletic F.C. (13),1-2,?,Dundalk F.C. (13)
?,(Mon) 21 May 2012 (W21),University College Dublin A.F.C. (13),1-0,?,Sligo Rovers F.C. (13)
?,(Mon) 21 May 2012 (W21),Monaghan (13),0-0,?,Shamrock Rovers FC (13)
?,(Mon) 21 May 2012 (W21),Shelbourne F.C. (13),1-2,?,Bohemian F.C. (13)
?,(Fri) 1 Jun 2012 (W22),Dundalk F.C. (14),1-2,?,Drogheda United F.C. (14)
?,(Fri) 1 Jun 2012 (W22),Bohemian F.C. (14),0-0,?,Sligo Rovers F.C. (14)
?,(Fri) 1 Jun 2012 (W22),Bray Wanderers F.C. (14),3-1,?,University College Dublin A.F.C. (14)
?,(Fri) 1 Jun 2012 (W22),Derry City F.C. (14),0-1,?,Shelbourne F.C. (14)
?,(Fri) 1 Jun 2012 (W22),Monaghan (14),0-4,?,St Patrick's Athletic F.C. (14)
?,(Fri) 1 Jun 2012 (W22),Shamrock Rovers FC (14),1-1,?,Cork City F.C. (14)
?,(Thu) 21 Jun 2012 (W25),Shelbourne F.C. (15),2-3,?,Shamrock Rovers FC (15)
?,(Fri) 22 Jun 2012 (W25),Cork City F.C. (15),2-2,?,Derry City F.C. (15)
?,(Fri) 22 Jun 2012 (W25),Drogheda United F.C. (15),3-1,?,Bray Wanderers F.C. (15)
?,(Fri) 22 Jun 2012 (W25),St Patrick's Athletic F.C. (15),2-1,?,Bohemian F.C. (15)
?,(Fri) 22 Jun 2012 (W25),University College Dublin A.F.C. (15),1-1,?,Dundalk F.C. (15)
?,(Fri) 29 Jun 2012 (W26),Bohemian F.C. (16),4-0,?,Shamrock Rovers FC (16)
?,(Fri) 29 Jun 2012 (W26),Bray Wanderers F.C. (16),0-3,?,Cork City F.C. (16)
?,(Fri) 29 Jun 2012 (W26),Derry City F.C. (16),0-3,?,Drogheda United F.C. (16)
?,(Fri) 29 Jun 2012 (W26),Dundalk F.C. (16),1-2,?,Sligo Rovers F.C. (15)
?,(Fri) 29 Jun 2012 (W26),St Patrick's Athletic F.C. (16),1-0,?,Shelbourne F.C. (16)
?,(Fri) 6 Jul 2012 (W27),University College Dublin A.F.C. (16),0-1,?,Derry City F.C. (17)
?,(Fri) 6 Jul 2012 (W27),Shelbourne F.C. (17),4-0,?,Dundalk F.C. (17)
?,(Sat) 7 Jul 2012 (W27),Sligo Rovers F.C. (16),1-1,?,Bray Wanderers F.C. (17)
?,(Sun) 8 Jul 2012 (W27),Shamrock Rovers FC (17),1-1,?,St Patrick's Athletic F.C. (17)
?,(Sun) 8 Jul 2012 (W27),Cork City F.C. (17),1-1,?,Bohemian F.C. (17)
?,(Fri) 13 Jul 2012 (W28),Derry City F.C. (18),1-2,?,Sligo Rovers F.C. (17)
?,(Fri) 13 Jul 2012 (W28),Bray Wanderers F.C. (18),2-3,?,Shelbourne F.C. (18)
?,(Fri) 13 Jul 2012 (W28),Dundalk F.C. (18),1-1,?,Shamrock Rovers FC (18)
?,(Sun) 15 Jul 2012 (W28),Bohemian F.C. (18),1-0,?,University College Dublin A.F.C. (17)
?,(Sun) 15 Jul 2012 (W28),St Patrick's Athletic F.C. (18),0-2,?,Drogheda United F.C. (17)
?,(Fri) 20 Jul 2012 (W29),Shamrock Rovers FC (19),0-0,?,Bray Wanderers F.C. (19)
?,(Fri) 20 Jul 2012 (W29),Dundalk F.C. (19),1-1,?,Derry City F.C. (19)
?,(Fri) 20 Jul 2012 (W29),Shelbourne F.C. (19),1-2,?,Drogheda United F.C. (18)
?,(Sun) 22 Jul 2012 (W29),University College Dublin A.F.C. (18),1-1,?,St Patrick's Athletic F.C. (19)
?,(Sun) 22 Jul 2012 (W29),Sligo Rovers F.C. (18),2-2,?,Cork City F.C. (18)
?,(Fri) 27 Jul 2012 (W30),Bohemian F.C. (19),2-1,?,Dundalk F.C. (20)
?,(Fri) 27 Jul 2012 (W30),Cork City F.C. (19),0-0,?,Shelbourne F.C. (20)
?,(Fri) 27 Jul 2012 (W30),Derry City F.C. (20),0-1,?,Shamrock Rovers FC (20)
?,(Fri) 27 Jul 2012 (W30),Drogheda United F.C. (19),1-0,?,University College Dublin A.F.C. (19)
?,(Fri) 3 Aug 2012 (W31),Bohemian F.C. (20),0-0,?,Bray Wanderers F.C. (20)
?,(Fri) 3 Aug 2012 (W31),Dundalk F.C. (21),1-1,?,Cork City F.C. (20)
?,(Fri) 3 Aug 2012 (W31),University College Dublin A.F.C. (20),0-2,?,Shamrock Rovers FC (21)
?,(Sat) 4 Aug 2012 (W31),Sligo Rovers F.C. (19),4-1,?,Drogheda United F.C. (20)
?,(Fri) 10 Aug 2012 (W32),Bray Wanderers F.C. (21),1-1,?,Dundalk F.C. (22)
?,(Fri) 10 Aug 2012 (W32),Drogheda United F.C. (21),1-0,?,Bohemian F.C. (21)
?,(Fri) 10 Aug 2012 (W32),Shelbourne F.C. (21),1-2,?,University College Dublin A.F.C. (21)
?,(Mon) 13 Aug 2012 (W33),Cork City F.C. (21),0-1,?,St Patrick's Athletic F.C. (20)
?,(Mon) 13 Aug 2012 (W33),Shamrock Rovers FC (22),1-1,?,Sligo Rovers F.C. (20)
?,(Fri) 17 Aug 2012 (W33),Derry City F.C. (21),2-0,?,Bohemian F.C. (22)
?,(Fri) 17 Aug 2012 (W33),St Patrick's Athletic F.C. (21),0-1,?,Bray Wanderers F.C. (22)
?,(Fri) 17 Aug 2012 (W33),University College Dublin A.F.C. (22),3-1,?,Cork City F.C. (22)
?,(Fri) 17 Aug 2012 (W33),Drogheda United F.C. (22),0-2,?,Shamrock Rovers FC (23)
?,(Fri) 17 Aug 2012 (W33),Shelbourne F.C. (22),1-3,?,Sligo Rovers F.C. (21)
?,(Mon) 20 Aug 2012 (W34),Bohemian F.C. (23),2-2,?,Shelbourne F.C. (23)
?,(Mon) 20 Aug 2012 (W34),Bray Wanderers F.C. (23),0-0,?,Derry City F.C. (22)
?,(Mon) 20 Aug 2012 (W34),Cork City F.C. (23),3-2,?,Drogheda United F.C. (23)
?,(Mon) 20 Aug 2012 (W34),Dundalk F.C. (23),0-1,?,St Patrick's Athletic F.C. (22)
