Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 27 Apr 2019 (W17),São Paulo FC (1),2-0,?,Botafogo RJ (1)
?,(Sat) 27 Apr 2019 (W17),Atlético MG (1),2-1,?,Avaí FC (1)
?,(Sat) 27 Apr 2019 (W17),Chapecoense (1),2-0,?,Internacional Porto Alegre (1)
?,(Sun) 28 Apr 2019 (W17),Flamengo RJ (1),3-1,?,Cruzeiro MG (1)
?,(Sun) 28 Apr 2019 (W17),Grêmio RS (1),1-2,?,Santos SP (1)
?,(Sun) 28 Apr 2019 (W17),Atlético PR (1),4-1,?,CR Vasco da Gama (1)
?,(Sun) 28 Apr 2019 (W17),EC Bahia (1),3-2,?,Corinthians SP (1)
?,(Sun) 28 Apr 2019 (W17),Ceára SC (1),4-0,?,CSA (1)
?,(Sun) 28 Apr 2019 (W17),Fluminense RJ (1),0-1,?,Goiás EC (1)
?,(Sun) 28 Apr 2019 (W17),Palmeiras SP (1),4-0,?,Fortaleza (1)
?,(Wed) 1 May 2019 (W18),Corinthians SP (2),1-0,?,Chapecoense (2)
?,(Wed) 1 May 2019 (W18),CSA (2),1-1,?,Palmeiras SP (2)
?,(Wed) 1 May 2019 (W18),Internacional Porto Alegre (2),2-1,?,Flamengo RJ (2)
?,(Wed) 1 May 2019 (W18),Avaí FC (2),1-1,?,Grêmio RS (2)
?,(Wed) 1 May 2019 (W18),Cruzeiro MG (2),1-0,?,Ceára SC (2)
?,(Thu) 2 May 2019 (W18),Fortaleza (2),2-1,?,Atlético PR (2)
?,(Thu) 2 May 2019 (W18),Goiás EC (2),1-2,?,São Paulo FC (2)
?,(Thu) 2 May 2019 (W18),CR Vasco da Gama (2),1-2,?,Atlético MG (2)
?,(Thu) 2 May 2019 (W18),Santos SP (2),2-1,?,Fluminense RJ (2)
?,(Fri) 3 May 2019 (W18),Botafogo RJ (2),3-2,?,EC Bahia (2)
?,(Sat) 4 May 2019 (W18),Palmeiras SP (3),1-0,?,Internacional Porto Alegre (3)
?,(Sat) 4 May 2019 (W18),CR Vasco da Gama (3),1-1,?,Corinthians SP (3)
?,(Sun) 5 May 2019 (W18),Ceára SC (3),1-2,?,Atlético MG (3)
?,(Sun) 5 May 2019 (W18),Chapecoense (3),1-1,?,Atlético PR (3)
?,(Sun) 5 May 2019 (W18),Botafogo RJ (3),1-0,?,Fortaleza (3)
?,(Sun) 5 May 2019 (W18),Cruzeiro MG (3),2-1,?,Goiás EC (3)
?,(Sun) 5 May 2019 (W18),CSA (3),0-0,?,Santos SP (3)
?,(Sun) 5 May 2019 (W18),São Paulo FC (3),1-1,?,Flamengo RJ (3)
?,(Sun) 5 May 2019 (W18),EC Bahia (3),1-0,?,Avaí FC (3)
?,(Sun) 5 May 2019 (W18),Grêmio RS (3),4-5,?,Fluminense RJ (3)
?,(Sat) 11 May 2019 (W19),Fluminense RJ (4),0-1,?,Botafogo RJ (4)
?,(Sat) 11 May 2019 (W19),Corinthians SP (4),0-0,?,Grêmio RS (4)
?,(Sun) 12 May 2019 (W19),Goiás EC (4),2-1,?,Ceára SC (4)
?,(Sun) 12 May 2019 (W19),Flamengo RJ (4),2-1,?,Chapecoense (4)
?,(Sun) 12 May 2019 (W19),Atlético MG (4),0-2,?,Palmeiras SP (4)
?,(Sun) 12 May 2019 (W19),Internacional Porto Alegre (4),3-1,?,Cruzeiro MG (4)
?,(Sun) 12 May 2019 (W19),Santos SP (4),3-0,?,CR Vasco da Gama (4)
?,(Sun) 12 May 2019 (W19),Atlético PR (4),1-0,?,EC Bahia (4)
?,(Sun) 12 May 2019 (W19),Avaí FC (4),0-0,?,CSA (4)
?,(Sun) 12 May 2019 (W19),Fortaleza (4),0-1,?,São Paulo FC (4)
?,(Sat) 18 May 2019 (W20),Fluminense RJ (5),4-1,?,Cruzeiro MG (5)
?,(Sat) 18 May 2019 (W20),Atlético MG (5),2-1,?,Flamengo RJ (5)
?,(Sat) 18 May 2019 (W20),Palmeiras SP (5),4-0,?,Santos SP (5)
?,(Sun) 19 May 2019 (W20),São Paulo FC (5),0-0,?,EC Bahia (5)
?,(Sun) 19 May 2019 (W20),Atlético PR (5),0-2,?,Corinthians SP (5)
?,(Sun) 19 May 2019 (W20),Chapecoense (5),1-3,?,Fortaleza (5)
?,(Sun) 19 May 2019 (W20),Goiás EC (5),1-0,?,Botafogo RJ (5)
?,(Sun) 19 May 2019 (W20),Internacional Porto Alegre (5),2-0,?,CSA (5)
?,(Sun) 19 May 2019 (W20),Ceára SC (5),2-1,?,Grêmio RS (5)
?,(Sun) 19 May 2019 (W20),CR Vasco da Gama (5),1-1,?,Avaí FC (5)
?,(Sat) 25 May 2019 (W21),Botafogo RJ (6),0-1,?,Palmeiras SP (6)
?,(Sat) 25 May 2019 (W21),Grêmio RS (6),1-0,?,Atlético MG (6)
?,(Sun) 26 May 2019 (W21),Flamengo RJ (6),3-2,?,Atlético PR (6)
?,(Sun) 26 May 2019 (W21),Santos SP (6),0-0,?,Internacional Porto Alegre (6)
?,(Sun) 26 May 2019 (W21),EC Bahia (6),3-2,?,Fluminense RJ (6)
?,(Sun) 26 May 2019 (W21),Corinthians SP (6),1-0,?,São Paulo FC (6)
?,(Sun) 26 May 2019 (W21),Cruzeiro MG (6),1-2,?,Chapecoense (6)
?,(Sun) 26 May 2019 (W21),Fortaleza (6),1-1,?,CR Vasco da Gama (6)
?,(Tue) 28 May 2019 (W22),Avaí FC (6),1-2,?,Ceára SC (6)
