Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 15 Feb 2019 (W7),Bohemian F.C. (1),1-0,?,Finn Harps F.C. (1)
?,(Fri) 15 Feb 2019 (W7),Derry City F.C. (1),3-0,?,University College Dublin A.F.C. (1)
?,(Fri) 15 Feb 2019 (W7),Dundalk F.C. (1),1-1,?,Sligo Rovers F.C. (1)
?,(Fri) 15 Feb 2019 (W7),St Patrick's Athletic F.C. (1),1-0,?,Cork City F.C. (1)
?,(Fri) 15 Feb 2019 (W7),Waterford F.C. (1),1-2,?,Shamrock Rovers FC (1)
?,(Fri) 22 Feb 2019 (W8),Cork City F.C. (2),0-2,?,Waterford F.C. (2)
?,(Fri) 22 Feb 2019 (W8),Sligo Rovers F.C. (2),0-1,?,St Patrick's Athletic F.C. (2)
?,(Fri) 22 Feb 2019 (W8),University College Dublin A.F.C. (2),0-2,?,Bohemian F.C. (2)
?,(Fri) 22 Feb 2019 (W8),Finn Harps F.C. (2),1-1,?,Dundalk F.C. (2)
?,(Fri) 22 Feb 2019 (W8),Shamrock Rovers FC (2),2-0,?,Derry City F.C. (2)
?,(Mon) 25 Feb 2019 (W9),Bohemian F.C. (3),1-0,?,Shamrock Rovers FC (3)
?,(Mon) 25 Feb 2019 (W9),Derry City F.C. (3),3-2,?,Waterford F.C. (3)
?,(Mon) 25 Feb 2019 (W9),Dundalk F.C. (3),2-1,?,University College Dublin A.F.C. (3)
?,(Mon) 25 Feb 2019 (W9),Sligo Rovers F.C. (3),1-2,?,Cork City F.C. (3)
?,(Mon) 25 Feb 2019 (W9),St Patrick's Athletic F.C. (3),0-0,?,Finn Harps F.C. (3)
?,(Fri) 1 Mar 2019 (W9),Cork City F.C. (4),0-0,?,Derry City F.C. (4)
?,(Fri) 1 Mar 2019 (W9),University College Dublin A.F.C. (4),1-1,?,St Patrick's Athletic F.C. (4)
?,(Fri) 1 Mar 2019 (W9),Waterford F.C. (4),0-0,?,Bohemian F.C. (4)
?,(Fri) 1 Mar 2019 (W9),Finn Harps F.C. (4),1-2,?,Sligo Rovers F.C. (4)
?,(Fri) 1 Mar 2019 (W9),Shamrock Rovers FC (4),0-0,?,Dundalk F.C. (4)
?,(Mon) 4 Mar 2019 (W10),Shamrock Rovers FC (5),3-0,?,Finn Harps F.C. (5)
?,(Fri) 8 Mar 2019 (W10),Bohemian F.C. (5),1-1,?,Derry City F.C. (5)
?,(Fri) 8 Mar 2019 (W10),Dundalk F.C. (5),4-0,?,Waterford F.C. (5)
?,(Fri) 8 Mar 2019 (W10),St Patrick's Athletic F.C. (5),0-1,?,Shamrock Rovers FC (6)
