Round,Date,Team 1,FT,HT,Team 2
?,(Wed) 3 Apr 2019 (W14),HJK Helsinki (1),2-1,?,FC Inter Turku (1)
?,(Wed) 3 Apr 2019 (W14),KuPS Kuopio (1),2-2,?,Rovaniemen Palloseura (1)
?,(Sat) 6 Apr 2019 (W14),SJK Seinäjoki (1),1-0,?,HIFK Helsinki (1)
?,(Sun) 7 Apr 2019 (W14),Rovaniemen Palloseura (2),1-2,?,FC Honka Espoo (1)
?,(Sun) 7 Apr 2019 (W14),KPV Kokkola (1),0-2,?,FC Ilves (1)
?,(Sun) 7 Apr 2019 (W14),FC Lahti (1),3-3,?,KuPS Kuopio (2)
?,(Mon) 8 Apr 2019 (W15),HJK Helsinki (2),2-1,?,IFK Mariehamn (1)
?,(Mon) 8 Apr 2019 (W15),Vaasan Palloseura (1),1-2,?,FC Inter Turku (2)
?,(Sat) 13 Apr 2019 (W15),FC Inter Turku (3),1-2,?,SJK Seinäjoki (2)
?,(Sat) 13 Apr 2019 (W15),KPV Kokkola (2),0-1,?,Rovaniemen Palloseura (3)
?,(Sat) 13 Apr 2019 (W15),KuPS Kuopio (3),0-0,?,HJK Helsinki (3)
?,(Sun) 14 Apr 2019 (W15),FC Ilves (2),0-0,?,Vaasan Palloseura (2)
?,(Mon) 15 Apr 2019 (W16),HIFK Helsinki (2),0-1,?,FC Lahti (2)
?,(Mon) 15 Apr 2019 (W16),FC Honka Espoo (2),1-3,?,IFK Mariehamn (2)
?,(Thu) 18 Apr 2019 (W16),SJK Seinäjoki (3),0-0,?,HJK Helsinki (4)
?,(Fri) 19 Apr 2019 (W16),FC Lahti (3),1-1,?,FC Inter Turku (4)
?,(Sat) 20 Apr 2019 (W16),KuPS Kuopio (4),0-3,?,FC Honka Espoo (3)
?,(Sat) 20 Apr 2019 (W16),Vaasan Palloseura (3),2-2,?,KPV Kokkola (3)
?,(Sat) 20 Apr 2019 (W16),IFK Mariehamn (3),2-0,?,Rovaniemen Palloseura (4)
?,(Mon) 22 Apr 2019 (W17),SJK Seinäjoki (4),0-1,?,FC Ilves (3)
?,(Tue) 23 Apr 2019 (W17),HJK Helsinki (5),1-1,?,HIFK Helsinki (3)
?,(Thu) 25 Apr 2019 (W17),FC Honka Espoo (4),3-2,?,FC Inter Turku (5)
?,(Thu) 25 Apr 2019 (W17),KPV Kokkola (4),0-4,?,IFK Mariehamn (4)
?,(Fri) 26 Apr 2019 (W17),FC Ilves (4),1-0,?,FC Lahti (4)
?,(Fri) 26 Apr 2019 (W17),Rovaniemen Palloseura (5),0-1,?,KuPS Kuopio (5)
?,(Fri) 26 Apr 2019 (W17),Vaasan Palloseura (4),1-1,?,SJK Seinäjoki (5)
?,(Mon) 29 Apr 2019 (W18),HIFK Helsinki (4),2-0,?,FC Honka Espoo (5)
?,(Mon) 29 Apr 2019 (W18),FC Inter Turku (6),4-1,?,HJK Helsinki (6)
?,(Tue) 30 Apr 2019 (W18),FC Lahti (5),1-1,?,Vaasan Palloseura (5)
?,(Tue) 30 Apr 2019 (W18),SJK Seinäjoki (6),1-0,?,KPV Kokkola (5)
?,(Wed) 1 May 2019 (W18),IFK Mariehamn (5),3-4,?,KuPS Kuopio (6)
?,(Fri) 3 May 2019 (W18),HJK Helsinki (7),0-0,?,FC Ilves (5)
?,(Fri) 3 May 2019 (W18),Rovaniemen Palloseura (6),1-0,?,HIFK Helsinki (5)
?,(Sun) 5 May 2019 (W18),KuPS Kuopio (7),3-1,?,KPV Kokkola (6)
?,(Sun) 5 May 2019 (W18),FC Lahti (6),1-1,?,SJK Seinäjoki (7)
?,(Tue) 7 May 2019 (W19),FC Ilves (6),1-1,?,FC Honka Espoo (6)
?,(Tue) 7 May 2019 (W19),FC Inter Turku (7),3-0,?,Rovaniemen Palloseura (7)
?,(Tue) 7 May 2019 (W19),Vaasan Palloseura (6),1-1,?,HJK Helsinki (8)
?,(Wed) 8 May 2019 (W19),HIFK Helsinki (6),1-1,?,IFK Mariehamn (6)
?,(Sat) 11 May 2019 (W19),HJK Helsinki (9),2-2,?,SJK Seinäjoki (8)
?,(Sat) 11 May 2019 (W19),FC Honka Espoo (7),1-1,?,Vaasan Palloseura (7)
?,(Sat) 11 May 2019 (W19),KPV Kokkola (7),0-0,?,FC Lahti (7)
?,(Sun) 12 May 2019 (W19),HIFK Helsinki (7),1-1,?,KuPS Kuopio (8)
?,(Sun) 12 May 2019 (W19),IFK Mariehamn (7),1-2,?,FC Inter Turku (8)
?,(Sun) 12 May 2019 (W19),Rovaniemen Palloseura (8),0-1,?,FC Ilves (7)
?,(Fri) 17 May 2019 (W20),FC Inter Turku (9),1-0,?,KuPS Kuopio (9)
?,(Sat) 18 May 2019 (W20),SJK Seinäjoki (9),1-2,?,FC Honka Espoo (8)
?,(Mon) 20 May 2019 (W21),FC Ilves (8),0-0,?,IFK Mariehamn (8)
?,(Mon) 20 May 2019 (W21),KPV Kokkola (8),1-1,?,HIFK Helsinki (8)
?,(Mon) 20 May 2019 (W21),FC Lahti (8),3-0,?,HJK Helsinki (10)
?,(Mon) 20 May 2019 (W21),Vaasan Palloseura (8),0-1,?,Rovaniemen Palloseura (9)
?,(Fri) 24 May 2019 (W21),KuPS Kuopio (10),1-0,?,FC Ilves (9)
?,(Sat) 25 May 2019 (W21),HIFK Helsinki (9),1-1,?,FC Inter Turku (10)
?,(Sat) 25 May 2019 (W21),Rovaniemen Palloseura (10),1-1,?,SJK Seinäjoki (10)
?,(Sun) 26 May 2019 (W21),HJK Helsinki (11),3-1,?,KPV Kokkola (9)
?,(Sun) 26 May 2019 (W21),IFK Mariehamn (9),1-0,?,Vaasan Palloseura (9)
?,(Mon) 27 May 2019 (W22),FC Honka Espoo (9),2-0,?,FC Lahti (9)
?,(Fri) 31 May 2019 (W22),HIFK Helsinki (10),2-1,?,Vaasan Palloseura (10)
?,(Fri) 31 May 2019 (W22),FC Inter Turku (11),2-3,?,FC Ilves (10)
?,(Fri) 31 May 2019 (W22),Rovaniemen Palloseura (11),0-1,?,HJK Helsinki (12)
?,(Sun) 2 Jun 2019 (W22),FC Honka Espoo (10),0-1,?,KPV Kokkola (10)
?,(Sun) 2 Jun 2019 (W22),KuPS Kuopio (11),0-1,?,SJK Seinäjoki (11)
?,(Sun) 2 Jun 2019 (W22),IFK Mariehamn (10),0-1,?,FC Lahti (10)
?,(Sun) 16 Jun 2019 (W24),KPV Kokkola (11),1-3,?,FC Inter Turku (12)
?,(Mon) 17 Jun 2019 (W25),Vaasan Palloseura (11),1-2,?,KuPS Kuopio (12)
?,(Tue) 18 Jun 2019 (W25),HIFK Helsinki (11),1-0,?,SJK Seinäjoki (12)
?,(Tue) 18 Jun 2019 (W25),FC Lahti (11),1-2,?,Rovaniemen Palloseura (12)
?,(Wed) 19 Jun 2019 (W25),HJK Helsinki (13),0-1,?,FC Honka Espoo (11)
